instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Chr12a,42,"[6, 4, 11, 1, 0, 2, 8, 10, 9, 5, 7, 3]",9552,10.9,116.27
Chr12a,43,"[10, 5, 4, 11, 7, 3, 2, 6, 1, 0, 8, 9]",10096,19.34,116.31
Chr12a,44,"[10, 5, 4, 11, 7, 3, 2, 6, 1, 0, 8, 9]",10096,11.54,116.31
Chr12a,45,"[6, 4, 3, 1, 0, 2, 8, 5, 9, 10, 7, 11]",10192,36.32,116.31
Chr12a,46,"[10, 5, 4, 11, 7, 3, 2, 6, 1, 0, 8, 9]",10096,23.0,116.31
Chr12a,47,"[10, 5, 4, 11, 7, 3, 2, 6, 1, 0, 8, 9]",10096,13.52,116.31
Chr12a,48,"[6, 4, 11, 1, 0, 2, 8, 10, 9, 5, 7, 3]",9552,17.63,116.31
Chr12a,49,"[10, 5, 4, 11, 7, 3, 2, 6, 1, 0, 8, 9]",10096,22.28,116.31
Chr12a,50,"[6, 4, 11, 1, 0, 2, 8, 10, 9, 5, 7, 3]",9552,23.34,116.31
Chr12a,51,"[6, 4, 11, 1, 0, 2, 8, 10, 9, 5, 7, 3]",9552,31.78,116.31
