instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Chr12a,1,22732,0.02,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,0.02,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,0.03,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,0.03,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,0.03,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,0.03,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,0.03,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,3.48,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,6.2,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,8.96,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,8.96,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,11.73,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,11.73,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,14.73,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,17.57,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,20.43,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,23.19,106.48,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
