instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Chr12a,1,22732,0.02,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,0.03,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,0.03,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,0.03,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,0.05,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,0.06,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,0.11,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,0.45,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,0.7,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,0.71,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,1.24,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,1.24,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,1.47,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,1.48,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,1.48,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,1.48,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,1.48,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,1.48,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,1.48,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,1.48,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,1.72,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,1.95,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,2.2,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,2.2,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,2.21,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,2.6,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,2.92,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,3.3,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,3.3,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
Chr12a,1,22732,3.62,106.05,5,33,0.4656,0.5516,5,12,42,"[5, 3, 11, 4, 8, 2, 10, 0, 6, 9, 1, 7]"
