instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Els19,1,38968704,0.07,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,0.07,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,7.16,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,7.16,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,7.16,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,14.22,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,14.22,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,21.24,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,27.67,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,34.51,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,41.62,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,41.62,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,48.79,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,48.79,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,55.63,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,55.63,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,62.25,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,69.38,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,76.61,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,76.61,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,83.38,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,89.86,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,96.92,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,103.9,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,103.9,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,110.93,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
Els19,1,38968704,110.93,106.48,9,55,0.4661,0.5768,5,19,42,"[18, 8, 5, 2, 16, 1, 10, 7, 9, 13, 3, 15, 0, 4, 17, 6, 12, 14, 11]"
