instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Esc16a,1,90,0.06,106.48,6,94,0.5684,0.6148,10,16,42,"[8, 9, 0, 1, 4, 12, 13, 11, 2, 10, 15, 3, 7, 5, 14, 6]"
Esc16a,1,90,0.07,106.48,6,94,0.5684,0.6148,10,16,42,"[8, 9, 0, 1, 4, 12, 13, 11, 2, 10, 15, 3, 7, 5, 14, 6]"
Esc16a,1,90,5.02,106.48,6,94,0.5684,0.6148,10,16,42,"[8, 9, 0, 1, 4, 12, 13, 11, 2, 10, 15, 3, 7, 5, 14, 6]"
Esc16a,1,90,9.72,106.48,6,94,0.5684,0.6148,10,16,42,"[8, 9, 0, 1, 4, 12, 13, 11, 2, 10, 15, 3, 7, 5, 14, 6]"
Esc16a,1,90,9.72,106.48,6,94,0.5684,0.6148,10,16,42,"[8, 9, 0, 1, 4, 12, 13, 11, 2, 10, 15, 3, 7, 5, 14, 6]"
Esc16a,1,90,14.65,106.48,6,94,0.5684,0.6148,10,16,42,"[8, 9, 0, 1, 4, 12, 13, 11, 2, 10, 15, 3, 7, 5, 14, 6]"
Esc16a,1,90,19.31,106.48,6,94,0.5684,0.6148,10,16,42,"[8, 9, 0, 1, 4, 12, 13, 11, 2, 10, 15, 3, 7, 5, 14, 6]"
Esc16a,1,90,19.31,106.48,6,94,0.5684,0.6148,10,16,42,"[8, 9, 0, 1, 4, 12, 13, 11, 2, 10, 15, 3, 7, 5, 14, 6]"
Esc16a,1,90,23.99,106.48,6,94,0.5684,0.6148,10,16,42,"[8, 9, 0, 1, 4, 12, 13, 11, 2, 10, 15, 3, 7, 5, 14, 6]"
Esc16a,1,90,28.68,106.48,6,94,0.5684,0.6148,10,16,42,"[8, 9, 0, 1, 4, 12, 13, 11, 2, 10, 15, 3, 7, 5, 14, 6]"
Esc16a,1,90,28.69,106.48,6,94,0.5684,0.6148,10,16,42,"[8, 9, 0, 1, 4, 12, 13, 11, 2, 10, 15, 3, 7, 5, 14, 6]"
