instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Had12,1,1738,0.01,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,0.01,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,0.01,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,0.01,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,0.01,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,0.01,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,0.01,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,1.21,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,1.21,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,2.2,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,2.2,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,2.2,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,2.2,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,3.25,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,4.34,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,5.43,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,6.53,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
Had12,1,1738,7.48,106.48,5,33,0.4656,0.5516,5,12,42,"[8, 0, 4, 11, 6, 5, 10, 7, 3, 1, 2, 9]"
