instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Kra30a,1,123610,0.18,106.48,9,65,0.6276,0.4479,8,30,42,"[5, 19, 2, 16, 17, 10, 22, 25, 3, 7, 0, 26, 29, 15, 4, 13, 21, 8, 9, 11, 12, 14, 24, 1, 27, 20, 23, 28, 6, 18]"
Kra30a,1,123610,15.49,106.48,9,65,0.6276,0.4479,8,30,42,"[5, 19, 2, 16, 17, 10, 22, 25, 3, 7, 0, 26, 29, 15, 4, 13, 21, 8, 9, 11, 12, 14, 24, 1, 27, 20, 23, 28, 6, 18]"
Kra30a,1,123610,15.49,106.48,9,65,0.6276,0.4479,8,30,42,"[5, 19, 2, 16, 17, 10, 22, 25, 3, 7, 0, 26, 29, 15, 4, 13, 21, 8, 9, 11, 12, 14, 24, 1, 27, 20, 23, 28, 6, 18]"
Kra30a,1,123610,30.74,106.48,9,65,0.6276,0.4479,8,30,42,"[5, 19, 2, 16, 17, 10, 22, 25, 3, 7, 0, 26, 29, 15, 4, 13, 21, 8, 9, 11, 12, 14, 24, 1, 27, 20, 23, 28, 6, 18]"
Kra30a,1,123610,30.74,106.48,9,65,0.6276,0.4479,8,30,42,"[5, 19, 2, 16, 17, 10, 22, 25, 3, 7, 0, 26, 29, 15, 4, 13, 21, 8, 9, 11, 12, 14, 24, 1, 27, 20, 23, 28, 6, 18]"
Kra30a,1,123610,30.74,106.48,9,65,0.6276,0.4479,8,30,42,"[5, 19, 2, 16, 17, 10, 22, 25, 3, 7, 0, 26, 29, 15, 4, 13, 21, 8, 9, 11, 12, 14, 24, 1, 27, 20, 23, 28, 6, 18]"
Kra30a,1,123610,30.74,106.48,9,65,0.6276,0.4479,8,30,42,"[5, 19, 2, 16, 17, 10, 22, 25, 3, 7, 0, 26, 29, 15, 4, 13, 21, 8, 9, 11, 12, 14, 24, 1, 27, 20, 23, 28, 6, 18]"
Kra30a,1,123610,30.74,106.48,9,65,0.6276,0.4479,8,30,42,"[5, 19, 2, 16, 17, 10, 22, 25, 3, 7, 0, 26, 29, 15, 4, 13, 21, 8, 9, 11, 12, 14, 24, 1, 27, 20, 23, 28, 6, 18]"
Kra30a,1,123610,30.75,106.48,9,65,0.6276,0.4479,8,30,42,"[5, 19, 2, 16, 17, 10, 22, 25, 3, 7, 0, 26, 29, 15, 4, 13, 21, 8, 9, 11, 12, 14, 24, 1, 27, 20, 23, 28, 6, 18]"
Kra30a,1,123610,30.75,106.48,9,65,0.6276,0.4479,8,30,42,"[5, 19, 2, 16, 17, 10, 22, 25, 3, 7, 0, 26, 29, 15, 4, 13, 21, 8, 9, 11, 12, 14, 24, 1, 27, 20, 23, 28, 6, 18]"
Kra30a,1,123610,45.81,106.48,9,65,0.6276,0.4479,8,30,42,"[5, 19, 2, 16, 17, 10, 22, 25, 3, 7, 0, 26, 29, 15, 4, 13, 21, 8, 9, 11, 12, 14, 24, 1, 27, 20, 23, 28, 6, 18]"
Kra30a,1,123610,61.24,106.48,9,65,0.6276,0.4479,8,30,42,"[5, 19, 2, 16, 17, 10, 22, 25, 3, 7, 0, 26, 29, 15, 4, 13, 21, 8, 9, 11, 12, 14, 24, 1, 27, 20, 23, 28, 6, 18]"
