instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Nug12,42,"[9, 5, 4, 1, 6, 8, 7, 2, 11, 10, 3, 0]",-642,39.49,115.75
Nug12,43,"[0, 2, 1, 9, 3, 7, 4, 5, 11, 6, 8, 10]",-632,98.05,115.76
Nug12,44,"[9, 5, 0, 1, 4, 3, 2, 7, 11, 10, 8, 6]",-670,21.99,115.76
Nug12,45,"[9, 1, 0, 2, 4, 7, 10, 8, 5, 6, 3, 11]",-606,62.01,115.76
Nug12,46,"[6, 11, 5, 4, 2, 10, 8, 1, 7, 3, 0, 9]",-670,38.85,115.76
Nug12,47,"[11, 2, 7, 3, 8, 6, 10, 0, 9, 1, 5, 4]",-638,37.71,115.76
Nug12,48,"[0, 6, 7, 3, 8, 11, 10, 4, 1, 2, 9, 5]",-626,292.51,115.76
Nug12,49,"[7, 3, 5, 4, 6, 8, 10, 9, 0, 11, 2, 1]",-626,121.27,115.76
Nug12,50,"[2, 8, 11, 6, 0, 10, 3, 7, 1, 9, 4, 5]",-592,182.26,115.76
Nug12,51,"[0, 1, 9, 4, 11, 8, 10, 5, 2, 3, 7, 6]",-634,86.21,115.76
