instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Els19,0,0,80040064,80040064,0.004
Els19,0,1,45738286,45738286,0.01
Els19,0,2,45738286,47655854,0.015
Els19,0,3,37946852,37946852,0.021
Els19,0,4,37946852,57096722,0.026
Els19,0,5,37946852,60286484,0.031
Els19,0,6,37946852,61144736,0.038
Els19,0,7,37946852,59023962,0.043
Els19,0,8,37946852,72297042,0.046
Els19,0,9,37946852,67993482,0.05
Els19,0,-1,37946852,37946852,0.053
Els19,1,0,37946852,49314084,0.057
Els19,1,1,37946852,41601842,0.062
Els19,1,2,37946852,64110950,0.068
Els19,1,3,37946852,65966554,0.075
Els19,1,4,37946852,54588730,0.081
Els19,1,5,37946852,53663652,0.085
Els19,1,6,37946852,63758338,0.089
Els19,1,7,37946852,64114640,0.095
Els19,1,8,37946852,69120440,0.1
Els19,1,9,37946852,54726958,0.105
Els19,1,-1,37946852,41601842,0.107
Els19,2,0,37946852,57079552,0.112
Els19,2,1,37946852,76048934,0.116
Els19,2,2,37946852,71485642,0.119
Els19,2,3,37946852,55965896,0.126
Els19,2,4,37946852,58037922,0.133
Els19,2,5,37946852,45831718,0.138
Els19,2,6,37946852,73300492,0.144
Els19,2,7,37946852,45878524,0.148
Els19,2,8,37946852,62773210,0.151
Els19,2,9,37946852,53126830,0.157
Els19,2,-1,37946852,45831718,0.159
Els19,3,0,37946852,45909076,0.163
Els19,3,1,37946852,59662200,0.166
Els19,3,2,37946852,64244118,0.172
Els19,3,3,37946852,58122828,0.178
Els19,3,4,37946852,45976960,0.182
Els19,3,5,37946852,67549674,0.186
Els19,3,6,37946852,73565468,0.19
Els19,3,7,37946852,64417892,0.196
Els19,3,8,37946852,66065968,0.201
Els19,3,9,37946852,58359866,0.208
Els19,3,-1,37946852,45909076,0.211
Els19,4,0,37946852,51475770,0.215
Els19,4,1,37946852,67297606,0.221
Els19,4,2,37946852,55715324,0.226
Els19,4,3,37946852,53618484,0.232
Els19,4,4,29987800,29987800,0.236
Els19,4,5,29987800,50410418,0.24
Els19,4,6,29987800,56735276,0.245
Els19,4,7,29987800,49732974,0.248
Els19,4,8,29987800,47003424,0.252
Els19,4,9,29987800,36439588,0.258
Els19,4,-1,29987800,29987800,0.26
Els19,5,0,29987800,37069170,0.266
Els19,5,1,29987800,62053124,0.269
Els19,5,2,29987800,52890394,0.273
Els19,5,3,29987800,47400722,0.279
Els19,5,4,29987800,60397010,0.284
