instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Esc32a,0,0,430,430,0.003
Esc32a,0,1,414,414,0.006
Esc32a,0,2,414,456,0.009
Esc32a,0,3,412,412,0.012
Esc32a,0,4,406,406,0.015
Esc32a,0,5,406,422,0.019
Esc32a,0,6,380,380,0.022
Esc32a,0,7,380,438,0.026
Esc32a,0,8,380,406,0.03
Esc32a,0,9,370,370,0.034
Esc32a,0,-1,370,370,0.034
Esc32a,1,0,370,476,0.039
Esc32a,1,1,370,426,0.043
Esc32a,1,2,370,374,0.046
Esc32a,1,3,370,410,0.05
Esc32a,1,4,324,324,0.052
Esc32a,1,5,324,406,0.056
Esc32a,1,6,324,422,0.06
Esc32a,1,7,324,394,0.064
Esc32a,1,8,324,396,0.065
Esc32a,1,9,324,398,0.068
Esc32a,1,-1,324,324,0.069
Esc32a,2,0,324,446,0.071
Esc32a,2,1,324,426,0.074
Esc32a,2,2,324,436,0.075
Esc32a,2,3,324,446,0.078
Esc32a,2,4,324,378,0.079
Esc32a,2,5,324,422,0.081
Esc32a,2,6,324,432,0.084
Esc32a,2,7,324,414,0.088
Esc32a,2,8,324,470,0.092
Esc32a,2,9,324,420,0.095
Esc32a,2,-1,324,378,0.095
Esc32a,3,0,324,450,0.097
Esc32a,3,1,324,438,0.1
Esc32a,3,2,324,422,0.103
Esc32a,3,3,324,412,0.105
Esc32a,3,4,324,430,0.108
Esc32a,3,5,324,414,0.111
Esc32a,3,6,324,454,0.113
Esc32a,3,7,324,422,0.116
Esc32a,3,8,324,402,0.118
Esc32a,3,9,324,434,0.12
Esc32a,3,-1,324,402,0.121
Esc32a,4,0,324,420,0.124
Esc32a,4,1,324,394,0.126
Esc32a,4,2,324,426,0.128
Esc32a,4,3,324,372,0.132
Esc32a,4,4,324,446,0.134
Esc32a,4,5,324,394,0.138
Esc32a,4,6,324,396,0.14
Esc32a,4,7,324,366,0.143
Esc32a,4,8,324,438,0.147
Esc32a,4,9,324,366,0.151
Esc32a,4,-1,324,366,0.152
Esc32a,5,0,324,398,0.155
Esc32a,5,1,324,390,0.158
Esc32a,5,2,324,458,0.162
Esc32a,5,3,324,450,0.166
Esc32a,5,4,324,382,0.172
Esc32a,5,5,324,378,0.177
Esc32a,5,6,324,462,0.18
Esc32a,5,7,324,374,0.183
Esc32a,5,8,324,442,0.187
Esc32a,5,9,324,452,0.191
Esc32a,5,-1,324,374,0.193
Esc32a,6,0,324,410,0.196
Esc32a,6,1,324,382,0.198
Esc32a,6,2,324,450,0.2
Esc32a,6,3,324,390,0.202
Esc32a,6,4,324,450,0.206
Esc32a,6,5,324,426,0.21
Esc32a,6,6,324,386,0.213
