instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Lipa20a,0,0,3922,3922,0.006
Lipa20a,0,1,3922,3968,0.01
Lipa20a,0,2,3922,3980,0.015
Lipa20a,0,3,3922,3970,0.019
Lipa20a,0,4,3922,3970,0.024
Lipa20a,0,5,3922,3943,0.028
Lipa20a,0,6,3922,3974,0.032
Lipa20a,0,7,3922,3943,0.037
Lipa20a,0,8,3922,4007,0.041
Lipa20a,0,9,3922,3942,0.047
Lipa20a,0,10,3922,3941,0.053
Lipa20a,0,11,3922,3970,0.058
Lipa20a,0,12,3922,3940,0.063
Lipa20a,0,13,3922,3958,0.069
Lipa20a,0,-1,3922,3922,0.072
Lipa20a,1,0,3922,3968,0.077
Lipa20a,1,1,3922,3956,0.081
Lipa20a,1,2,3922,4041,0.085
Lipa20a,1,3,3922,3980,0.092
Lipa20a,1,4,3922,3941,0.095
Lipa20a,1,5,3922,3955,0.098
Lipa20a,1,6,3922,3962,0.102
Lipa20a,1,7,3922,3959,0.106
Lipa20a,1,8,3922,3979,0.11
Lipa20a,1,9,3922,3983,0.113
Lipa20a,1,10,3922,3990,0.119
Lipa20a,1,11,3922,3956,0.122
Lipa20a,1,12,3922,3974,0.127
Lipa20a,1,13,3922,3999,0.132
Lipa20a,1,-1,3922,3941,0.135
Lipa20a,2,0,3922,3955,0.14
Lipa20a,2,1,3922,3950,0.146
Lipa20a,2,2,3922,3981,0.152
Lipa20a,2,3,3922,3952,0.158
Lipa20a,2,4,3922,3982,0.164
Lipa20a,2,5,3922,3931,0.169
Lipa20a,2,6,3922,3942,0.175
Lipa20a,2,7,3922,3960,0.18
Lipa20a,2,8,3922,3978,0.185
Lipa20a,2,9,3922,3954,0.192
Lipa20a,2,10,3922,3976,0.197
Lipa20a,2,11,3922,3965,0.203
Lipa20a,2,12,3922,3976,0.21
Lipa20a,2,13,3922,3990,0.214
Lipa20a,2,-1,3922,3931,0.218
Lipa20a,3,0,3922,3963,0.223
Lipa20a,3,1,3902,3902,0.229
Lipa20a,3,2,3902,3996,0.234
Lipa20a,3,3,3902,3964,0.24
Lipa20a,3,4,3902,3962,0.245
Lipa20a,3,5,3902,4010,0.25
Lipa20a,3,6,3902,3938,0.256
Lipa20a,3,7,3902,3949,0.261
Lipa20a,3,8,3902,3984,0.266
Lipa20a,3,9,3902,3941,0.271
Lipa20a,3,10,3902,3931,0.277
Lipa20a,3,11,3902,3957,0.283
Lipa20a,3,12,3902,3964,0.287
Lipa20a,3,13,3900,3900,0.294
Lipa20a,3,-1,3900,3900,0.298
Lipa20a,4,0,3900,3958,0.306
Lipa20a,4,1,3900,3994,0.312
Lipa20a,4,2,3900,3948,0.316
Lipa20a,4,3,3900,3938,0.32
Lipa20a,4,4,3900,3940,0.324
Lipa20a,4,5,3900,3941,0.33
Lipa20a,4,6,3900,3974,0.335
Lipa20a,4,7,3900,3967,0.34
Lipa20a,4,8,3900,3956,0.344
Lipa20a,4,9,3900,3973,0.349
Lipa20a,4,10,3900,3947,0.356
Lipa20a,4,11,3900,3963,0.363
Lipa20a,4,12,3900,3952,0.368
Lipa20a,4,13,3900,3986,0.374
Lipa20a,4,-1,3900,3938,0.377
Lipa20a,5,0,3900,3995,0.381
Lipa20a,5,1,3900,3977,0.386
Lipa20a,5,2,3900,3967,0.392
Lipa20a,5,3,3900,3945,0.397
Lipa20a,5,4,3900,3987,0.4
Lipa20a,5,5,3900,3975,0.406
Lipa20a,5,6,3900,3945,0.411
Lipa20a,5,7,3900,3945,0.417
Lipa20a,5,8,3900,4002,0.427
Lipa20a,5,9,3900,3950,0.434
Lipa20a,5,10,3900,3959,0.438
Lipa20a,5,11,3900,3970,0.447
Lipa20a,5,12,3900,3998,0.453
Lipa20a,5,13,3900,3967,0.461
Lipa20a,5,-1,3900,3945,0.463
Lipa20a,6,0,3900,3944,0.468
Lipa20a,6,1,3900,3964,0.473
Lipa20a,6,2,3900,3987,0.478
Lipa20a,6,3,3900,3949,0.483
Lipa20a,6,4,3890,3890,0.488
Lipa20a,6,5,3890,3967,0.492
Lipa20a,6,6,3890,3945,0.496
Lipa20a,6,7,3890,3962,0.502
Lipa20a,6,8,3890,3944,0.507
Lipa20a,6,9,3890,3934,0.513
Lipa20a,6,10,3890,3988,0.52
Lipa20a,6,11,3890,3976,0.525
Lipa20a,6,12,3890,3949,0.53
Lipa20a,6,13,3890,3957,0.535
Lipa20a,6,-1,3890,3890,0.538
Lipa20a,7,0,3890,3949,0.544
Lipa20a,7,1,3890,3982,0.549
Lipa20a,7,2,3890,3999,0.556
Lipa20a,7,3,3890,3960,0.562
Lipa20a,7,4,3890,3915,0.569
Lipa20a,7,5,3890,3964,0.573
Lipa20a,7,6,3890,3950,0.578
Lipa20a,7,7,3890,3990,0.583
Lipa20a,7,8,3890,3922,0.589
Lipa20a,7,9,3890,3961,0.595
Lipa20a,7,10,3890,3975,0.6
Lipa20a,7,11,3890,3943,0.604
Lipa20a,7,12,3890,3984,0.61
Lipa20a,7,13,3890,3949,0.615
Lipa20a,7,-1,3890,3915,0.617
Lipa20a,8,0,3890,3945,0.623
Lipa20a,8,1,3890,3949,0.628
Lipa20a,8,2,3890,3970,0.634
Lipa20a,8,3,3890,3925,0.639
Lipa20a,8,4,3890,3983,0.644
Lipa20a,8,5,3890,3955,0.649
Lipa20a,8,6,3890,3997,0.655
Lipa20a,8,7,3890,3947,0.659
Lipa20a,8,8,3890,3979,0.662
Lipa20a,8,9,3890,3929,0.668
Lipa20a,8,10,3890,3962,0.674
Lipa20a,8,11,3890,3990,0.68
Lipa20a,8,12,3890,3967,0.684
Lipa20a,8,13,3890,3960,0.69
Lipa20a,8,-1,3890,3925,0.692
Lipa20a,9,0,3890,3970,0.697
Lipa20a,9,1,3890,3987,0.703
Lipa20a,9,2,3890,3961,0.707
Lipa20a,9,3,3890,3962,0.71
Lipa20a,9,4,3890,3995,0.714
Lipa20a,9,5,3890,3968,0.719
Lipa20a,9,6,3890,3982,0.723
Lipa20a,9,7,3890,3929,0.729
Lipa20a,9,8,3890,3956,0.734
Lipa20a,9,9,3890,3996,0.74
Lipa20a,9,10,3890,3980,0.745
Lipa20a,9,11,3890,3988,0.748
Lipa20a,9,12,3890,3959,0.753
Lipa20a,9,13,3890,3936,0.757
Lipa20a,9,-1,3890,3929,0.759
Lipa20a,10,0,3890,3990,0.762
Lipa20a,10,1,3890,3954,0.766
Lipa20a,10,2,3890,3957,0.772
Lipa20a,10,3,3890,3963,0.778
Lipa20a,10,4,3890,3956,0.782
Lipa20a,10,5,3890,3954,0.788
Lipa20a,10,6,3890,3969,0.792
Lipa20a,10,7,3890,3982,0.797
Lipa20a,10,8,3890,3943,0.801
Lipa20a,10,9,3890,3961,0.805
Lipa20a,10,10,3890,4010,0.81
Lipa20a,10,11,3890,3989,0.815
Lipa20a,10,12,3890,3994,0.821
Lipa20a,10,13,3890,3945,0.827
Lipa20a,10,-1,3890,3943,0.83
Lipa20a,11,0,3890,3959,0.836
Lipa20a,11,1,3890,3992,0.843
Lipa20a,11,2,3890,3977,0.849
Lipa20a,11,3,3890,3991,0.853
Lipa20a,11,4,3890,3985,0.859
Lipa20a,11,5,3890,3957,0.862
Lipa20a,11,6,3890,3947,0.866
Lipa20a,11,7,3890,3972,0.87
Lipa20a,11,8,3890,3966,0.875
Lipa20a,11,9,3890,4012,0.878
Lipa20a,11,10,3890,4018,0.883
Lipa20a,11,11,3890,3988,0.888
Lipa20a,11,12,3890,3964,0.894
Lipa20a,11,13,3890,3971,0.899
Lipa20a,11,-1,3890,3947,0.902
Lipa20a,12,0,3890,3978,0.907
Lipa20a,12,1,3890,3994,0.912
Lipa20a,12,2,3890,3960,0.917
Lipa20a,12,3,3890,3996,0.924
Lipa20a,12,4,3890,3973,0.929
Lipa20a,12,5,3890,3972,0.935
Lipa20a,12,6,3890,3994,0.942
Lipa20a,12,7,3890,3962,0.945
Lipa20a,12,8,3890,3997,0.951
Lipa20a,12,9,3890,3983,0.957
Lipa20a,12,10,3890,3973,0.963
Lipa20a,12,11,3890,4015,0.969
Lipa20a,12,12,3890,3955,0.973
Lipa20a,12,13,3890,3993,0.979
Lipa20a,12,-1,3890,3955,0.98
Lipa20a,13,0,3890,3934,0.985
Lipa20a,13,1,3890,3944,0.99
Lipa20a,13,2,3890,3983,0.994
Lipa20a,13,3,3890,3974,0.998
Lipa20a,13,4,3890,3944,1.004
Lipa20a,13,5,3890,3934,1.008
Lipa20a,13,6,3890,3981,1.012
Lipa20a,13,7,3890,3927,1.017
Lipa20a,13,8,3890,3963,1.021
Lipa20a,13,9,3890,3996,1.025
Lipa20a,13,10,3890,3999,1.029
Lipa20a,13,11,3890,3998,1.033
Lipa20a,13,12,3890,3976,1.036
Lipa20a,13,13,3890,3961,1.04
Lipa20a,13,-1,3890,3927,1.042
Lipa20a,14,0,3890,3977,1.048
Lipa20a,14,1,3890,4008,1.053
Lipa20a,14,2,3890,3961,1.058
Lipa20a,14,3,3890,3974,1.063
Lipa20a,14,4,3890,3961,1.069
Lipa20a,14,5,3890,3956,1.074
Lipa20a,14,6,3890,3960,1.079
Lipa20a,14,7,3890,4003,1.083
Lipa20a,14,8,3890,3984,1.088
Lipa20a,14,9,3890,3935,1.09
Lipa20a,14,10,3890,3939,1.095
Lipa20a,14,11,3890,3969,1.1
Lipa20a,14,12,3890,3941,1.106
Lipa20a,14,13,3890,3945,1.11
Lipa20a,14,-1,3890,3935,1.113
Lipa20a,15,0,3890,3976,1.118
Lipa20a,15,1,3890,3971,1.123
Lipa20a,15,2,3890,3979,1.127
Lipa20a,15,3,3890,3949,1.132
Lipa20a,15,4,3890,3915,1.135
Lipa20a,15,5,3890,3959,1.14
Lipa20a,15,6,3890,3951,1.142
Lipa20a,15,7,3890,3979,1.146
Lipa20a,15,8,3890,3989,1.15
Lipa20a,15,9,3890,3976,1.155
Lipa20a,15,10,3890,3972,1.159
Lipa20a,15,11,3890,4001,1.162
Lipa20a,15,12,3890,3968,1.165
Lipa20a,15,13,3890,3996,1.169
Lipa20a,15,-1,3890,3915,1.171
Lipa20a,16,0,3890,3974,1.174
Lipa20a,16,1,3890,3958,1.176
Lipa20a,16,2,3890,4005,1.18
Lipa20a,16,3,3890,3940,1.184
Lipa20a,16,4,3890,3982,1.189
Lipa20a,16,5,3890,3982,1.194
Lipa20a,16,6,3890,3959,1.198
Lipa20a,16,7,3890,3986,1.203
Lipa20a,16,8,3890,3962,1.208
Lipa20a,16,9,3890,3991,1.214
Lipa20a,16,10,3890,3938,1.218
Lipa20a,16,11,3890,3962,1.222
Lipa20a,16,12,3890,3996,1.225
Lipa20a,16,13,3890,3975,1.229
Lipa20a,16,-1,3890,3938,1.23
Lipa20a,17,0,3890,3991,1.237
Lipa20a,17,1,3890,3978,1.242
Lipa20a,17,2,3890,3952,1.247
Lipa20a,17,3,3890,3983,1.253
Lipa20a,17,4,3890,3976,1.259
Lipa20a,17,5,3890,3980,1.263
Lipa20a,17,6,3890,3969,1.267
Lipa20a,17,7,3890,3983,1.273
Lipa20a,17,8,3890,4000,1.278
Lipa20a,17,9,3890,4016,1.284
Lipa20a,17,10,3890,3958,1.288
Lipa20a,17,11,3890,3939,1.292
Lipa20a,17,12,3890,3984,1.298
Lipa20a,17,13,3890,3937,1.3
Lipa20a,17,-1,3890,3937,1.303
Lipa20a,18,0,3890,3955,1.307
Lipa20a,18,1,3890,4004,1.311
Lipa20a,18,2,3890,3946,1.316
Lipa20a,18,3,3890,4027,1.32
Lipa20a,18,4,3890,3946,1.327
Lipa20a,18,5,3890,4027,1.331
Lipa20a,18,6,3890,3949,1.337
Lipa20a,18,7,3890,3971,1.341
Lipa20a,18,8,3890,3975,1.347
Lipa20a,18,9,3890,3962,1.352
Lipa20a,18,10,3890,3967,1.357
Lipa20a,18,11,3890,3999,1.364
Lipa20a,18,12,3890,3966,1.371
Lipa20a,18,13,3890,3990,1.377
Lipa20a,18,-1,3890,3946,1.38
Lipa20a,19,0,3890,3957,1.382
Lipa20a,19,1,3890,3989,1.387
Lipa20a,19,2,3890,3978,1.392
Lipa20a,19,3,3890,4010,1.396
Lipa20a,19,4,3890,4013,1.402
Lipa20a,19,5,3890,3965,1.406
Lipa20a,19,6,3890,3966,1.411
Lipa20a,19,7,3890,4009,1.415
Lipa20a,19,8,3890,4018,1.419
Lipa20a,19,9,3890,3971,1.423
Lipa20a,19,10,3890,3964,1.427
Lipa20a,19,11,3890,3973,1.433
Lipa20a,19,12,3890,3959,1.44
Lipa20a,19,13,3890,3969,1.443
Lipa20a,19,-1,3890,3957,1.446
Lipa20a,20,0,3890,3974,1.451
Lipa20a,20,1,3890,3980,1.456
Lipa20a,20,2,3890,3929,1.462
Lipa20a,20,3,3890,3944,1.467
Lipa20a,20,4,3890,3980,1.473
Lipa20a,20,5,3890,4003,1.478
Lipa20a,20,6,3890,3971,1.482
Lipa20a,20,7,3890,3964,1.485
Lipa20a,20,8,3890,3980,1.49
Lipa20a,20,9,3890,3953,1.495
Lipa20a,20,10,3890,3976,1.501
Lipa20a,20,11,3890,3998,1.506
Lipa20a,20,12,3890,3973,1.511
Lipa20a,20,13,3890,3989,1.517
Lipa20a,20,-1,3890,3929,1.52
Lipa20a,21,0,3890,3990,1.526
Lipa20a,21,1,3890,3994,1.532
Lipa20a,21,2,3890,3991,1.535
Lipa20a,21,3,3890,3967,1.539
Lipa20a,21,4,3890,3947,1.545
Lipa20a,21,5,3890,3968,1.552
Lipa20a,21,6,3890,3991,1.556
Lipa20a,21,7,3890,3940,1.561
Lipa20a,21,8,3890,3934,1.567
Lipa20a,21,9,3890,3962,1.572
Lipa20a,21,10,3890,3977,1.575
Lipa20a,21,11,3890,3974,1.579
Lipa20a,21,12,3890,3990,1.584
Lipa20a,21,13,3890,3950,1.588
Lipa20a,21,-1,3890,3934,1.59
Lipa20a,22,0,3890,3950,1.595
Lipa20a,22,1,3890,3970,1.6
Lipa20a,22,2,3890,3988,1.605
Lipa20a,22,3,3890,3946,1.611
Lipa20a,22,4,3890,3977,1.616
Lipa20a,22,5,3890,3972,1.619
Lipa20a,22,6,3890,3973,1.625
Lipa20a,22,7,3890,3975,1.631
Lipa20a,22,8,3890,3974,1.636
Lipa20a,22,9,3890,3967,1.641
Lipa20a,22,10,3890,3972,1.645
Lipa20a,22,11,3890,3995,1.649
Lipa20a,22,12,3890,3998,1.654
Lipa20a,22,13,3890,3984,1.66
Lipa20a,22,-1,3890,3946,1.662
Lipa20a,23,0,3890,3975,1.668
Lipa20a,23,1,3890,3941,1.674
Lipa20a,23,2,3890,3984,1.68
Lipa20a,23,3,3890,3944,1.685
Lipa20a,23,4,3890,3977,1.691
Lipa20a,23,5,3890,3984,1.695
Lipa20a,23,6,3890,3977,1.7
Lipa20a,23,7,3890,3987,1.705
Lipa20a,23,8,3890,4017,1.71
Lipa20a,23,9,3890,3960,1.714
Lipa20a,23,10,3890,3951,1.719
Lipa20a,23,11,3890,3994,1.725
Lipa20a,23,12,3890,3984,1.731
Lipa20a,23,13,3890,4020,1.735
Lipa20a,23,-1,3890,3941,1.738
Lipa20a,24,0,3890,3980,1.742
Lipa20a,24,1,3890,3966,1.746
Lipa20a,24,2,3890,3984,1.752
Lipa20a,24,3,3890,3941,1.757
Lipa20a,24,4,3890,3951,1.763
Lipa20a,24,5,3890,4007,1.769
Lipa20a,24,6,3890,3959,1.774
Lipa20a,24,7,3890,3985,1.78
Lipa20a,24,8,3890,4015,1.785
Lipa20a,24,9,3890,3972,1.791
Lipa20a,24,10,3890,3971,1.796
Lipa20a,24,11,3890,3962,1.802
Lipa20a,24,12,3890,3976,1.807
Lipa20a,24,13,3890,3963,1.812
Lipa20a,24,-1,3890,3941,1.814
Lipa20a,25,0,3890,3956,1.819
Lipa20a,25,1,3890,3989,1.824
Lipa20a,25,2,3890,4012,1.828
Lipa20a,25,3,3890,4004,1.835
Lipa20a,25,4,3890,3986,1.839
Lipa20a,25,5,3890,3932,1.844
Lipa20a,25,6,3890,3974,1.848
Lipa20a,25,7,3890,3946,1.853
Lipa20a,25,8,3890,3978,1.858
Lipa20a,25,9,3890,3961,1.861
Lipa20a,25,10,3890,3946,1.867
Lipa20a,25,11,3890,3976,1.872
Lipa20a,25,12,3890,3940,1.878
Lipa20a,25,13,3890,3973,1.882
Lipa20a,25,-1,3890,3932,1.884
Lipa20a,26,0,3890,3933,1.891
Lipa20a,26,1,3890,4015,1.896
Lipa20a,26,2,3890,3950,1.902
Lipa20a,26,3,3890,3989,1.908
Lipa20a,26,4,3890,3956,1.913
Lipa20a,26,5,3890,4009,1.919
Lipa20a,26,6,3890,3975,1.925
Lipa20a,26,7,3890,3964,1.93
Lipa20a,26,8,3890,3998,1.934
Lipa20a,26,9,3890,3991,1.941
Lipa20a,26,10,3890,3970,1.944
Lipa20a,26,11,3890,3946,1.949
Lipa20a,26,12,3890,3999,1.955
Lipa20a,26,13,3890,3967,1.96
Lipa20a,26,-1,3890,3933,1.961
Lipa20a,27,0,3890,3972,1.967
Lipa20a,27,1,3890,3951,1.972
Lipa20a,27,2,3890,3985,1.977
Lipa20a,27,3,3890,3963,1.98
Lipa20a,27,4,3890,3982,1.984
Lipa20a,27,5,3890,4003,1.988
Lipa20a,27,6,3890,3950,1.993
Lipa20a,27,7,3890,3949,1.999
Lipa20a,27,8,3890,3955,2.005
Lipa20a,27,9,3890,3989,2.01
Lipa20a,27,10,3890,3971,2.014
Lipa20a,27,11,3890,3990,2.018
Lipa20a,27,12,3890,3962,2.021
Lipa20a,27,13,3890,3983,2.026
Lipa20a,27,-1,3890,3949,2.027
Lipa20a,28,0,3890,3963,2.031
Lipa20a,28,1,3890,3985,2.038
Lipa20a,28,2,3890,3993,2.044
Lipa20a,28,3,3890,3983,2.049
Lipa20a,28,4,3890,3966,2.053
Lipa20a,28,5,3890,3961,2.059
Lipa20a,28,6,3890,3961,2.063
Lipa20a,28,7,3890,3952,2.07
Lipa20a,28,8,3890,3931,2.075
Lipa20a,28,9,3890,3987,2.08
Lipa20a,28,10,3890,3989,2.083
Lipa20a,28,11,3890,3969,2.087
Lipa20a,28,12,3890,3971,2.09
Lipa20a,28,13,3890,3963,2.094
Lipa20a,28,-1,3890,3931,2.097
