instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Tai256c,0,0,54498398,54498398,0.344
Tai256c,0,1,51642480,51642480,0.677
Tai256c,0,2,51642480,53679850,1.021
Tai256c,0,3,51642480,52428794,1.357
Tai256c,0,4,51642480,52572416,1.694
Tai256c,0,5,51642480,53464770,2.007
Tai256c,0,6,51642480,52846742,2.343
Tai256c,0,7,51642480,53514826,2.615
Tai256c,0,8,51642480,53859200,2.942
Tai256c,0,9,51642480,53931416,3.257
Tai256c,0,10,51642480,54089306,3.549
Tai256c,0,11,51642480,53261282,3.808
Tai256c,0,12,51642480,53558182,4.135
Tai256c,0,13,51642480,52422516,4.413
Tai256c,0,14,51583182,51583182,4.697
Tai256c,0,15,51583182,53315174,5.016
Tai256c,0,-1,51583182,51583182,5.029
Tai256c,1,0,51583182,54599794,5.37
Tai256c,1,1,51555274,51555274,5.731
Tai256c,1,2,51555274,53006124,6.043
Tai256c,1,3,51527404,51527404,6.349
Tai256c,1,4,51527404,53881696,6.669
Tai256c,1,5,51527404,53596032,7.022
Tai256c,1,6,51527404,53501900,7.335
Tai256c,1,7,51527404,51923346,7.685
Tai256c,1,8,51527404,53159092,8.027
Tai256c,1,9,51527404,53001954,8.385
Tai256c,1,10,51527404,52907790,8.728
Tai256c,1,11,51527404,53034886,9.069
Tai256c,1,12,51527404,54124572,9.415
Tai256c,1,13,51527404,52518860,9.736
Tai256c,1,14,51527404,53563760,10.082
Tai256c,1,15,51527404,56099664,10.431
Tai256c,1,-1,51527404,51527404,10.444
Tai256c,2,0,51527404,53403010,10.781
Tai256c,2,1,51527404,53805286,11.116
Tai256c,2,2,51527404,53152982,11.431
Tai256c,2,3,51527404,54053576,11.762
Tai256c,2,4,51527404,54115990,12.108
Tai256c,2,5,51527404,53087772,12.438
Tai256c,2,6,51527404,52722912,12.765
Tai256c,2,7,51527404,52117790,13.093
Tai256c,2,8,51527404,52875830,13.379
Tai256c,2,9,51527404,51841152,13.731
Tai256c,2,10,51527404,53364596,14.066
Tai256c,2,11,51527404,55420066,14.414
Tai256c,2,12,51527404,54355828,14.756
Tai256c,2,13,51527404,53024934,15.11
Tai256c,2,14,51527404,54402118,15.441
Tai256c,2,15,51527404,54254852,15.749
Tai256c,2,-1,51527404,51841152,15.76
Tai256c,3,0,51527404,52688302,16.08
Tai256c,3,1,51527404,53579514,16.374
Tai256c,3,2,51462598,51462598,16.651
Tai256c,3,3,51462598,53455538,16.933
Tai256c,3,4,51462598,52894286,17.281
Tai256c,3,5,51462598,53305750,17.61
Tai256c,3,6,51462598,55625168,17.933
Tai256c,3,7,51462598,52816336,18.274
Tai256c,3,8,51462598,52202210,18.59
Tai256c,3,9,51462598,52148828,18.918
Tai256c,3,10,51462598,54697950,19.267
Tai256c,3,11,51462598,52373302,19.575
Tai256c,3,12,51462598,54536502,19.854
Tai256c,3,13,51462598,53171160,20.118
Tai256c,3,14,51462598,52048250,20.462
Tai256c,3,15,51462598,53484684,20.79
Tai256c,3,-1,51462598,51462598,20.8
Tai256c,4,0,51462598,52673752,21.138
Tai256c,4,1,51462598,54125620,21.474
Tai256c,4,2,51462598,52378312,21.818
Tai256c,4,3,51462598,54089262,22.149
Tai256c,4,4,51462598,52425350,22.451
Tai256c,4,5,51462598,54160058,22.798
Tai256c,4,6,51462598,52204656,23.211
Tai256c,4,7,51462598,54755232,23.537
Tai256c,4,8,51462598,53325504,23.876
Tai256c,4,9,51462598,53759070,24.185
Tai256c,4,10,51462598,53872312,24.514
Tai256c,4,11,51462598,53445014,24.852
Tai256c,4,12,51462598,52590842,25.179
Tai256c,4,13,51462598,51732268,25.508
Tai256c,4,14,51280634,51280634,25.895
Tai256c,4,15,51280634,52857246,26.186
Tai256c,4,-1,51280634,51280634,26.196
Tai256c,5,0,51280634,51625822,26.485
Tai256c,5,1,51280634,53620980,26.776
Tai256c,5,2,51280634,54625220,27.064
Tai256c,5,3,51280634,55411930,27.347
Tai256c,5,4,51280634,53010858,27.632
Tai256c,5,5,51280634,52108042,27.934
Tai256c,5,6,51280634,53548222,28.237
Tai256c,5,7,51280634,53366432,28.474
Tai256c,5,8,51280634,52937204,28.764
Tai256c,5,9,51280634,53065126,29.048
Tai256c,5,10,51280634,54174698,29.379
Tai256c,5,11,51280634,52643326,29.669
Tai256c,5,12,51280634,53517814,29.974
Tai256c,5,13,51280634,53948008,30.254
Tai256c,5,14,51280634,57421910,30.558
Tai256c,5,15,51280634,53939350,30.871
Tai256c,5,-1,51280634,51625822,30.892
Tai256c,6,0,50539342,50539342,31.156
Tai256c,6,1,50539342,54909508,31.502
Tai256c,6,2,50539342,54635448,31.8
Tai256c,6,3,50539342,53410962,32.066
Tai256c,6,4,50539342,53887244,32.306
Tai256c,6,5,50539342,54729574,32.599
Tai256c,6,6,50539342,53732578,32.834
Tai256c,6,7,50539342,57040768,33.083
Tai256c,6,8,50539342,50956234,33.343
Tai256c,6,9,50539342,52584522,33.64
Tai256c,6,10,50539342,52817544,33.88
Tai256c,6,11,50539342,54930500,34.177
Tai256c,6,12,50539342,53182788,34.443
Tai256c,6,13,50539342,54246778,34.714
Tai256c,6,14,50539342,52298814,34.987
Tai256c,6,15,50539342,52507808,35.294
Tai256c,6,-1,50539342,50539342,35.309
Tai256c,0,0,52087350,52087350,35.597
Tai256c,0,1,52087350,54735716,35.938
Tai256c,0,2,52087350,53691240,36.219
Tai256c,0,3,52087350,53257438,36.534
Tai256c,0,4,52087350,54470054,36.8
Tai256c,0,5,52087350,53037362,37.066
Tai256c,0,6,52087350,55563876,37.325
Tai256c,0,7,52087350,52880494,37.629
Tai256c,0,8,51775112,51775112,37.956
Tai256c,0,9,51775112,55044288,38.267
Tai256c,0,10,51775112,53063656,38.631
Tai256c,0,-1,51775112,51775112,38.641
Tai256c,1,0,51775112,53802036,38.964
Tai256c,1,1,51775112,51951408,39.278
Tai256c,1,2,51775112,56063478,39.593
Tai256c,1,3,51775112,52187826,39.918
Tai256c,1,4,51775112,53315750,40.218
Tai256c,1,5,51775112,54822700,40.469
Tai256c,1,6,51775112,52221484,40.758
Tai256c,1,7,51775112,53585374,41.05
Tai256c,1,8,51775112,53508396,41.359
Tai256c,1,9,51775112,54105628,41.672
Tai256c,1,10,51775112,53457674,42.011
Tai256c,1,-1,51775112,51951408,42.02
Tai256c,2,0,51775112,55403542,42.347
Tai256c,2,1,51775112,56191798,42.674
Tai256c,2,2,51775112,54260170,43.037
Tai256c,2,3,51775112,54273448,43.382
Tai256c,2,4,51775112,54671344,43.741
Tai256c,2,5,51775112,55451966,44.076
Tai256c,2,6,51775112,54523716,44.366
Tai256c,2,7,51775112,54673890,44.706
Tai256c,2,8,51775112,52118224,44.986
Tai256c,2,9,51775112,52847554,45.32
Tai256c,2,10,51775112,53078570,45.617
Tai256c,2,-1,51775112,52118224,45.624
Tai256c,3,0,51775112,53516562,45.907
Tai256c,3,1,51775112,54939322,46.26
Tai256c,3,2,51775112,52368540,46.564
Tai256c,3,3,51775112,53871760,46.906
Tai256c,3,4,51775112,52293650,47.276
Tai256c,3,5,51775112,53737086,47.586
Tai256c,3,6,51775112,53532196,47.914
Tai256c,3,7,51775112,54348422,48.276
Tai256c,3,8,51775112,52799562,48.615
Tai256c,3,9,51775112,53971622,48.898
Tai256c,3,10,51775112,52352122,49.227
Tai256c,3,-1,51775112,52293650,49.234
Tai256c,4,0,51775112,52487538,49.534
Tai256c,4,1,51775112,52932286,49.828
Tai256c,4,2,51428090,51428090,50.137
Tai256c,4,3,51428090,53533030,50.459
Tai256c,4,4,51428090,54216830,50.733
Tai256c,4,5,51428090,54309984,51.043
Tai256c,4,6,51428090,53708002,51.342
Tai256c,4,7,51428090,52420976,51.649
Tai256c,4,8,51428090,54164290,51.96
Tai256c,4,9,51428090,55138106,52.29
