instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Wil50,0,0,55526,55526,0.023
Wil50,0,1,55526,56428,0.042
Wil50,0,2,55526,56654,0.057
Wil50,0,3,55526,57010,0.074
Wil50,0,4,55526,56620,0.093
Wil50,0,5,55526,56456,0.112
Wil50,0,6,55526,56344,0.131
Wil50,0,7,55526,56704,0.148
Wil50,0,8,55526,57358,0.162
Wil50,0,9,55526,56998,0.182
Wil50,0,10,55526,57256,0.2
Wil50,0,11,55526,56968,0.214
Wil50,0,12,55526,57308,0.227
Wil50,0,13,55526,57438,0.242
Wil50,0,-1,55526,55526,0.244
Wil50,1,0,55526,56288,0.261
Wil50,1,1,55526,56906,0.281
Wil50,1,2,55526,56698,0.3
Wil50,1,3,55526,56934,0.32
Wil50,1,4,55526,56718,0.339
Wil50,1,5,55526,57364,0.361
Wil50,1,6,55526,56394,0.379
Wil50,1,7,55526,56414,0.394
Wil50,1,8,55526,55818,0.414
Wil50,1,9,55526,56620,0.435
Wil50,1,10,55526,56688,0.458
Wil50,1,11,55526,57310,0.483
Wil50,1,12,55526,56520,0.504
Wil50,1,13,55526,56708,0.526
Wil50,1,-1,55526,55818,0.53
Wil50,2,0,55526,57140,0.551
Wil50,2,1,55526,57040,0.571
Wil50,2,2,55526,57046,0.597
Wil50,2,3,55526,56556,0.616
Wil50,2,4,55526,57734,0.633
Wil50,2,5,55526,57314,0.653
Wil50,2,6,55526,55914,0.675
Wil50,2,7,55526,56912,0.69
Wil50,2,8,55526,56124,0.705
Wil50,2,9,55526,57586,0.721
Wil50,2,10,55526,57242,0.739
Wil50,2,11,55526,57098,0.764
Wil50,2,12,55526,56716,0.785
Wil50,2,13,55526,56864,0.807
Wil50,2,-1,55526,55914,0.811
Wil50,3,0,55526,55864,0.829
Wil50,3,1,55526,56580,0.85
Wil50,3,2,55526,57384,0.868
Wil50,3,3,55526,57532,0.892
Wil50,3,4,55526,56386,0.914
Wil50,3,5,55526,56604,0.932
Wil50,3,6,55526,57140,0.951
Wil50,3,7,55526,57044,0.987
Wil50,3,8,55526,58322,1.011
Wil50,3,9,55526,56144,1.038
Wil50,3,10,55526,56400,1.063
Wil50,3,11,55526,56748,1.083
Wil50,3,12,55526,57284,1.108
Wil50,3,13,55526,56820,1.139
Wil50,3,-1,55526,55864,1.148
Wil50,4,0,55526,57512,1.171
Wil50,4,1,55526,56686,1.194
Wil50,4,2,55526,56678,1.217
Wil50,4,3,55478,55478,1.241
Wil50,4,4,55478,57258,1.269
Wil50,4,5,55478,56682,1.288
Wil50,4,6,55478,57492,1.307
Wil50,4,7,55478,56488,1.324
Wil50,4,8,55478,57312,1.345
Wil50,4,9,55478,56210,1.362
Wil50,4,10,55478,56190,1.388
Wil50,4,11,55478,56412,1.412
Wil50,4,12,55478,57292,1.434
Wil50,4,13,55478,57402,1.449
Wil50,4,-1,55478,55478,1.453
Wil50,5,0,55478,57400,1.492
Wil50,5,1,55478,56970,1.542
Wil50,5,2,55478,56822,1.553
Wil50,5,3,55478,57428,1.558
Wil50,5,4,55478,55968,1.564
Wil50,5,5,55478,56524,1.57
Wil50,5,6,55478,57302,1.589
Wil50,5,7,55478,57758,1.625
Wil50,5,8,55478,56158,1.645
Wil50,5,9,55478,56614,1.661
Wil50,5,10,55478,55838,1.675
Wil50,5,11,55478,56258,1.694
Wil50,5,12,55478,56190,1.713
Wil50,5,13,55478,57068,1.732
Wil50,5,-1,55478,55838,1.736
Wil50,6,0,55478,56648,1.754
Wil50,6,1,55478,56478,1.773
Wil50,6,2,55478,56688,1.788
Wil50,6,3,55478,56520,1.808
Wil50,6,4,55478,56764,1.827
Wil50,6,5,55478,56820,1.842
Wil50,6,6,55478,57074,1.86
Wil50,6,7,55478,56424,1.876
Wil50,6,8,55478,56312,1.894
Wil50,6,9,55478,56570,1.912
Wil50,6,10,55478,57034,1.928
Wil50,6,11,55478,57098,1.947
Wil50,6,12,55478,56104,1.968
Wil50,6,13,55478,56146,1.985
Wil50,6,-1,55478,56104,1.989
Wil50,7,0,55478,56678,2.01
