instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB
Chr12a,42,"[10, 4, 7, 11, 5, 2, 3, 9, 8, 6, 1, 0]",11198,32.95,120.51
Chr12a,43,"[10, 5, 4, 11, 7, 3, 2, 6, 1, 0, 8, 9]",10096,33.19,120.51
Chr12a,44,"[10, 5, 4, 11, 7, 3, 2, 6, 1, 0, 8, 9]",10096,26.46,120.51
Chr12a,45,"[6, 4, 11, 1, 0, 2, 8, 10, 9, 5, 7, 3]",9552,77.34,120.51
Chr12a,46,"[6, 9, 4, 1, 0, 7, 2, 10, 8, 5, 11, 3]",9916,45.24,120.51
Chr12a,47,"[10, 5, 0, 11, 7, 3, 9, 6, 1, 4, 8, 2]",10122,46.55,120.51
Chr12a,48,"[6, 9, 4, 1, 0, 7, 2, 10, 8, 5, 11, 3]",9916,43.53,120.51
Chr12a,49,"[10, 5, 4, 11, 7, 3, 2, 6, 1, 0, 8, 9]",10096,58.65,120.51
Chr12a,50,"[6, 4, 11, 1, 0, 2, 8, 10, 9, 5, 7, 3]",9552,77.49,120.51
Chr12a,51,"[6, 4, 11, 1, 0, 2, 8, 10, 9, 5, 7, 3]",9552,119.14,120.51
