instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Esc32a,42,"[20, 22, 18, 26, 24, 28, 29, 31, 27, 25, 9, 1, 0, 8, 10, 14, 30, 2, 6, 4, 12, 13, 15, 7, 23, 21, 5, 11, 3, 19, 17, 16]",302,9.01,131.55,10,0.762651112221048,1.722326534307067,0.0596393055084586,1,131
Esc32a,43,"[3, 11, 10, 8, 9, 1, 17, 25, 24, 26, 18, 2, 6, 4, 12, 14, 15, 13, 5, 7, 23, 19, 27, 31, 29, 28, 30, 22, 20, 16, 0, 21]",314,5.15,131.55,14,0.7637611889607194,1.2553723863624686,0.06438015664287766,1,68
Esc32a,44,"[17, 1, 9, 11, 3, 2, 10, 14, 15, 31, 29, 21, 20, 16, 0, 4, 12, 13, 5, 7, 23, 22, 6, 28, 24, 26, 30, 18, 19, 27, 25, 8]",310,4.79,131.55,19,0.5398631583783435,2.029798239655041,0.17532459794070848,1,90
Esc32a,45,"[15, 14, 30, 31, 29, 25, 27, 19, 23, 7, 6, 4, 5, 13, 12, 8, 24, 26, 10, 11, 9, 1, 3, 2, 0, 16, 18, 22, 20, 28, 21, 17]",310,4.19,131.55,19,1.9702876395799933,2.0386433909937174,0.17777889752151826,1,66
Esc32a,46,"[9, 1, 17, 21, 29, 25, 24, 16, 18, 26, 27, 11, 3, 19, 23, 22, 30, 31, 15, 13, 12, 28, 20, 4, 5, 7, 6, 14, 10, 8, 0, 2]",302,6.75,131.55,18,1.7639638978163956,1.003023944490647,0.14557682530176996,1,95
Esc32a,47,"[2, 6, 7, 23, 21, 5, 13, 29, 31, 15, 14, 12, 28, 30, 22, 20, 16, 18, 26, 27, 11, 3, 1, 9, 8, 24, 25, 17, 19, 10, 0, 4]",322,4.16,131.55,10,0.5672719351277178,2.576104005275313,0.14573866357132212,1,80
Esc32a,48,"[1, 17, 21, 20, 4, 6, 14, 30, 31, 15, 11, 10, 2, 18, 16, 24, 28, 29, 13, 5, 7, 3, 19, 23, 22, 26, 27, 25, 9, 8, 0, 12]",304,3.74,131.55,10,0.7439142213603261,2.1252390432712143,0.08600529668338927,1,78
Esc32a,49,"[0, 2, 3, 11, 10, 14, 6, 7, 15, 13, 12, 28, 24, 26, 30, 22, 23, 19, 18, 16, 20, 4, 5, 21, 29, 31, 27, 25, 17, 1, 9, 8]",318,6.02,131.55,10,0.7837393349242556,1.6599954480137507,0.13827022216573392,1,129
Esc32a,50,"[16, 0, 8, 12, 4, 6, 14, 15, 11, 10, 26, 18, 2, 3, 1, 17, 25, 9, 13, 5, 21, 20, 22, 30, 28, 29, 31, 23, 19, 27, 24, 7]",314,2.88,131.55,7,1.168187131183371,2.8304439944366795,0.09385135865079011,1,87
Esc32a,51,"[25, 29, 28, 30, 31, 27, 11, 10, 14, 12, 13, 5, 21, 23, 22, 20, 4, 6, 7, 3, 19, 17, 1, 9, 8, 24, 26, 18, 16, 0, 2, 15]",314,3.85,131.55,12,1.56723473807734,1.3099449277732813,0.10345846973467478,1,81
