instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Wil50,42,"[14, 45, 32, 28, 46, 47, 33, 23, 42, 2, 27, 7, 31, 48, 49, 16, 29, 3, 22, 21, 40, 4, 5, 24, 36, 1, 43, 30, 41, 0, 35, 34, 11, 15, 44, 9, 18, 17, 37, 6, 13, 26, 20, 19, 38, 39, 10, 8, 12, 25]",55028,29.62,131.55,14,1.4476148624281875,1.7145603173886679,0.10831008789041914,1,117
Wil50,43,"[22, 26, 48, 49, 16, 39, 19, 47, 12, 29, 17, 23, 34, 11, 4, 33, 7, 31, 6, 21, 40, 46, 45, 8, 44, 14, 27, 37, 28, 30, 43, 1, 36, 25, 18, 38, 9, 2, 42, 0, 10, 35, 24, 41, 3, 13, 5, 32, 20, 15]",54940,21.64,131.55,13,1.1754462597894157,2.8216145826012475,0.1974237689506944,1,93
Wil50,44,"[27, 37, 17, 34, 8, 28, 46, 47, 19, 39, 3, 22, 9, 44, 15, 11, 4, 24, 16, 29, 25, 45, 14, 42, 23, 33, 7, 43, 30, 41, 0, 35, 10, 48, 26, 20, 1, 13, 6, 21, 40, 49, 36, 18, 38, 31, 32, 12, 2, 5]",55224,24.28,131.55,18,1.1704049675413446,1.8015444067058086,0.1109191730947755,1,76
Wil50,45,"[45, 32, 21, 22, 26, 2, 27, 37, 17, 29, 24, 5, 8, 44, 15, 11, 34, 35, 0, 41, 30, 43, 7, 31, 48, 10, 3, 39, 20, 19, 47, 12, 14, 42, 23, 33, 4, 40, 6, 13, 1, 36, 25, 18, 9, 38, 28, 46, 16, 49]",55364,36.94,131.55,15,1.7124341242626948,1.9172932034308068,0.1650415244775813,1,139
Wil50,46,"[45, 25, 29, 12, 47, 33, 4, 24, 41, 0, 35, 34, 18, 28, 30, 27, 37, 6, 40, 21, 32, 17, 23, 42, 14, 3, 10, 48, 49, 16, 13, 1, 20, 19, 39, 38, 9, 22, 26, 2, 44, 8, 5, 31, 7, 43, 11, 15, 36, 46]",55302,10.74,131.55,10,1.7711914004802374,2.759145048377606,0.18050911702624134,1,59
Wil50,47,"[28, 46, 6, 13, 16, 15, 11, 41, 12, 45, 14, 37, 17, 32, 21, 19, 38, 39, 20, 1, 43, 7, 31, 44, 8, 23, 42, 5, 24, 29, 3, 22, 9, 2, 26, 48, 49, 34, 35, 10, 0, 25, 4, 33, 47, 36, 18, 27, 30, 40]",54960,31.79,131.55,13,1.5053326375813563,2.906621995554846,0.09249441110296477,1,136
Wil50,48,"[11, 34, 17, 23, 42, 14, 37, 27, 2, 28, 8, 5, 24, 22, 26, 48, 49, 16, 13, 1, 20, 25, 46, 45, 12, 47, 19, 39, 38, 18, 9, 44, 15, 21, 6, 40, 4, 33, 7, 31, 43, 30, 41, 0, 10, 3, 29, 36, 35, 32]",55306,13.93,131.55,13,0.6546775309593942,2.0660157303091395,0.14706952282999025,1,60
Wil50,49,"[47, 19, 20, 26, 41, 30, 27, 7, 17, 34, 8, 23, 42, 14, 44, 9, 18, 28, 32, 45, 25, 29, 12, 38, 39, 16, 49, 48, 10, 0, 35, 21, 6, 40, 4, 33, 24, 22, 3, 13, 1, 43, 5, 37, 31, 36, 11, 15, 46, 2]",55240,28.74,131.55,19,1.5376044178620707,1.9414330587655813,0.15796055725649744,1,84
Wil50,50,"[47, 12, 29, 25, 20, 26, 48, 10, 3, 22, 24, 36, 1, 17, 34, 35, 23, 42, 14, 44, 15, 11, 41, 30, 43, 7, 31, 27, 2, 28, 32, 21, 40, 4, 5, 8, 45, 49, 16, 39, 19, 0, 6, 37, 9, 38, 18, 13, 33, 46]",55318,7.55,131.55,6,0.9812052421910099,2.5617093913788604,0.1577273802644551,1,68
Wil50,51,"[35, 23, 8, 5, 24, 22, 9, 44, 15, 11, 41, 12, 47, 33, 7, 31, 48, 10, 0, 19, 39, 38, 18, 25, 20, 1, 43, 30, 27, 2, 26, 36, 28, 46, 6, 37, 17, 32, 45, 49, 16, 13, 3, 14, 42, 4, 40, 21, 34, 29]",55106,24.97,131.55,17,1.1671384002770244,2.558015097981786,0.09281748641358428,1,80
