instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Bur26a,0,0,6001555,6001555,0.008
Bur26a,0,1,5941220,5941220,0.011
Bur26a,0,2,5938210,5938210,0.015
Bur26a,0,3,5938210,6160203,0.018
Bur26a,0,4,5781010,5781010,0.021
Bur26a,0,5,5781010,6006957,0.024
Bur26a,0,6,5781010,5996116,0.026
Bur26a,0,7,5781010,5999072,0.03
Bur26a,0,-1,5781010,5781010,0.031
Bur26a,1,0,5781010,5979348,0.035
Bur26a,1,1,5781010,6081098,0.038
Bur26a,1,2,5781010,5989039,0.041
Bur26a,1,3,5781010,6025687,0.045
Bur26a,1,4,5781010,5986126,0.048
Bur26a,1,5,5781010,6029302,0.05
Bur26a,1,6,5781010,5936538,0.054
Bur26a,1,7,5781010,6014026,0.057
Bur26a,1,-1,5781010,5936538,0.059
Bur26a,2,0,5781010,5950682,0.062
Bur26a,2,1,5781010,5988963,0.065
Bur26a,2,2,5781010,5981281,0.068
Bur26a,2,3,5781010,6153066,0.071
Bur26a,2,4,5781010,5805990,0.077
Bur26a,2,5,5781010,5984401,0.08
Bur26a,2,6,5781010,6090674,0.084
Bur26a,2,7,5781010,6026716,0.089
Bur26a,2,-1,5781010,5805990,0.09
Bur26a,3,0,5781010,6242414,0.1
Bur26a,3,1,5781010,6109483,0.105
Bur26a,3,2,5781010,5994409,0.108
Bur26a,3,3,5781010,5861018,0.111
Bur26a,3,4,5781010,6013167,0.115
Bur26a,3,5,5781010,6094632,0.119
Bur26a,3,6,5781010,5963323,0.123
Bur26a,3,7,5781010,6080755,0.126
Bur26a,3,-1,5781010,5861018,0.127
Bur26a,4,0,5781010,6070205,0.131
Bur26a,4,1,5781010,6046700,0.135
Bur26a,4,2,5781010,5960013,0.139
Bur26a,4,3,5781010,5925132,0.142
Bur26a,4,4,5781010,6084007,0.144
Bur26a,4,5,5781010,5850210,0.148
Bur26a,4,6,5781010,6072820,0.15
Bur26a,4,7,5781010,5922025,0.154
Bur26a,4,-1,5781010,5850210,0.155
Bur26a,5,0,5781010,6056322,0.159
Bur26a,5,1,5781010,6037228,0.163
Bur26a,5,2,5781010,5955105,0.166
Bur26a,5,3,5781010,5920080,0.169
Bur26a,5,4,5781010,6020416,0.172
Bur26a,5,5,5781010,6272242,0.174
Bur26a,5,6,5781010,6132336,0.178
Bur26a,5,7,5781010,5965844,0.18
Bur26a,5,-1,5781010,5920080,0.181
Bur26a,6,0,5781010,6009717,0.185
Bur26a,6,1,5781010,6291947,0.188
Bur26a,6,2,5781010,6044136,0.192
Bur26a,6,3,5781010,6046190,0.195
Bur26a,6,4,5781010,5933685,0.209
Bur26a,6,5,5781010,6092085,0.214
Bur26a,6,6,5781010,5969639,0.218
Bur26a,6,7,5781010,6229449,0.224
Bur26a,6,-1,5781010,5933685,0.225
Bur26a,7,0,5781010,6037861,0.227
Bur26a,7,1,5781010,6177234,0.23
Bur26a,7,2,5781010,5934435,0.235
Bur26a,7,3,5781010,6166282,0.239
Bur26a,7,4,5781010,6121547,0.243
Bur26a,7,5,5781010,5971277,0.246
Bur26a,7,6,5781010,5996049,0.249
Bur26a,7,7,5781010,6048299,0.254
Bur26a,7,-1,5781010,5934435,0.255
Bur26a,8,0,5781010,5966086,0.259
Bur26a,8,1,5781010,6137098,0.261
Bur26a,8,2,5781010,6049118,0.272
Bur26a,8,3,5781010,6029092,0.275
Bur26a,8,4,5781010,6013198,0.279
Bur26a,8,5,5781010,5941741,0.283
Bur26a,8,6,5781010,5857942,0.285
Bur26a,8,7,5781010,5882571,0.288
Bur26a,8,-1,5781010,5857942,0.289
Bur26a,9,0,5781010,5867309,0.293
Bur26a,9,1,5781010,6016495,0.297
Bur26a,9,2,5781010,5803702,0.3
Bur26a,9,3,5781010,5998763,0.306
Bur26a,9,4,5781010,6056188,0.308
Bur26a,9,5,5781010,5992321,0.312
Bur26a,9,6,5781010,5999916,0.317
Bur26a,9,7,5781010,6171508,0.321
