instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Bur26c,1,5703392,0.12,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,0.12,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,0.12,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,0.12,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,11.72,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,11.72,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,11.72,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,11.72,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,11.73,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,19.29,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,19.29,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,19.29,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,19.3,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,32.85,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,32.86,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,50.63,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
Bur26c,1,5703392,67.19,120.3,9,65,0.6276,0.4479,8,26,42,"[1, 20, 24, 15, 0, 18, 22, 17, 25, 2, 13, 4, 8, 7, 12, 14, 21, 11, 6, 5, 9, 23, 10, 3, 16, 19]"
