instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Bur26d,0,0,4245960,4245960,0.002
Bur26d,0,1,4205771,4205771,0.004
Bur26d,0,2,4205771,4303355,0.006
Bur26d,0,3,4205771,4213640,0.009
Bur26d,0,4,4176796,4176796,0.011
Bur26d,0,5,4176796,4251087,0.013
Bur26d,0,6,4176796,4178214,0.015
Bur26d,0,7,4140928,4140928,0.017
Bur26d,0,-1,4140928,4140928,0.018
Bur26d,1,0,4140928,4210262,0.02
Bur26d,1,1,4140928,4208496,0.021
Bur26d,1,2,4140928,4207643,0.023
Bur26d,1,3,4128494,4128494,0.026
Bur26d,1,4,4128494,4267021,0.028
Bur26d,1,5,4128494,4223605,0.029
Bur26d,1,6,4128494,4254069,0.031
Bur26d,1,7,4128494,4178319,0.033
Bur26d,1,-1,4128494,4128494,0.034
Bur26d,2,0,4128494,4156224,0.037
Bur26d,2,1,4128494,4180352,0.04
Bur26d,2,2,4128494,4186154,0.042
Bur26d,2,3,4128494,4209688,0.044
Bur26d,2,4,4128494,4192805,0.046
Bur26d,2,5,4128494,4221649,0.048
Bur26d,2,6,4128494,4263795,0.05
Bur26d,2,7,4128494,4129533,0.052
Bur26d,2,-1,4128494,4129533,0.053
Bur26d,3,0,4128494,4224877,0.055
Bur26d,3,1,4128494,4269462,0.056
Bur26d,3,2,4128494,4203380,0.06
Bur26d,3,3,4117869,4117869,0.062
Bur26d,3,4,4117869,4259027,0.066
Bur26d,3,5,4117869,4284980,0.068
Bur26d,3,6,4077525,4077525,0.07
Bur26d,3,7,4077525,4234715,0.071
Bur26d,3,-1,4077525,4077525,0.072
Bur26d,4,0,4077525,4289274,0.074
Bur26d,4,1,4077525,4216353,0.078
Bur26d,4,2,4077525,4287660,0.082
Bur26d,4,3,4077525,4158454,0.084
Bur26d,4,4,4077525,4258156,0.087
Bur26d,4,5,4077525,4230220,0.09
Bur26d,4,6,4077525,4230466,0.093
Bur26d,4,7,4077525,4187067,0.095
Bur26d,4,-1,4077525,4158454,0.096
Bur26d,5,0,4077525,4205257,0.099
Bur26d,5,1,4077525,4299324,0.102
Bur26d,5,2,4077525,4239357,0.105
Bur26d,5,3,4077525,4235906,0.107
Bur26d,5,4,4077525,4189228,0.11
Bur26d,5,5,4077525,4216486,0.112
Bur26d,5,6,4077525,4135973,0.115
Bur26d,5,7,4077525,4206875,0.118
Bur26d,5,-1,4077525,4135973,0.119
Bur26d,6,0,4077525,4151990,0.122
Bur26d,6,1,4077525,4259762,0.125
Bur26d,6,2,4077525,4221983,0.129
Bur26d,6,3,4077525,4344438,0.132
Bur26d,6,4,4077525,4260983,0.135
Bur26d,6,5,4077525,4194143,0.136
Bur26d,6,6,4077525,4242840,0.138
Bur26d,6,7,4077525,4174205,0.14
Bur26d,6,-1,4077525,4151990,0.141
Bur26d,7,0,4077525,4258938,0.143
Bur26d,7,1,4077525,4255960,0.146
Bur26d,7,2,4077525,4125623,0.149
Bur26d,7,3,4077525,4269111,0.152
Bur26d,7,4,4077525,4261506,0.155
Bur26d,7,5,4077525,4268939,0.158
Bur26d,7,6,4077525,4264705,0.161
Bur26d,7,7,4077525,4352203,0.164
Bur26d,7,-1,4077525,4125623,0.165
Bur26d,8,0,4077525,4118235,0.168
Bur26d,8,1,4077525,4199022,0.171
Bur26d,8,2,4077525,4270609,0.173
Bur26d,8,3,4077525,4275169,0.177
Bur26d,8,4,4077525,4173037,0.18
Bur26d,8,5,4077525,4180522,0.183
Bur26d,8,6,4077525,4288538,0.185
Bur26d,8,7,4077525,4226063,0.187
Bur26d,8,-1,4077525,4118235,0.188
Bur26d,9,0,4077525,4287189,0.191
Bur26d,9,1,4077525,4244327,0.195
Bur26d,9,2,4077525,4303451,0.197
Bur26d,9,3,4077525,4251532,0.199
Bur26d,9,4,4077525,4182752,0.201
Bur26d,9,5,4077525,4254948,0.204
Bur26d,9,6,4077525,4168869,0.207
Bur26d,9,7,4071097,4071097,0.211
Bur26d,9,-1,4071097,4071097,0.211
Bur26d,10,0,4071097,4139058,0.214
Bur26d,10,1,4071097,4278377,0.217
Bur26d,10,2,4071097,4196135,0.219
Bur26d,10,3,4071097,4251514,0.221
Bur26d,10,4,4071097,4225878,0.223
Bur26d,10,5,4071097,4267190,0.227
Bur26d,10,6,4071097,4375989,0.229
Bur26d,10,7,4071097,4241538,0.232
Bur26d,10,-1,4071097,4139058,0.234
Bur26d,11,0,4071097,4294129,0.237
Bur26d,11,1,4071097,4205195,0.24
Bur26d,11,2,4071097,4265451,0.243
Bur26d,11,3,4071097,4296609,0.246
