instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Bur26f,0,0,4126024,4126024,0.005
Bur26f,0,1,4126024,4126914,0.007
Bur26f,0,2,4126024,4379896,0.009
Bur26f,0,3,4028241,4028241,0.012
Bur26f,0,4,4028241,4330690,0.015
Bur26f,0,5,4028241,4309830,0.016
Bur26f,0,6,4028241,4262816,0.019
Bur26f,0,7,4028241,4101955,0.022
Bur26f,0,-1,4028241,4028241,0.023
Bur26f,1,0,4028241,4205150,0.025
Bur26f,1,1,4028241,4242962,0.029
Bur26f,1,2,4028241,4254729,0.032
Bur26f,1,3,4028241,4361489,0.035
Bur26f,1,4,4028241,4302209,0.038
Bur26f,1,5,4028241,4209317,0.039
Bur26f,1,6,4028241,4281101,0.043
Bur26f,1,7,4028241,4062085,0.045
Bur26f,1,-1,4028241,4062085,0.046
Bur26f,2,0,4028241,4313702,0.049
Bur26f,2,1,4028241,4310317,0.051
Bur26f,2,2,4028241,4382561,0.054
Bur26f,2,3,4028241,4109928,0.057
Bur26f,2,4,4028241,4217371,0.06
Bur26f,2,5,4028241,4289900,0.063
Bur26f,2,6,4028241,4247184,0.066
Bur26f,2,7,4028241,4301665,0.069
Bur26f,2,-1,4028241,4109928,0.07
Bur26f,3,0,4028241,4194634,0.073
Bur26f,3,1,4028241,4143079,0.076
Bur26f,3,2,4028241,4230662,0.079
Bur26f,3,3,4028241,4221289,0.082
Bur26f,3,4,4028241,4156829,0.084
Bur26f,3,5,4028241,4410333,0.086
Bur26f,3,6,4028241,4280709,0.089
Bur26f,3,7,4028241,4247593,0.091
Bur26f,3,-1,4028241,4143079,0.092
Bur26f,4,0,4028241,4196211,0.095
Bur26f,4,1,4028241,4225182,0.097
Bur26f,4,2,4028241,4249246,0.099
Bur26f,4,3,4028241,4276341,0.101
Bur26f,4,4,4028241,4282622,0.104
Bur26f,4,5,4028241,4182227,0.106
Bur26f,4,6,4028241,4222903,0.109
Bur26f,4,7,4028241,4275945,0.112
Bur26f,4,-1,4028241,4182227,0.113
Bur26f,5,0,4028241,4398456,0.116
Bur26f,5,1,4028241,4146650,0.118
Bur26f,5,2,4028241,4092972,0.121
Bur26f,5,3,4028241,4211859,0.124
Bur26f,5,4,4028241,4068876,0.126
Bur26f,5,5,4028241,4298826,0.128
Bur26f,5,6,4028241,4143574,0.131
Bur26f,5,7,4028241,4228201,0.133
Bur26f,5,-1,4028241,4068876,0.133
Bur26f,6,0,4028241,4167680,0.136
Bur26f,6,1,4028241,4233941,0.138
Bur26f,6,2,4028241,4217701,0.141
Bur26f,6,3,4028241,4225848,0.144
Bur26f,6,4,4028241,4224764,0.148
Bur26f,6,5,4028241,4190276,0.15
Bur26f,6,6,4028241,4187629,0.154
Bur26f,6,7,4028241,4184912,0.157
Bur26f,6,-1,4028241,4167680,0.158
Bur26f,7,0,4028241,4261526,0.161
Bur26f,7,1,4028241,4267170,0.164
