instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Chr15a,1,38542,0.01,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,0.25,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,0.25,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,0.49,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,0.66,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,0.8,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,0.99,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,1.17,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,1.45,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,1.72,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,1.72,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,1.72,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,1.87,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,1.87,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,1.87,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
Chr15a,1,38542,1.87,120.3,5,33,0.4656,0.5516,5,15,42,"[8, 0, 2, 12, 10, 11, 5, 14, 9, 13, 7, 3, 6, 4, 1]"
