instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Chr15c,0,0,81558,81558,0.002
Chr15c,0,1,73236,73236,0.004
Chr15c,0,2,66102,66102,0.006
Chr15c,0,3,55670,55670,0.007
Chr15c,0,4,55670,79008,0.01
Chr15c,0,5,50592,50592,0.011
Chr15c,0,6,50592,81696,0.013
Chr15c,0,7,50592,66772,0.015
Chr15c,0,-1,50592,50592,0.016
Chr15c,1,0,50592,70076,0.018
Chr15c,1,1,50592,73838,0.019
Chr15c,1,2,43948,43948,0.02
Chr15c,1,3,43948,75508,0.022
Chr15c,1,4,43416,43416,0.023
Chr15c,1,5,43416,71232,0.025
Chr15c,1,6,43416,64592,0.026
Chr15c,1,7,43416,84510,0.027
Chr15c,1,-1,43416,43416,0.029
Chr15c,2,0,43416,66122,0.031
Chr15c,2,1,43416,95884,0.032
Chr15c,2,2,43416,71852,0.034
Chr15c,2,3,43416,68092,0.036
Chr15c,2,4,43416,65068,0.037
Chr15c,2,5,43416,70712,0.039
Chr15c,2,6,43416,65448,0.041
Chr15c,2,7,43416,54058,0.043
Chr15c,2,-1,43416,54058,0.045
Chr15c,3,0,43416,46480,0.047
Chr15c,3,1,43416,64670,0.048
Chr15c,3,2,43416,50976,0.049
Chr15c,3,3,43416,63790,0.05
Chr15c,3,4,43416,68676,0.053
Chr15c,3,5,43416,91084,0.054
Chr15c,3,6,43416,54056,0.055
Chr15c,3,7,43416,60276,0.056
Chr15c,3,-1,43416,46480,0.056
Chr15c,4,0,43416,75282,0.057
Chr15c,4,1,43416,62172,0.058
Chr15c,4,2,43416,50716,0.059
Chr15c,4,3,43416,63078,0.06
Chr15c,4,4,43416,72844,0.062
Chr15c,4,5,43416,75732,0.063
Chr15c,4,6,43416,61160,0.065
Chr15c,4,7,43416,75868,0.066
Chr15c,4,-1,43416,50716,0.067
Chr15c,5,0,43416,57050,0.068
Chr15c,5,1,43416,68388,0.069
Chr15c,5,2,43416,54106,0.071
Chr15c,5,3,43416,66564,0.072
Chr15c,5,4,43416,59316,0.073
Chr15c,5,5,43416,88048,0.074
Chr15c,5,6,43416,52524,0.075
Chr15c,5,7,43416,77816,0.077
Chr15c,5,-1,43416,52524,0.078
Chr15c,6,0,43416,64896,0.08
Chr15c,6,1,43416,67864,0.081
Chr15c,6,2,43416,53822,0.083
Chr15c,6,3,43416,43476,0.085
Chr15c,6,4,43416,78570,0.086
Chr15c,6,5,43416,56972,0.088
Chr15c,6,6,43416,74348,0.089
Chr15c,6,7,43416,58498,0.09
Chr15c,6,-1,43416,43476,0.091
Chr15c,7,0,43416,66872,0.092
Chr15c,7,1,43416,76660,0.095
Chr15c,7,2,43416,58766,0.096
Chr15c,7,3,43416,62550,0.098
Chr15c,7,4,43416,64956,0.1
Chr15c,7,5,43416,57242,0.101
Chr15c,7,6,43416,84154,0.103
Chr15c,7,7,43416,70606,0.104
Chr15c,7,-1,43416,57242,0.105
Chr15c,8,0,43416,69112,0.106
Chr15c,8,1,43416,62828,0.108
Chr15c,8,2,43416,62800,0.109
Chr15c,8,3,43416,87694,0.111
Chr15c,8,4,43416,77594,0.112
Chr15c,8,5,43416,73248,0.113
Chr15c,8,6,43416,49338,0.115
Chr15c,8,7,43416,58318,0.116
Chr15c,8,-1,43416,49338,0.117
Chr15c,9,0,43416,79250,0.118
Chr15c,9,1,43416,48334,0.119
Chr15c,9,2,43416,60350,0.12
Chr15c,9,3,43416,70156,0.122
Chr15c,9,4,43416,56856,0.123
Chr15c,9,5,43416,45862,0.125
Chr15c,9,6,43416,78410,0.126
Chr15c,9,7,43416,75016,0.127
Chr15c,9,-1,43416,45862,0.128
Chr15c,10,0,43416,64308,0.129
Chr15c,10,1,43416,81864,0.13
Chr15c,10,2,43416,70512,0.132
Chr15c,10,3,43416,56874,0.133
Chr15c,10,4,43416,50952,0.134
Chr15c,10,5,43416,60176,0.136
Chr15c,10,6,43416,57044,0.138
Chr15c,10,7,43416,63756,0.139
Chr15c,10,-1,43416,50952,0.14
Chr15c,11,0,43416,57110,0.142
Chr15c,11,1,43416,71194,0.143
Chr15c,11,2,43416,51146,0.144
Chr15c,11,3,43416,52968,0.145
Chr15c,11,4,43416,72096,0.148
Chr15c,11,5,43416,59128,0.149
Chr15c,11,6,43416,73690,0.15
Chr15c,11,7,43416,60066,0.151
Chr15c,11,-1,43416,51146,0.152
Chr15c,12,0,43416,58184,0.153
Chr15c,12,1,43416,63928,0.155
Chr15c,12,2,43416,55414,0.156
Chr15c,12,3,43416,69956,0.157
Chr15c,12,4,43416,67554,0.158
Chr15c,12,5,43416,58458,0.159
Chr15c,12,6,43416,68064,0.16
Chr15c,12,7,43416,73718,0.162
Chr15c,12,-1,43416,55414,0.162
Chr15c,13,0,43416,48148,0.164
Chr15c,13,1,43416,60222,0.165
Chr15c,13,2,43416,75024,0.166
Chr15c,13,3,43416,51878,0.167
Chr15c,13,4,43416,53520,0.169
Chr15c,13,5,43416,53490,0.17
Chr15c,13,6,43416,74942,0.171
Chr15c,13,7,43416,64920,0.173
Chr15c,13,-1,43416,48148,0.173
Chr15c,14,0,43416,48698,0.175
Chr15c,14,1,43416,73526,0.176
Chr15c,14,2,43416,49072,0.177
Chr15c,14,3,43416,57584,0.178
Chr15c,14,4,43416,64696,0.18
Chr15c,14,5,43416,54964,0.182
Chr15c,14,6,43416,58780,0.183
Chr15c,14,7,43416,49858,0.185
Chr15c,14,-1,43416,48698,0.186
Chr15c,15,0,43416,53002,0.188
Chr15c,15,1,43416,59998,0.189
Chr15c,15,2,43416,63294,0.191
Chr15c,15,3,43416,71108,0.192
Chr15c,15,4,43416,43746,0.193
Chr15c,15,5,43416,65148,0.194
Chr15c,15,6,43416,74792,0.197
Chr15c,15,7,43416,59890,0.199
Chr15c,15,-1,43416,43746,0.2
Chr15c,16,0,43416,75850,0.201
Chr15c,16,1,43416,76270,0.203
Chr15c,16,2,43416,68256,0.205
Chr15c,16,3,43416,67130,0.207
Chr15c,16,4,43416,64872,0.209
Chr15c,16,5,43416,65306,0.21
Chr15c,16,6,43416,57224,0.213
Chr15c,16,7,43416,55794,0.215
Chr15c,16,-1,43416,55794,0.217
Chr15c,17,0,43416,70500,0.218
Chr15c,17,1,43416,74868,0.22
Chr15c,17,2,43416,73078,0.221
Chr15c,17,3,43416,49928,0.223
Chr15c,17,4,43416,60416,0.224
Chr15c,17,5,43416,66318,0.226
Chr15c,17,6,43416,69154,0.227
Chr15c,17,7,43416,80746,0.23
Chr15c,17,-1,43416,49928,0.231
Chr15c,18,0,43416,72314,0.233
Chr15c,18,1,43416,67888,0.235
Chr15c,18,2,43416,44448,0.237
Chr15c,18,3,43416,68522,0.239
Chr15c,18,4,43416,71796,0.241
Chr15c,18,5,43416,82300,0.242
Chr15c,18,6,43416,69848,0.244
Chr15c,18,7,43416,67052,0.246
