instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Chr15c,1,39526,0.0,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,1.66,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,2.97,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,4.39,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,5.68,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,5.68,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,5.68,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,6.8,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,8.29,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,8.29,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,8.29,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,8.29,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,8.29,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,8.29,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,9.57,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,11.06,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,12.44,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
Chr15c,1,39526,13.8,119.98,5,33,0.4656,0.5516,5,15,42,"[2, 8, 10, 9, 13, 3, 12, 0, 5, 11, 1, 14, 7, 6, 4]"
