instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Chr18a,1,46506,0.02,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,0.02,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,1.89,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,1.89,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,3.49,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,5.31,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,6.97,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,8.73,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,8.73,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,8.74,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,10.7,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,10.7,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,12.43,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,14.1,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,15.82,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,17.72,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,19.42,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,21.38,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,23.05,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,23.05,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,24.84,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,24.84,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,26.6,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,28.32,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,28.32,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,30.14,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,30.14,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,30.14,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,31.82,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,33.51,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,33.51,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,35.28,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,36.96,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,36.96,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,38.68,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,38.68,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,38.68,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
Chr18a,1,46506,40.39,119.98,9,55,0.4661,0.5768,5,18,42,"[7, 14, 11, 16, 15, 2, 0, 9, 1, 13, 8, 10, 5, 12, 17, 3, 6, 4]"
