instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Chr22b,1,10332,0.03,119.98,9,55,0.4661,0.5768,5,22,42,"[11, 7, 13, 2, 14, 5, 15, 21, 12, 9, 18, 17, 3, 1, 20, 6, 4, 8, 0, 19, 16, 10]"
Chr22b,1,10332,0.03,119.98,9,55,0.4661,0.5768,5,22,42,"[11, 7, 13, 2, 14, 5, 15, 21, 12, 9, 18, 17, 3, 1, 20, 6, 4, 8, 0, 19, 16, 10]"
Chr22b,1,10332,3.38,119.98,9,55,0.4661,0.5768,5,22,42,"[11, 7, 13, 2, 14, 5, 15, 21, 12, 9, 18, 17, 3, 1, 20, 6, 4, 8, 0, 19, 16, 10]"
Chr22b,1,10332,11.46,119.98,9,55,0.4661,0.5768,5,22,42,"[11, 7, 13, 2, 14, 5, 15, 21, 12, 9, 18, 17, 3, 1, 20, 6, 4, 8, 0, 19, 16, 10]"
Chr22b,1,10332,20.64,119.98,9,55,0.4661,0.5768,5,22,42,"[11, 7, 13, 2, 14, 5, 15, 21, 12, 9, 18, 17, 3, 1, 20, 6, 4, 8, 0, 19, 16, 10]"
Chr22b,1,10332,20.65,119.98,9,55,0.4661,0.5768,5,22,42,"[11, 7, 13, 2, 14, 5, 15, 21, 12, 9, 18, 17, 3, 1, 20, 6, 4, 8, 0, 19, 16, 10]"
Chr22b,1,10332,20.65,119.98,9,55,0.4661,0.5768,5,22,42,"[11, 7, 13, 2, 14, 5, 15, 21, 12, 9, 18, 17, 3, 1, 20, 6, 4, 8, 0, 19, 16, 10]"
Chr22b,1,10332,29.67,119.98,9,55,0.4661,0.5768,5,22,42,"[11, 7, 13, 2, 14, 5, 15, 21, 12, 9, 18, 17, 3, 1, 20, 6, 4, 8, 0, 19, 16, 10]"
Chr22b,1,10332,29.68,119.98,9,55,0.4661,0.5768,5,22,42,"[11, 7, 13, 2, 14, 5, 15, 21, 12, 9, 18, 17, 3, 1, 20, 6, 4, 8, 0, 19, 16, 10]"
Chr22b,1,10332,29.68,119.98,9,55,0.4661,0.5768,5,22,42,"[11, 7, 13, 2, 14, 5, 15, 21, 12, 9, 18, 17, 3, 1, 20, 6, 4, 8, 0, 19, 16, 10]"
Chr22b,1,10332,29.68,119.98,9,55,0.4661,0.5768,5,22,42,"[11, 7, 13, 2, 14, 5, 15, 21, 12, 9, 18, 17, 3, 1, 20, 6, 4, 8, 0, 19, 16, 10]"
