instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Els19,0,0,56809224,56809224,0.004
Els19,0,1,56809224,59375990,0.008
Els19,0,2,56809224,59724220,0.013
Els19,0,3,56809224,58550362,0.018
Els19,0,4,56200454,56200454,0.023
Els19,0,5,56200454,73979438,0.028
Els19,0,6,37356112,37356112,0.032
Els19,0,7,37356112,53816922,0.035
Els19,0,-1,37356112,37356112,0.037
Els19,1,0,37356112,70691296,0.04
Els19,1,1,37356112,74894992,0.043
Els19,1,2,37356112,57204024,0.048
Els19,1,3,37356112,44410928,0.053
Els19,1,4,37356112,65119688,0.056
Els19,1,5,37356112,61925946,0.06
Els19,1,6,37356112,39228108,0.066
Els19,1,7,37356112,74088012,0.071
Els19,1,-1,37356112,39228108,0.073
Els19,2,0,37356112,56461238,0.077
Els19,2,1,37356112,47145438,0.082
Els19,2,2,37356112,69542310,0.087
Els19,2,3,37356112,40828702,0.091
Els19,2,4,37356112,49456304,0.096
Els19,2,5,37356112,51120484,0.101
Els19,2,6,37356112,52776070,0.105
Els19,2,7,37356112,54972054,0.11
Els19,2,-1,37356112,40828702,0.112
Els19,3,0,37356112,55408032,0.117
Els19,3,1,37356112,61651088,0.121
Els19,3,2,37356112,53949796,0.126
Els19,3,3,37356112,77274542,0.13
Els19,3,4,37356112,57868394,0.134
Els19,3,5,37356112,49938164,0.138
Els19,3,6,37356112,59724416,0.141
Els19,3,7,37356112,75265658,0.144
Els19,3,-1,37356112,49938164,0.145
Els19,4,0,37356112,51936476,0.149
Els19,4,1,36848250,36848250,0.152
Els19,4,2,36848250,56803090,0.158
Els19,4,3,36848250,37560186,0.163
Els19,4,4,36491928,36491928,0.168
Els19,4,5,36491928,72333754,0.173
Els19,4,6,36491928,54181878,0.179
Els19,4,7,36491928,65506682,0.184
Els19,4,-1,36491928,36491928,0.186
Els19,5,0,36491928,50639486,0.192
Els19,5,1,36491928,49224686,0.196
Els19,5,2,36491928,67095314,0.201
Els19,5,3,36491928,38274924,0.205
Els19,5,4,36491928,63024748,0.208
Els19,5,5,36491928,61066588,0.211
Els19,5,6,36491928,72622666,0.215
Els19,5,7,36491928,40069162,0.219
Els19,5,-1,36491928,38274924,0.221
Els19,6,0,36491928,51450808,0.224
Els19,6,1,36491928,49752710,0.228
Els19,6,2,36491928,49330066,0.232
Els19,6,3,36491928,63273188,0.237
Els19,6,4,36491928,67161672,0.241
Els19,6,5,36491928,65202434,0.246
Els19,6,6,36491928,50370078,0.25
Els19,6,7,36491928,56256442,0.253
Els19,6,-1,36491928,49330066,0.256
Els19,7,0,36491928,60993204,0.26
Els19,7,1,36491928,47175156,0.264
Els19,7,2,36491928,45214018,0.269
Els19,7,3,36491928,56595190,0.273
