instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Esc16a,0,0,88,88,0.004
Esc16a,0,1,88,100,0.008
Esc16a,0,2,88,96,0.012
Esc16a,0,3,88,92,0.016
Esc16a,0,4,88,104,0.019
Esc16a,0,5,88,88,0.022
Esc16a,0,6,88,104,0.024
Esc16a,0,7,88,108,0.028
Esc16a,0,-1,88,88,0.03
Esc16a,1,0,88,92,0.034
Esc16a,1,1,88,108,0.037
Esc16a,1,2,80,80,0.041
Esc16a,1,3,80,92,0.045
Esc16a,1,4,80,92,0.047
Esc16a,1,5,80,96,0.051
Esc16a,1,6,80,100,0.055
Esc16a,1,7,80,100,0.059
Esc16a,1,-1,80,80,0.061
Esc16a,2,0,80,104,0.065
Esc16a,2,1,80,108,0.068
Esc16a,2,2,80,84,0.072
Esc16a,2,3,80,104,0.077
Esc16a,2,4,80,108,0.081
Esc16a,2,5,80,96,0.084
Esc16a,2,6,80,112,0.088
Esc16a,2,7,80,100,0.092
Esc16a,2,-1,80,84,0.093
Esc16a,3,0,80,96,0.097
Esc16a,3,1,80,104,0.099
Esc16a,3,2,80,88,0.103
Esc16a,3,3,80,104,0.107
Esc16a,3,4,80,112,0.11
Esc16a,3,5,80,92,0.114
Esc16a,3,6,80,100,0.118
Esc16a,3,7,80,92,0.121
Esc16a,3,-1,80,88,0.123
Esc16a,4,0,80,100,0.127
Esc16a,4,1,80,108,0.132
Esc16a,4,2,80,84,0.135
Esc16a,4,3,80,92,0.139
Esc16a,4,4,80,100,0.143
Esc16a,4,5,80,100,0.147
Esc16a,4,6,80,108,0.152
Esc16a,4,7,80,112,0.157
Esc16a,4,-1,80,84,0.159
Esc16a,5,0,80,96,0.164
Esc16a,5,1,80,112,0.168
Esc16a,5,2,80,108,0.172
Esc16a,5,3,80,84,0.176
Esc16a,5,4,80,96,0.179
Esc16a,5,5,80,108,0.183
Esc16a,5,6,80,84,0.186
Esc16a,5,7,80,96,0.189
Esc16a,5,-1,80,84,0.192
Esc16a,6,0,80,88,0.195
Esc16a,6,1,80,108,0.2
Esc16a,6,2,80,100,0.204
Esc16a,6,3,80,108,0.207
Esc16a,6,4,80,92,0.211
Esc16a,6,5,80,104,0.215
Esc16a,6,6,80,84,0.219
Esc16a,6,7,80,96,0.224
Esc16a,6,-1,80,84,0.225
Esc16a,7,0,80,108,0.229
Esc16a,7,1,80,108,0.233
Esc16a,7,2,80,104,0.237
Esc16a,7,3,80,96,0.241
Esc16a,7,4,80,100,0.245
Esc16a,7,5,80,92,0.249
Esc16a,7,6,80,104,0.252
Esc16a,7,7,80,96,0.255
Esc16a,7,-1,80,92,0.257
Esc16a,8,0,80,104,0.26
Esc16a,8,1,80,98,0.264
Esc16a,8,2,80,94,0.267
Esc16a,8,3,80,108,0.271
Esc16a,8,4,80,104,0.276
Esc16a,8,5,80,108,0.28
Esc16a,8,6,80,112,0.283
Esc16a,8,7,80,104,0.288
Esc16a,8,-1,80,94,0.29
Esc16a,9,0,80,112,0.294
Esc16a,9,1,80,96,0.298
Esc16a,9,2,80,100,0.301
Esc16a,9,3,80,94,0.306
Esc16a,9,4,80,112,0.311
Esc16a,9,5,80,116,0.315
Esc16a,9,6,80,104,0.319
Esc16a,9,7,80,100,0.322
Esc16a,9,-1,80,94,0.324
Esc16a,10,0,80,84,0.328
Esc16a,10,1,80,92,0.332
Esc16a,10,2,80,96,0.337
Esc16a,10,3,80,104,0.341
Esc16a,10,4,80,104,0.345
Esc16a,10,5,80,104,0.349
Esc16a,10,6,80,108,0.352
Esc16a,10,7,80,88,0.357
Esc16a,10,-1,80,84,0.359
Esc16a,11,0,80,108,0.362
Esc16a,11,1,80,108,0.366
Esc16a,11,2,80,104,0.37
Esc16a,11,3,80,104,0.374
Esc16a,11,4,80,104,0.378
Esc16a,11,5,80,100,0.382
Esc16a,11,6,80,96,0.385
Esc16a,11,7,80,112,0.389
Esc16a,11,-1,80,96,0.391
Esc16a,12,0,80,92,0.395
Esc16a,12,1,80,112,0.399
Esc16a,12,2,80,96,0.403
Esc16a,12,3,80,88,0.407
Esc16a,12,4,80,108,0.411
Esc16a,12,5,80,88,0.414
Esc16a,12,6,80,108,0.419
Esc16a,12,7,80,100,0.422
Esc16a,12,-1,80,88,0.424
Esc16a,13,0,80,100,0.428
Esc16a,13,1,80,120,0.432
Esc16a,13,2,80,92,0.437
Esc16a,13,3,80,96,0.441
Esc16a,13,4,80,96,0.445
Esc16a,13,5,80,96,0.448
Esc16a,13,6,80,100,0.451
Esc16a,13,7,80,100,0.454
Esc16a,13,-1,80,92,0.456
Esc16a,14,0,80,104,0.458
Esc16a,14,1,80,108,0.462
Esc16a,14,2,80,100,0.466
Esc16a,14,3,80,96,0.47
Esc16a,14,4,80,104,0.474
Esc16a,14,5,80,88,0.478
Esc16a,14,6,80,108,0.482
Esc16a,14,7,80,96,0.486
Esc16a,14,-1,80,88,0.488
Esc16a,15,0,80,108,0.492
Esc16a,15,1,80,100,0.496
Esc16a,15,2,80,104,0.499
Esc16a,15,3,80,116,0.503
Esc16a,15,4,80,100,0.507
Esc16a,15,5,80,104,0.51
Esc16a,15,6,80,104,0.512
Esc16a,15,7,80,108,0.515
Esc16a,15,-1,80,100,0.516
Esc16a,16,0,80,100,0.519
Esc16a,16,1,80,108,0.523
Esc16a,16,2,80,104,0.526
Esc16a,16,3,76,76,0.53
Esc16a,16,4,76,108,0.534
Esc16a,16,5,76,96,0.537
Esc16a,16,6,76,96,0.54
Esc16a,16,7,76,108,0.542
Esc16a,16,-1,76,76,0.544
Esc16a,17,0,76,88,0.547
Esc16a,17,1,76,100,0.549
Esc16a,17,2,76,96,0.552
Esc16a,17,3,76,84,0.556
Esc16a,17,4,76,96,0.559
Esc16a,17,5,76,96,0.563
Esc16a,17,6,76,108,0.567
Esc16a,17,7,76,88,0.571
Esc16a,17,-1,76,84,0.573
Esc16a,18,0,76,96,0.575
Esc16a,18,1,76,84,0.578
Esc16a,18,2,76,104,0.581
Esc16a,18,3,76,104,0.582
Esc16a,18,4,76,100,0.586
Esc16a,18,5,76,96,0.589
Esc16a,18,6,76,92,0.593
Esc16a,18,7,76,104,0.596
Esc16a,18,-1,76,84,0.598
Esc16a,19,0,76,92,0.602
Esc16a,19,1,76,112,0.604
Esc16a,19,2,76,112,0.608
Esc16a,19,3,76,80,0.61
Esc16a,19,4,76,108,0.612
Esc16a,19,5,76,88,0.615
Esc16a,19,6,76,104,0.618
Esc16a,19,7,76,104,0.62
Esc16a,19,-1,76,80,0.621
Esc16a,20,0,76,108,0.624
Esc16a,20,1,76,100,0.628
Esc16a,20,2,76,80,0.631
Esc16a,20,3,76,108,0.634
Esc16a,20,4,76,84,0.639
Esc16a,20,5,76,96,0.643
Esc16a,20,6,76,112,0.646
Esc16a,20,7,76,96,0.65
Esc16a,20,-1,76,80,0.652
Esc16a,21,0,76,108,0.656
Esc16a,21,1,76,108,0.66
Esc16a,21,2,76,92,0.662
Esc16a,21,3,76,108,0.666
Esc16a,21,4,76,92,0.671
Esc16a,21,5,76,108,0.675
Esc16a,21,6,76,84,0.678
Esc16a,21,7,76,108,0.682
Esc16a,21,-1,76,84,0.684
Esc16a,22,0,76,108,0.688
Esc16a,22,1,76,88,0.691
Esc16a,22,2,76,80,0.694
Esc16a,22,3,76,104,0.696
Esc16a,22,4,76,108,0.699
Esc16a,22,5,76,88,0.703
Esc16a,22,6,76,88,0.706
Esc16a,22,7,76,100,0.709
Esc16a,22,-1,76,80,0.711
Esc16a,23,0,76,92,0.715
Esc16a,23,1,76,92,0.717
Esc16a,23,2,76,100,0.72
Esc16a,23,3,76,108,0.723
Esc16a,23,4,76,96,0.725
Esc16a,23,5,76,92,0.728
Esc16a,23,6,76,116,0.732
Esc16a,23,7,76,108,0.736
Esc16a,23,-1,76,92,0.738
Esc16a,24,0,76,96,0.74
Esc16a,24,1,76,92,0.743
Esc16a,24,2,76,112,0.746
Esc16a,24,3,76,76,0.748
Esc16a,24,4,76,100,0.753
Esc16a,24,5,76,100,0.757
Esc16a,24,6,76,108,0.761
Esc16a,24,7,76,80,0.763
Esc16a,24,-1,76,76,0.764
Esc16a,25,0,76,88,0.767
Esc16a,25,1,76,84,0.77
