instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Esc16d,0,0,48,48,0.005
Esc16d,0,1,48,56,0.01
Esc16d,0,2,48,52,0.013
Esc16d,0,3,48,52,0.017
Esc16d,0,4,40,40,0.021
Esc16d,0,5,40,40,0.024
Esc16d,0,6,40,52,0.028
Esc16d,0,7,40,54,0.033
Esc16d,0,-1,40,40,0.035
Esc16d,1,0,40,54,0.038
Esc16d,1,1,40,52,0.04
Esc16d,1,2,40,48,0.042
Esc16d,1,3,40,48,0.044
Esc16d,1,4,40,40,0.045
Esc16d,1,5,36,36,0.049
Esc16d,1,6,36,48,0.055
Esc16d,1,7,36,52,0.057
Esc16d,1,-1,36,36,0.058
Esc16d,2,0,36,44,0.061
Esc16d,2,1,36,46,0.063
Esc16d,2,2,36,46,0.065
Esc16d,2,3,36,46,0.068
Esc16d,2,4,36,56,0.072
Esc16d,2,5,36,44,0.074
Esc16d,2,6,36,60,0.078
Esc16d,2,7,36,48,0.08
Esc16d,2,-1,36,44,0.082
Esc16d,3,0,36,48,0.086
Esc16d,3,1,36,48,0.09
Esc16d,3,2,36,56,0.094
Esc16d,3,3,36,44,0.098
Esc16d,3,4,36,42,0.101
Esc16d,3,5,36,40,0.104
Esc16d,3,6,36,48,0.108
Esc16d,3,7,36,56,0.112
Esc16d,3,-1,36,40,0.113
Esc16d,4,0,36,42,0.116
Esc16d,4,1,36,44,0.119
Esc16d,4,2,36,44,0.123
Esc16d,4,3,36,60,0.127
Esc16d,4,4,36,68,0.13
Esc16d,4,5,36,48,0.133
Esc16d,4,6,36,40,0.137
Esc16d,4,7,36,54,0.139
Esc16d,4,-1,36,40,0.139
Esc16d,5,0,36,46,0.141
Esc16d,5,1,36,60,0.144
Esc16d,5,2,36,48,0.146
Esc16d,5,3,36,44,0.149
Esc16d,5,4,36,42,0.151
Esc16d,5,5,36,52,0.154
Esc16d,5,6,36,36,0.156
Esc16d,5,7,36,44,0.159
Esc16d,5,-1,36,36,0.161
Esc16d,6,0,36,52,0.165
Esc16d,6,1,36,40,0.169
Esc16d,6,2,36,52,0.172
Esc16d,6,3,36,46,0.174
Esc16d,6,4,36,36,0.177
Esc16d,6,5,36,54,0.181
Esc16d,6,6,36,48,0.185
Esc16d,6,7,36,48,0.189
Esc16d,6,-1,36,36,0.189
Esc16d,7,0,36,52,0.191
Esc16d,7,1,36,52,0.195
Esc16d,7,2,36,52,0.198
Esc16d,7,3,36,52,0.202
Esc16d,7,4,36,40,0.207
Esc16d,7,5,36,40,0.211
Esc16d,7,6,36,40,0.215
Esc16d,7,7,36,56,0.219
Esc16d,7,-1,36,40,0.221
Esc16d,8,0,36,48,0.224
Esc16d,8,1,36,46,0.227
Esc16d,8,2,36,56,0.231
Esc16d,8,3,36,52,0.234
Esc16d,8,4,36,56,0.238
Esc16d,8,5,36,60,0.241
Esc16d,8,6,36,44,0.244
Esc16d,8,7,36,50,0.248
Esc16d,8,-1,36,44,0.249
Esc16d,9,0,36,56,0.251
Esc16d,9,1,36,50,0.253
Esc16d,9,2,36,56,0.258
Esc16d,9,3,36,46,0.262
Esc16d,9,4,36,60,0.265
Esc16d,9,5,36,48,0.269
Esc16d,9,6,36,52,0.274
Esc16d,9,7,36,56,0.278
Esc16d,9,-1,36,46,0.28
Esc16d,10,0,36,52,0.283
Esc16d,10,1,36,52,0.287
Esc16d,10,2,36,52,0.289
Esc16d,10,3,36,48,0.291
Esc16d,10,4,36,62,0.295
Esc16d,10,5,36,50,0.298
Esc16d,10,6,36,44,0.301
Esc16d,10,7,36,46,0.305
Esc16d,10,-1,36,44,0.306
Esc16d,11,0,36,52,0.307
Esc16d,11,1,36,48,0.309
Esc16d,11,2,36,50,0.311
Esc16d,11,3,36,52,0.313
Esc16d,11,4,36,50,0.314
Esc16d,11,5,36,58,0.317
Esc16d,11,6,36,36,0.318
Esc16d,11,7,36,52,0.321
Esc16d,11,-1,36,36,0.323
Esc16d,12,0,36,44,0.326
Esc16d,12,1,36,48,0.328
Esc16d,12,2,36,52,0.33
Esc16d,12,3,36,52,0.331
Esc16d,12,4,36,48,0.335
Esc16d,12,5,36,56,0.342
Esc16d,12,6,36,58,0.347
Esc16d,12,7,36,48,0.35
Esc16d,12,-1,36,44,0.357
Esc16d,13,0,36,46,0.359
Esc16d,13,1,36,52,0.362
Esc16d,13,2,36,52,0.365
Esc16d,13,3,36,52,0.367
Esc16d,13,4,36,56,0.368
Esc16d,13,5,36,46,0.373
Esc16d,13,6,36,42,0.377
Esc16d,13,7,36,48,0.379
Esc16d,13,-1,36,42,0.38
Esc16d,14,0,36,50,0.382
Esc16d,14,1,36,46,0.385
Esc16d,14,2,36,44,0.39
Esc16d,14,3,36,40,0.392
Esc16d,14,4,36,54,0.395
Esc16d,14,5,36,38,0.397
Esc16d,14,6,36,48,0.4
Esc16d,14,7,36,44,0.404
Esc16d,14,-1,36,38,0.407
Esc16d,15,0,36,44,0.41
Esc16d,15,1,36,58,0.413
Esc16d,15,2,36,46,0.415
Esc16d,15,3,36,46,0.417
Esc16d,15,4,36,52,0.422
Esc16d,15,5,36,56,0.427
Esc16d,15,6,36,66,0.429
Esc16d,15,7,36,52,0.43
Esc16d,15,-1,36,44,0.431
Esc16d,16,0,36,48,0.433
Esc16d,16,1,36,52,0.44
Esc16d,16,2,36,60,0.443
Esc16d,16,3,32,32,0.446
Esc16d,16,4,32,48,0.448
Esc16d,16,5,32,52,0.45
Esc16d,16,6,32,36,0.455
Esc16d,16,7,32,40,0.458
Esc16d,16,-1,32,32,0.459
Esc16d,17,0,32,46,0.463
Esc16d,17,1,32,44,0.466
Esc16d,17,2,32,44,0.469
Esc16d,17,3,32,52,0.473
Esc16d,17,4,32,54,0.477
Esc16d,17,5,32,60,0.479
Esc16d,17,6,32,52,0.484
Esc16d,17,7,32,50,0.492
Esc16d,17,-1,32,44,0.493
Esc16d,18,0,32,38,0.497
Esc16d,18,1,32,52,0.5
Esc16d,18,2,32,48,0.507
Esc16d,18,3,32,52,0.509
Esc16d,18,4,32,48,0.511
Esc16d,18,5,32,48,0.519
Esc16d,18,6,32,52,0.521
Esc16d,18,7,32,48,0.525
Esc16d,18,-1,32,38,0.527
Esc16d,19,0,32,40,0.53
Esc16d,19,1,32,58,0.534
Esc16d,19,2,32,48,0.538
Esc16d,19,3,32,40,0.542
Esc16d,19,4,32,52,0.55
Esc16d,19,5,32,44,0.559
Esc16d,19,6,32,52,0.563
Esc16d,19,7,32,48,0.568
Esc16d,19,-1,32,40,0.569
Esc16d,20,0,32,38,0.572
Esc16d,20,1,32,52,0.575
Esc16d,20,2,32,40,0.577
Esc16d,20,3,32,48,0.58
Esc16d,20,4,32,44,0.583
Esc16d,20,5,32,56,0.586
Esc16d,20,6,32,50,0.59
Esc16d,20,7,32,48,0.592
Esc16d,20,-1,32,38,0.593
Esc16d,21,0,32,44,0.597
Esc16d,21,1,32,52,0.598
Esc16d,21,2,32,48,0.602
Esc16d,21,3,32,54,0.606
Esc16d,21,4,32,52,0.608
Esc16d,21,5,32,44,0.61
Esc16d,21,6,32,48,0.612
Esc16d,21,7,32,54,0.613
Esc16d,21,-1,32,44,0.614
Esc16d,22,0,32,44,0.615
Esc16d,22,1,32,40,0.617
Esc16d,22,2,32,40,0.618
Esc16d,22,3,32,56,0.624
Esc16d,22,4,32,54,0.626
Esc16d,22,5,32,56,0.628
Esc16d,22,6,32,46,0.631
Esc16d,22,7,32,48,0.635
Esc16d,22,-1,32,40,0.637
Esc16d,23,0,32,40,0.64
Esc16d,23,1,32,48,0.644
Esc16d,23,2,32,54,0.645
Esc16d,23,3,32,52,0.647
Esc16d,23,4,32,52,0.648
Esc16d,23,5,32,52,0.65
Esc16d,23,6,32,46,0.655
Esc16d,23,7,32,56,0.658
Esc16d,23,-1,32,40,0.659
