instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Esc16j,0,0,26,26,0.005
Esc16j,0,1,26,30,0.009
Esc16j,0,2,20,20,0.012
Esc16j,0,3,20,26,0.016
Esc16j,0,4,20,26,0.019
Esc16j,0,5,20,26,0.022
Esc16j,0,6,20,26,0.025
Esc16j,0,7,14,14,0.027
Esc16j,0,-1,14,14,0.03
Esc16j,1,0,14,18,0.033
Esc16j,1,1,14,18,0.036
Esc16j,1,2,14,22,0.039
Esc16j,1,3,14,22,0.042
Esc16j,1,4,14,26,0.045
Esc16j,1,5,14,26,0.049
Esc16j,1,6,14,20,0.051
Esc16j,1,7,14,30,0.055
Esc16j,1,-1,14,18,0.057
Esc16j,2,0,14,26,0.061
Esc16j,2,1,14,22,0.066
Esc16j,2,2,14,26,0.069
Esc16j,2,3,14,18,0.072
Esc16j,2,4,14,28,0.076
Esc16j,2,5,14,22,0.079
Esc16j,2,6,14,18,0.082
Esc16j,2,7,14,30,0.086
Esc16j,2,-1,14,18,0.087
Esc16j,3,0,14,18,0.09
Esc16j,3,1,14,26,0.093
Esc16j,3,2,14,18,0.097
Esc16j,3,3,14,18,0.1
Esc16j,3,4,14,20,0.103
Esc16j,3,5,14,14,0.105
Esc16j,3,6,14,14,0.108
Esc16j,3,7,14,24,0.112
Esc16j,3,-1,14,14,0.115
Esc16j,4,0,14,26,0.118
Esc16j,4,1,14,26,0.121
Esc16j,4,2,14,22,0.125
Esc16j,4,3,14,18,0.128
Esc16j,4,4,14,22,0.133
Esc16j,4,5,14,30,0.136
Esc16j,4,6,14,28,0.14
Esc16j,4,7,14,26,0.143
Esc16j,4,-1,14,18,0.146
Esc16j,5,0,14,22,0.15
Esc16j,5,1,14,18,0.152
Esc16j,5,2,14,22,0.155
Esc16j,5,3,14,30,0.159
Esc16j,5,4,14,22,0.163
Esc16j,5,5,14,18,0.167
Esc16j,5,6,14,34,0.171
Esc16j,5,7,14,24,0.174
Esc16j,5,-1,14,18,0.176
Esc16j,6,0,14,26,0.181
Esc16j,6,1,14,26,0.186
Esc16j,6,2,14,26,0.188
Esc16j,6,3,14,22,0.192
Esc16j,6,4,14,22,0.196
Esc16j,6,5,14,22,0.201
Esc16j,6,6,14,18,0.205
Esc16j,6,7,14,26,0.208
Esc16j,6,-1,14,18,0.21
Esc16j,7,0,14,26,0.214
Esc16j,7,1,14,30,0.218
Esc16j,7,2,14,22,0.222
Esc16j,7,3,14,22,0.225
Esc16j,7,4,14,30,0.229
Esc16j,7,5,14,26,0.234
Esc16j,7,6,14,26,0.239
Esc16j,7,7,14,18,0.243
Esc16j,7,-1,14,18,0.246
Esc16j,8,0,14,34,0.251
Esc16j,8,1,14,26,0.257
Esc16j,8,2,14,26,0.262
Esc16j,8,3,14,22,0.268
Esc16j,8,4,14,26,0.272
Esc16j,8,5,14,18,0.277
Esc16j,8,6,14,18,0.281
Esc16j,8,7,14,18,0.286
Esc16j,8,-1,14,18,0.287
Esc16j,9,0,14,30,0.295
Esc16j,9,1,14,34,0.299
