instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Esc16j,1,18,0.05,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,0.05,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,4.41,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,4.41,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,8.98,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,13.13,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,13.13,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,13.13,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,17.31,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,21.3,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,21.3,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,23.02,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,24.94,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,26.26,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,27.55,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,27.55,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,29.6,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,29.6,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,31.99,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,31.99,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,31.99,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,33.64,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,33.64,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,35.24,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,36.64,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,36.65,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,38.16,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,39.59,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,39.59,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,41.05,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,42.57,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,44.28,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
Esc16j,1,18,45.64,119.98,6,94,0.5684,0.6148,10,16,42,"[4, 7, 3, 12, 15, 11, 13, 9, 0, 10, 8, 14, 1, 6, 5, 2]"
