instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Esc32e,1,14,0.09,120.3,10,84,0.4834,0.4646,7,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,3.44,120.3,10,84,0.4834,0.4646,7,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,3.44,120.3,10,84,0.4834,0.4646,7,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,3.44,120.3,10,84,0.4834,0.4646,7,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,3.44,120.3,10,84,0.4834,0.4646,7,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,3.44,120.3,10,84,0.4834,0.4646,7,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,3.44,120.3,10,84,0.4834,0.4646,7,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,6.31,120.3,10,84,0.4834,0.4646,7,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,6.31,120.3,10,84,0.4834,0.4646,7,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
Esc32e,1,14,9.29,120.3,10,84,0.4834,0.4646,7,32,42,"[7, 28, 0, 9, 23, 8, 29, 30, 15, 4, 12, 1, 20, 6, 27, 26, 24, 16, 21, 18, 22, 14, 13, 17, 10, 11, 19, 31, 5, 25, 3, 2]"
