instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Esc32g,1,20,0.1,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,3.68,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,3.68,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,3.69,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,3.69,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,3.69,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,3.69,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,7.21,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,7.21,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,10.78,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,10.78,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,10.78,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,10.78,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,10.79,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,14.15,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,17.81,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,21.63,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,25.53,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,29.23,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,32.82,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,36.55,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,36.55,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,39.52,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,42.68,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,44.88,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,46.94,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,49.05,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,49.05,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,49.05,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,51.09,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,51.09,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,51.09,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
Esc32g,1,20,53.09,120.3,10,84,0.4834,0.4646,7,32,42,"[28, 25, 5, 21, 7, 31, 30, 16, 6, 18, 14, 11, 12, 4, 22, 23, 1, 19, 20, 26, 3, 24, 29, 27, 0, 10, 9, 2, 8, 15, 13, 17]"
