instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Esc32h,0,0,652,652,0.011
Esc32h,0,1,652,664,0.023
Esc32h,0,2,616,616,0.03
Esc32h,0,3,586,586,0.039
Esc32h,0,4,586,616,0.049
Esc32h,0,5,586,648,0.056
Esc32h,0,6,586,620,0.062
Esc32h,0,7,586,654,0.069
Esc32h,0,-1,586,586,0.071
Esc32h,1,0,586,630,0.08
Esc32h,1,1,586,644,0.087
Esc32h,1,2,586,648,0.096
Esc32h,1,3,586,610,0.105
Esc32h,1,4,586,630,0.114
Esc32h,1,5,586,658,0.123
Esc32h,1,6,586,654,0.132
Esc32h,1,7,586,646,0.142
Esc32h,1,-1,586,610,0.144
Esc32h,2,0,586,644,0.153
Esc32h,2,1,586,620,0.159
Esc32h,2,2,586,634,0.167
Esc32h,2,3,586,630,0.176
Esc32h,2,4,586,642,0.184
Esc32h,2,5,586,640,0.192
Esc32h,2,6,586,632,0.214
Esc32h,2,7,586,648,0.226
Esc32h,2,-1,586,620,0.229
Esc32h,3,0,586,674,0.244
Esc32h,3,1,586,644,0.256
Esc32h,3,2,586,668,0.264
Esc32h,3,3,586,622,0.271
Esc32h,3,4,586,604,0.279
Esc32h,3,5,586,660,0.287
Esc32h,3,6,586,600,0.295
Esc32h,3,7,586,598,0.305
Esc32h,3,-1,586,598,0.306
Esc32h,4,0,586,652,0.314
Esc32h,4,1,586,652,0.323
Esc32h,4,2,586,628,0.332
Esc32h,4,3,586,642,0.339
Esc32h,4,4,586,622,0.349
Esc32h,4,5,586,644,0.358
Esc32h,4,6,586,612,0.364
Esc32h,4,7,586,646,0.373
Esc32h,4,-1,586,612,0.376
Esc32h,5,0,586,656,0.385
Esc32h,5,1,586,628,0.393
Esc32h,5,2,586,662,0.404
Esc32h,5,3,586,602,0.416
Esc32h,5,4,586,644,0.425
Esc32h,5,5,586,656,0.436
Esc32h,5,6,586,676,0.446
Esc32h,5,7,582,582,0.457
Esc32h,5,-1,582,582,0.46
Esc32h,6,0,582,632,0.471
Esc32h,6,1,582,656,0.479
Esc32h,6,2,582,638,0.488
Esc32h,6,3,582,652,0.497
Esc32h,6,4,582,614,0.508
Esc32h,6,5,582,612,0.517
Esc32h,6,6,580,580,0.527
Esc32h,6,7,580,644,0.536
Esc32h,6,-1,580,580,0.538
Esc32h,7,0,580,596,0.547
Esc32h,7,1,580,664,0.557
Esc32h,7,2,580,610,0.566
Esc32h,7,3,580,632,0.572
Esc32h,7,4,580,596,0.582
Esc32h,7,5,580,662,0.591
Esc32h,7,6,580,664,0.6
Esc32h,7,7,580,630,0.611
Esc32h,7,-1,580,596,0.614
