instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Had16,1,4000,0.08,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,0.09,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,5.48,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,5.48,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,5.48,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,5.49,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,5.49,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,5.49,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,5.49,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,10.86,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,16.18,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,16.18,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,21.22,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,21.22,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,26.07,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,31.33,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,36.54,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,41.69,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,46.97,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,52.22,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,52.22,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,57.35,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,57.35,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,62.68,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,67.94,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,73.22,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,73.22,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,73.22,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,73.23,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,78.53,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,78.53,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,83.31,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,88.49,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,93.86,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,93.86,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,93.86,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,93.86,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,93.87,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,93.87,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,98.99,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,104.12,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,109.31,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,114.13,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,119.31,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,119.31,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,119.31,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,124.57,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,129.89,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,134.82,108.71,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
