instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Had16,1,4000,0.07,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,0.07,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,1.28,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,2.52,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,3.63,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,4.34,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,4.34,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,4.35,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,5.76,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,5.76,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,6.96,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,8.44,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,9.68,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,10.63,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,11.86,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,13.08,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,14.3,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,15.57,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,16.83,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,16.83,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,16.83,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,16.83,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,16.84,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,18.16,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,19.39,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,20.7,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,21.86,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,21.87,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,21.87,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,23.22,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,23.22,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,24.85,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,25.96,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,25.96,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,25.96,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
Had16,1,4000,27.23,108.7,6,94,0.5684,0.6148,10,16,42,"[8, 3, 5, 0, 14, 15, 9, 11, 10, 4, 13, 7, 6, 12, 1, 2]"
