instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Lipa20a,0,0,3959,3959,0.002
Lipa20a,0,1,3959,3989,0.004
Lipa20a,0,2,3959,3981,0.005
Lipa20a,0,3,3954,3954,0.007
Lipa20a,0,4,3901,3901,0.008
Lipa20a,0,5,3901,3975,0.009
Lipa20a,0,6,3901,3991,0.01
Lipa20a,0,7,3901,3942,0.013
Lipa20a,0,-1,3901,3901,0.014
Lipa20a,1,0,3901,3945,0.016
Lipa20a,1,1,3901,3922,0.017
Lipa20a,1,2,3901,3961,0.019
Lipa20a,1,3,3901,3946,0.021
Lipa20a,1,4,3901,3958,0.022
Lipa20a,1,5,3901,3923,0.024
Lipa20a,1,6,3901,3954,0.026
Lipa20a,1,7,3890,3890,0.029
Lipa20a,1,-1,3890,3890,0.03
Lipa20a,2,0,3890,3977,0.031
Lipa20a,2,1,3890,3971,0.032
Lipa20a,2,2,3890,3942,0.034
Lipa20a,2,3,3890,3930,0.035
Lipa20a,2,4,3890,3973,0.036
Lipa20a,2,5,3890,3940,0.038
Lipa20a,2,6,3890,3956,0.039
Lipa20a,2,7,3890,3969,0.04
Lipa20a,2,-1,3890,3930,0.041
Lipa20a,3,0,3890,3984,0.042
Lipa20a,3,1,3890,3981,0.044
Lipa20a,3,2,3890,4010,0.046
Lipa20a,3,3,3890,3961,0.048
Lipa20a,3,4,3890,3995,0.05
Lipa20a,3,5,3890,3976,0.052
Lipa20a,3,6,3890,3971,0.054
Lipa20a,3,7,3890,3954,0.055
Lipa20a,3,-1,3890,3954,0.055
Lipa20a,4,0,3890,3953,0.056
Lipa20a,4,1,3890,3980,0.057
Lipa20a,4,2,3890,3959,0.059
Lipa20a,4,3,3890,3916,0.06
Lipa20a,4,4,3890,3927,0.063
Lipa20a,4,5,3890,3962,0.065
Lipa20a,4,6,3890,3956,0.067
Lipa20a,4,7,3890,3975,0.069
Lipa20a,4,-1,3890,3916,0.069
Lipa20a,5,0,3890,3956,0.071
Lipa20a,5,1,3890,3964,0.073
Lipa20a,5,2,3890,3985,0.075
Lipa20a,5,3,3890,3966,0.076
Lipa20a,5,4,3890,3971,0.078
Lipa20a,5,5,3890,3963,0.08
Lipa20a,5,6,3890,3975,0.081
Lipa20a,5,7,3890,3966,0.084
Lipa20a,5,-1,3890,3956,0.084
Lipa20a,6,0,3890,3931,0.086
Lipa20a,6,1,3890,3951,0.088
Lipa20a,6,2,3890,3995,0.089
Lipa20a,6,3,3890,3965,0.091
Lipa20a,6,4,3890,4012,0.092
Lipa20a,6,5,3890,3950,0.094
Lipa20a,6,6,3890,3949,0.097
Lipa20a,6,7,3890,3954,0.099
Lipa20a,6,-1,3890,3931,0.1
Lipa20a,7,0,3890,3971,0.101
Lipa20a,7,1,3890,4003,0.102
Lipa20a,7,2,3890,3937,0.104
Lipa20a,7,3,3890,3968,0.105
Lipa20a,7,4,3890,3965,0.106
Lipa20a,7,5,3890,3980,0.107
Lipa20a,7,6,3890,3954,0.108
Lipa20a,7,7,3890,3975,0.11
Lipa20a,7,-1,3890,3937,0.11
Lipa20a,8,0,3890,3939,0.113
Lipa20a,8,1,3890,3957,0.115
Lipa20a,8,2,3890,3942,0.116
Lipa20a,8,3,3890,3946,0.118
Lipa20a,8,4,3890,3984,0.12
Lipa20a,8,5,3890,3971,0.121
Lipa20a,8,6,3890,3911,0.123
Lipa20a,8,7,3890,3931,0.124
Lipa20a,8,-1,3890,3911,0.125
Lipa20a,9,0,3890,3937,0.126
Lipa20a,9,1,3890,3951,0.129
Lipa20a,9,2,3890,3946,0.131
Lipa20a,9,3,3890,3927,0.133
Lipa20a,9,4,3890,3960,0.134
Lipa20a,9,5,3890,3918,0.135
Lipa20a,9,6,3890,3941,0.136
Lipa20a,9,7,3890,3996,0.138
Lipa20a,9,-1,3890,3918,0.138
Lipa20a,10,0,3890,3935,0.14
Lipa20a,10,1,3890,3958,0.142
Lipa20a,10,2,3890,3975,0.143
Lipa20a,10,3,3890,3991,0.146
Lipa20a,10,4,3890,3986,0.147
Lipa20a,10,5,3890,4003,0.149
Lipa20a,10,6,3890,3938,0.15
Lipa20a,10,7,3890,3975,0.151
Lipa20a,10,-1,3890,3935,0.152
Lipa20a,11,0,3890,3976,0.153
Lipa20a,11,1,3890,3954,0.154
Lipa20a,11,2,3890,3992,0.157
Lipa20a,11,3,3890,3973,0.158
Lipa20a,11,4,3890,3985,0.159
Lipa20a,11,5,3890,3944,0.16
Lipa20a,11,6,3890,3929,0.163
Lipa20a,11,7,3890,3990,0.164
Lipa20a,11,-1,3890,3929,0.165
Lipa20a,12,0,3890,3962,0.166
Lipa20a,12,1,3890,3988,0.167
Lipa20a,12,2,3890,3982,0.169
Lipa20a,12,3,3890,3948,0.17
Lipa20a,12,4,3890,3908,0.171
Lipa20a,12,5,3890,3925,0.173
Lipa20a,12,6,3890,3938,0.174
Lipa20a,12,7,3890,3918,0.175
Lipa20a,12,-1,3890,3908,0.176
Lipa20a,13,0,3890,3939,0.178
Lipa20a,13,1,3890,3969,0.18
Lipa20a,13,2,3890,3916,0.181
Lipa20a,13,3,3890,3994,0.183
Lipa20a,13,4,3890,3974,0.185
Lipa20a,13,5,3890,3951,0.186
Lipa20a,13,6,3890,3963,0.187
Lipa20a,13,7,3890,3974,0.188
Lipa20a,13,-1,3890,3916,0.189
Lipa20a,14,0,3890,3928,0.19
Lipa20a,14,1,3890,3992,0.193
Lipa20a,14,2,3890,3970,0.196
Lipa20a,14,3,3890,3987,0.198
Lipa20a,14,4,3890,3955,0.199
Lipa20a,14,5,3890,3976,0.201
Lipa20a,14,6,3890,4007,0.202
Lipa20a,14,7,3890,3968,0.204
Lipa20a,14,-1,3890,3928,0.204
Lipa20a,15,0,3890,3919,0.205
Lipa20a,15,1,3890,3994,0.207
Lipa20a,15,2,3890,3996,0.209
Lipa20a,15,3,3890,3982,0.213
Lipa20a,15,4,3890,3962,0.216
Lipa20a,15,5,3890,3953,0.218
Lipa20a,15,6,3890,3908,0.22
Lipa20a,15,7,3890,3985,0.222
Lipa20a,15,-1,3890,3908,0.224
Lipa20a,16,0,3890,3971,0.225
Lipa20a,16,1,3890,3966,0.227
Lipa20a,16,2,3890,3965,0.229
Lipa20a,16,3,3890,3960,0.23
Lipa20a,16,4,3890,3988,0.232
Lipa20a,16,5,3890,3939,0.233
Lipa20a,16,6,3890,3933,0.234
Lipa20a,16,7,3890,3995,0.235
Lipa20a,16,-1,3890,3933,0.236
Lipa20a,17,0,3890,3933,0.237
Lipa20a,17,1,3890,3955,0.239
Lipa20a,17,2,3890,3916,0.241
Lipa20a,17,3,3890,3926,0.242
Lipa20a,17,4,3890,3991,0.244
