instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Lipa20b,1,34187,0.09,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,0.09,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,2.43,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,2.44,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,4.29,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,7.79,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,10.83,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,10.83,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,10.83,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,10.83,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,10.83,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,10.84,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,12.85,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,15.85,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,18.06,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,20.03,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,22.96,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,25.23,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,25.23,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,27.61,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,30.03,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,32.54,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,35.38,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,37.86,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,37.86,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,40.97,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,43.65,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,46.39,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,46.39,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,46.4,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,48.98,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,48.98,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,48.99,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,48.99,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,52.06,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,55.59,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,58.41,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,58.41,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,58.41,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,60.97,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,63.81,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,63.81,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,63.81,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,66.04,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,68.35,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,68.35,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,71.09,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,73.22,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,73.22,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,75.56,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
Lipa20b,1,34187,77.96,108.7,9,55,0.4661,0.5768,5,20,42,"[4, 8, 3, 1, 6, 17, 11, 5, 18, 9, 7, 19, 2, 0, 13, 15, 12, 10, 14, 16]"
