instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Lipa50b,1,1538153,0.13,108.71,9,45,0.4236,0.488,10,50,42,"[27, 6, 48, 17, 41, 29, 0, 35, 42, 31, 21, 7, 32, 5, 30, 13, 39, 19, 26, 44, 23, 36, 11, 15, 28, 12, 38, 24, 22, 10, 16, 18, 8, 43, 3, 20, 49, 1, 47, 34, 45, 9, 33, 40, 14, 46, 37, 2, 25, 4]"
Lipa50b,1,1538153,12.43,108.71,9,45,0.4236,0.488,10,50,42,"[27, 6, 48, 17, 41, 29, 0, 35, 42, 31, 21, 7, 32, 5, 30, 13, 39, 19, 26, 44, 23, 36, 11, 15, 28, 12, 38, 24, 22, 10, 16, 18, 8, 43, 3, 20, 49, 1, 47, 34, 45, 9, 33, 40, 14, 46, 37, 2, 25, 4]"
Lipa50b,1,1538153,25.04,108.71,9,45,0.4236,0.488,10,50,42,"[27, 6, 48, 17, 41, 29, 0, 35, 42, 31, 21, 7, 32, 5, 30, 13, 39, 19, 26, 44, 23, 36, 11, 15, 28, 12, 38, 24, 22, 10, 16, 18, 8, 43, 3, 20, 49, 1, 47, 34, 45, 9, 33, 40, 14, 46, 37, 2, 25, 4]"
Lipa50b,1,1538153,37.2,108.71,9,45,0.4236,0.488,10,50,42,"[27, 6, 48, 17, 41, 29, 0, 35, 42, 31, 21, 7, 32, 5, 30, 13, 39, 19, 26, 44, 23, 36, 11, 15, 28, 12, 38, 24, 22, 10, 16, 18, 8, 43, 3, 20, 49, 1, 47, 34, 45, 9, 33, 40, 14, 46, 37, 2, 25, 4]"
Lipa50b,1,1538153,37.2,108.71,9,45,0.4236,0.488,10,50,42,"[27, 6, 48, 17, 41, 29, 0, 35, 42, 31, 21, 7, 32, 5, 30, 13, 39, 19, 26, 44, 23, 36, 11, 15, 28, 12, 38, 24, 22, 10, 16, 18, 8, 43, 3, 20, 49, 1, 47, 34, 45, 9, 33, 40, 14, 46, 37, 2, 25, 4]"
Lipa50b,1,1538153,37.2,108.71,9,45,0.4236,0.488,10,50,42,"[27, 6, 48, 17, 41, 29, 0, 35, 42, 31, 21, 7, 32, 5, 30, 13, 39, 19, 26, 44, 23, 36, 11, 15, 28, 12, 38, 24, 22, 10, 16, 18, 8, 43, 3, 20, 49, 1, 47, 34, 45, 9, 33, 40, 14, 46, 37, 2, 25, 4]"
Lipa50b,1,1538153,49.42,108.71,9,45,0.4236,0.488,10,50,42,"[27, 6, 48, 17, 41, 29, 0, 35, 42, 31, 21, 7, 32, 5, 30, 13, 39, 19, 26, 44, 23, 36, 11, 15, 28, 12, 38, 24, 22, 10, 16, 18, 8, 43, 3, 20, 49, 1, 47, 34, 45, 9, 33, 40, 14, 46, 37, 2, 25, 4]"
Lipa50b,1,1538153,61.68,108.71,9,45,0.4236,0.488,10,50,42,"[27, 6, 48, 17, 41, 29, 0, 35, 42, 31, 21, 7, 32, 5, 30, 13, 39, 19, 26, 44, 23, 36, 11, 15, 28, 12, 38, 24, 22, 10, 16, 18, 8, 43, 3, 20, 49, 1, 47, 34, 45, 9, 33, 40, 14, 46, 37, 2, 25, 4]"
Lipa50b,1,1538153,61.68,108.71,9,45,0.4236,0.488,10,50,42,"[27, 6, 48, 17, 41, 29, 0, 35, 42, 31, 21, 7, 32, 5, 30, 13, 39, 19, 26, 44, 23, 36, 11, 15, 28, 12, 38, 24, 22, 10, 16, 18, 8, 43, 3, 20, 49, 1, 47, 34, 45, 9, 33, 40, 14, 46, 37, 2, 25, 4]"
Lipa50b,1,1538153,61.68,108.71,9,45,0.4236,0.488,10,50,42,"[27, 6, 48, 17, 41, 29, 0, 35, 42, 31, 21, 7, 32, 5, 30, 13, 39, 19, 26, 44, 23, 36, 11, 15, 28, 12, 38, 24, 22, 10, 16, 18, 8, 43, 3, 20, 49, 1, 47, 34, 45, 9, 33, 40, 14, 46, 37, 2, 25, 4]"
Lipa50b,1,1538153,61.68,108.71,9,45,0.4236,0.488,10,50,42,"[27, 6, 48, 17, 41, 29, 0, 35, 42, 31, 21, 7, 32, 5, 30, 13, 39, 19, 26, 44, 23, 36, 11, 15, 28, 12, 38, 24, 22, 10, 16, 18, 8, 43, 3, 20, 49, 1, 47, 34, 45, 9, 33, 40, 14, 46, 37, 2, 25, 4]"
Lipa50b,1,1538153,73.67,108.71,9,45,0.4236,0.488,10,50,42,"[27, 6, 48, 17, 41, 29, 0, 35, 42, 31, 21, 7, 32, 5, 30, 13, 39, 19, 26, 44, 23, 36, 11, 15, 28, 12, 38, 24, 22, 10, 16, 18, 8, 43, 3, 20, 49, 1, 47, 34, 45, 9, 33, 40, 14, 46, 37, 2, 25, 4]"
