instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Lipa90b,0,0,16310139,16310139,0.05
Lipa90b,0,1,16241293,16241293,0.11
Lipa90b,0,2,16241293,16261064,0.161
Lipa90b,0,3,16241293,16301735,0.216
Lipa90b,0,4,16241293,16330794,0.261
Lipa90b,0,5,16192125,16192125,0.315
Lipa90b,0,6,16187899,16187899,0.359
Lipa90b,0,7,16187899,16333718,0.408
Lipa90b,0,-1,16187899,16187899,0.41
Lipa90b,1,0,16187899,16280441,0.457
Lipa90b,1,1,16187899,16233673,0.513
Lipa90b,1,2,16187899,16294176,0.559
Lipa90b,1,3,16187899,16264006,0.596
Lipa90b,1,4,16187899,16325010,0.637
Lipa90b,1,5,16187899,16274801,0.691
Lipa90b,1,6,16153816,16153816,0.748
Lipa90b,1,7,16153816,16296645,0.805
Lipa90b,1,-1,16153816,16153816,0.808
Lipa90b,2,0,16153816,16355314,0.861
Lipa90b,2,1,16153816,16297197,0.914
Lipa90b,2,2,16153816,16268847,0.964
Lipa90b,2,3,16153816,16319804,1.013
Lipa90b,2,4,16153816,16320739,1.071
Lipa90b,2,5,16153816,16346981,1.116
Lipa90b,2,6,16153816,16358917,1.167
Lipa90b,2,7,16153816,16349732,1.208
Lipa90b,2,-1,16153816,16268847,1.212
Lipa90b,3,0,16153816,16361022,1.264
Lipa90b,3,1,16153816,16361448,1.317
Lipa90b,3,2,16153816,16327872,1.364
Lipa90b,3,3,16153816,16273231,1.411
Lipa90b,3,4,16153816,16294997,1.45
Lipa90b,3,5,16153816,16270390,1.492
Lipa90b,3,6,16153816,16202057,1.538
Lipa90b,3,7,16153816,16353788,1.587
Lipa90b,3,-1,16153816,16202057,1.592
Lipa90b,4,0,16153816,16358486,1.64
Lipa90b,4,1,16153816,16276708,1.689
Lipa90b,4,2,16153816,16275058,1.734
Lipa90b,4,3,16153816,16279767,1.776
Lipa90b,4,4,16153816,16312881,1.828
Lipa90b,4,5,16153816,16301141,1.88
Lipa90b,4,6,16153816,16351905,1.928
Lipa90b,4,7,16153816,16389810,1.979
Lipa90b,4,-1,16153816,16275058,1.982
Lipa90b,5,0,16153816,16325037,2.028
Lipa90b,5,1,16153816,16352539,2.077
Lipa90b,5,2,16153816,16348351,2.12
Lipa90b,5,3,16153816,16311920,2.163
Lipa90b,5,4,16153816,16328681,2.218
Lipa90b,5,5,16153816,16361901,2.266
Lipa90b,5,6,16153816,16311558,2.315
Lipa90b,5,7,16153816,16329502,2.355
Lipa90b,5,-1,16153816,16311558,2.358
Lipa90b,6,0,16153816,16314998,2.399
