instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Nug12,0,0,882,882,0.006
Nug12,0,1,792,792,0.009
Nug12,0,2,792,832,0.012
Nug12,0,3,760,760,0.014
Nug12,0,4,760,838,0.016
Nug12,0,5,760,848,0.02
Nug12,0,6,760,842,0.023
Nug12,0,7,760,848,0.025
Nug12,0,-1,760,760,0.027
Nug12,1,0,760,860,0.029
Nug12,1,1,760,948,0.032
Nug12,1,2,760,862,0.035
Nug12,1,3,760,840,0.039
Nug12,1,4,760,802,0.042
Nug12,1,5,752,752,0.046
Nug12,1,6,752,902,0.049
Nug12,1,7,752,950,0.054
Nug12,1,-1,752,752,0.055
Nug12,2,0,752,874,0.058
Nug12,2,1,752,824,0.061
Nug12,2,2,752,880,0.064
Nug12,2,3,752,826,0.068
Nug12,2,4,752,896,0.073
Nug12,2,5,752,920,0.076
Nug12,2,6,752,826,0.079
Nug12,2,7,752,790,0.082
Nug12,2,-1,752,790,0.084
Nug12,3,0,752,912,0.087
Nug12,3,1,752,836,0.089
Nug12,3,2,752,932,0.092
Nug12,3,3,752,866,0.095
Nug12,3,4,752,802,0.098
Nug12,3,5,752,820,0.101
Nug12,3,6,752,910,0.104
Nug12,3,7,752,846,0.107
Nug12,3,-1,752,802,0.108
Nug12,4,0,752,820,0.11
Nug12,4,1,752,880,0.112
Nug12,4,2,752,838,0.115
Nug12,4,3,752,786,0.118
Nug12,4,4,752,844,0.121
Nug12,4,5,752,876,0.124
Nug12,4,6,752,874,0.128
Nug12,4,7,752,782,0.131
Nug12,4,-1,752,782,0.133
Nug12,5,0,752,888,0.137
Nug12,5,1,752,890,0.14
Nug12,5,2,752,796,0.144
Nug12,5,3,752,840,0.147
Nug12,5,4,752,852,0.151
Nug12,5,5,752,846,0.155
Nug12,5,6,752,830,0.158
Nug12,5,7,752,840,0.163
Nug12,5,-1,752,796,0.165
Nug12,6,0,752,910,0.168
Nug12,6,1,752,862,0.171
Nug12,6,2,752,836,0.173
Nug12,6,3,752,818,0.176
Nug12,6,4,752,760,0.178
Nug12,6,5,752,880,0.181
Nug12,6,6,752,812,0.185
Nug12,6,7,752,858,0.188
Nug12,6,-1,752,760,0.191
Nug12,7,0,752,838,0.194
Nug12,7,1,752,868,0.197
Nug12,7,2,752,892,0.199
Nug12,7,3,752,920,0.203
Nug12,7,4,752,904,0.207
Nug12,7,5,752,946,0.21
Nug12,7,6,752,860,0.214
Nug12,7,7,752,870,0.218
Nug12,7,-1,752,838,0.22
Nug12,8,0,752,794,0.223
Nug12,8,1,752,866,0.226
Nug12,8,2,752,902,0.23
Nug12,8,3,752,924,0.233
Nug12,8,4,752,918,0.237
Nug12,8,5,752,900,0.241
Nug12,8,6,752,836,0.243
Nug12,8,7,752,834,0.246
Nug12,8,-1,752,794,0.248
Nug12,9,0,752,834,0.251
Nug12,9,1,752,858,0.255
Nug12,9,2,752,806,0.258
Nug12,9,3,752,792,0.26
Nug12,9,4,752,838,0.263
Nug12,9,5,752,910,0.266
Nug12,9,6,752,770,0.268
Nug12,9,7,752,870,0.272
Nug12,9,-1,752,770,0.274
Nug12,10,0,752,862,0.278
Nug12,10,1,752,886,0.281
Nug12,10,2,752,920,0.284
Nug12,10,3,752,874,0.287
Nug12,10,4,752,846,0.29
Nug12,10,5,752,876,0.293
Nug12,10,6,752,876,0.295
Nug12,10,7,752,882,0.297
Nug12,10,-1,752,846,0.299
Nug12,11,0,752,918,0.302
Nug12,11,1,752,804,0.305
Nug12,11,2,752,838,0.308
Nug12,11,3,752,834,0.31
Nug12,11,4,752,804,0.313
Nug12,11,5,752,838,0.315
Nug12,11,6,752,870,0.317
Nug12,11,7,752,904,0.32
Nug12,11,-1,752,804,0.322
