instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Nug14,1,1246,0.01,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,0.52,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,0.53,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,1.01,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,1.02,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,1.02,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,1.02,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,1.49,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,2.01,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,2.01,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,2.68,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,2.69,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,3.16,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,3.16,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,3.7,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,4.23,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,4.23,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,4.72,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,5.23,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,5.88,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,5.88,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,6.52,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,7.09,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,7.09,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,7.72,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,8.27,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,8.27,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,8.81,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,9.34,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,9.34,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,1,1246,9.78,111.98,5,33,0.4656,0.5516,5,14,42,"[5, 3, 13, 4, 11, 2, 12, 0, 8, 6, 9, 10, 1, 7]"
Nug14,2,1026,9.8,111.98,5,33,0.4656,0.5516,5,14,42,"[8, 7, 12, 1, 0, 10, 6, 2, 13, 3, 11, 4, 9, 5]"
Nug14,2,1026,10.13,111.98,5,33,0.4656,0.5516,5,14,42,"[8, 7, 12, 1, 0, 10, 6, 2, 13, 3, 11, 4, 9, 5]"
Nug14,2,1026,10.37,111.98,5,33,0.4656,0.5516,5,14,42,"[8, 7, 12, 1, 0, 10, 6, 2, 13, 3, 11, 4, 9, 5]"
Nug14,2,1026,10.67,111.98,5,33,0.4656,0.5516,5,14,42,"[8, 7, 12, 1, 0, 10, 6, 2, 13, 3, 11, 4, 9, 5]"
Nug14,2,1026,11.13,111.98,5,33,0.4656,0.5516,5,14,42,"[8, 7, 12, 1, 0, 10, 6, 2, 13, 3, 11, 4, 9, 5]"
Nug14,2,1026,11.56,111.98,5,33,0.4656,0.5516,5,14,42,"[8, 7, 12, 1, 0, 10, 6, 2, 13, 3, 11, 4, 9, 5]"
Nug14,2,1026,11.85,111.98,5,33,0.4656,0.5516,5,14,42,"[8, 7, 12, 1, 0, 10, 6, 2, 13, 3, 11, 4, 9, 5]"
Nug14,2,1026,12.11,111.98,5,33,0.4656,0.5516,5,14,42,"[8, 7, 12, 1, 0, 10, 6, 2, 13, 3, 11, 4, 9, 5]"
