instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Nug30,1,7644,0.2,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,17.21,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,17.22,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,33.63,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,50.49,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,66.85,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,84.47,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,84.47,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,101.9,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,101.9,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,118.51,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,135.75,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,152.61,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,169.27,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,169.27,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,186.95,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,186.95,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,204.33,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,221.76,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,239.28,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,256.96,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,256.97,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,256.97,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,256.97,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,273.9,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,291.23,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,308.76,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,308.76,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,308.76,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,327.93,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,345.98,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,363.59,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,363.6,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,382.45,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,382.46,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,382.46,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,382.46,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,400.48,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,417.85,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,417.86,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,417.86,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,417.86,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,417.86,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,417.86,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,435.16,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,435.16,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,435.16,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,435.17,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,435.17,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,435.17,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,451.42,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,468.52,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
Nug30,1,7644,468.52,107.9,9,65,0.6276,0.4479,8,30,42,"[7, 9, 8, 12, 28, 3, 17, 21, 10, 13, 18, 29, 4, 2, 23, 20, 5, 1, 0, 26, 11, 25, 24, 15, 22, 16, 14, 6, 27, 19]"
