instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Scr20,0,0,182096,182096,0.012
Scr20,0,1,182096,220226,0.019
Scr20,0,2,182096,218446,0.025
Scr20,0,3,182096,223866,0.031
Scr20,0,4,182096,201740,0.035
Scr20,0,5,182096,215798,0.04
Scr20,0,6,182096,216652,0.045
Scr20,0,7,182096,213102,0.05
Scr20,0,-1,182096,182096,0.053
Scr20,1,0,182096,238766,0.057
Scr20,1,1,182096,235156,0.063
Scr20,1,2,182096,236412,0.068
Scr20,1,3,182096,261834,0.071
Scr20,1,4,182096,222528,0.076
Scr20,1,5,182096,197722,0.081
Scr20,1,6,182096,225186,0.086
Scr20,1,7,182096,220852,0.089
Scr20,1,-1,182096,197722,0.092
Scr20,2,0,182096,218716,0.098
Scr20,2,1,182096,184378,0.104
Scr20,2,2,182096,254124,0.11
Scr20,2,3,182096,221034,0.113
Scr20,2,4,182096,236518,0.119
Scr20,2,5,182096,220738,0.125
Scr20,2,6,182096,227708,0.13
Scr20,2,7,182096,223336,0.14
Scr20,2,-1,182096,184378,0.142
Scr20,3,0,182096,205866,0.147
Scr20,3,1,182096,239748,0.153
Scr20,3,2,182096,213160,0.159
Scr20,3,3,182096,236270,0.164
Scr20,3,4,182096,221048,0.169
Scr20,3,5,182096,248548,0.173
Scr20,3,6,182096,235904,0.179
Scr20,3,7,182096,196832,0.184
Scr20,3,-1,182096,196832,0.187
Scr20,4,0,182096,221470,0.193
Scr20,4,1,182096,212302,0.199
Scr20,4,2,182096,203610,0.204
Scr20,4,3,182096,226020,0.21
Scr20,4,4,182096,210710,0.216
Scr20,4,5,182096,186210,0.223
Scr20,4,6,182096,234992,0.228
Scr20,4,7,182096,216466,0.233
Scr20,4,-1,182096,186210,0.236
Scr20,5,0,182096,238746,0.241
Scr20,5,1,182096,227990,0.246
Scr20,5,2,181678,181678,0.253
Scr20,5,3,181678,182994,0.259
Scr20,5,4,181678,219440,0.263
Scr20,5,5,181678,225312,0.269
Scr20,5,6,181678,210806,0.273
Scr20,5,7,181678,230038,0.278
Scr20,5,-1,181678,181678,0.282
Scr20,6,0,181678,237270,0.285
