instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Sko100e,0,0,176592,176592,0.042
Sko100e,0,1,176592,179964,0.077
Sko100e,0,2,176592,177036,0.116
Sko100e,0,3,176136,176136,0.167
Sko100e,0,4,176136,178126,0.227
Sko100e,0,5,176136,177452,0.271
Sko100e,0,6,176136,177556,0.32
Sko100e,0,7,176136,177060,0.382
Sko100e,0,-1,176136,176136,0.387
Sko100e,1,0,176136,178202,0.441
Sko100e,1,1,176136,177096,0.481
Sko100e,1,2,176136,177442,0.528
Sko100e,1,3,176136,179102,0.587
Sko100e,1,4,176136,176688,0.651
Sko100e,1,5,176136,180154,0.704
Sko100e,1,6,176136,176828,0.76
Sko100e,1,7,176136,179724,0.818
Sko100e,1,-1,176136,176688,0.822
Sko100e,2,0,176136,180544,0.879
Sko100e,2,1,176136,176804,0.941
Sko100e,2,2,176136,178174,0.995
Sko100e,2,3,176136,177862,1.056
Sko100e,2,4,176136,178030,1.097
Sko100e,2,5,176136,180810,1.143
Sko100e,2,6,176136,179376,1.186
Sko100e,2,7,176136,178984,1.239
Sko100e,2,-1,176136,176804,1.244
Sko100e,3,0,176136,178572,1.313
Sko100e,3,1,176136,177712,1.359
Sko100e,3,2,176136,179066,1.426
Sko100e,3,3,176136,176872,1.486
Sko100e,3,4,176136,180912,1.543
Sko100e,3,5,176136,178546,1.61
Sko100e,3,6,176136,179540,1.662
Sko100e,3,7,176136,179888,1.731
Sko100e,3,-1,176136,176872,1.733
Sko100e,4,0,176136,179762,1.791
Sko100e,4,1,176136,179598,1.85
Sko100e,4,2,176136,178476,1.902
Sko100e,4,3,176136,177608,1.97
Sko100e,4,4,176136,178810,2.024
Sko100e,4,5,176136,178458,2.067
Sko100e,4,6,176136,177038,2.123
Sko100e,4,7,175684,175684,2.167
Sko100e,4,-1,175684,175684,2.17
Sko100e,5,0,175684,178174,2.225
Sko100e,5,1,175684,178488,2.291
Sko100e,5,2,175684,178708,2.339
Sko100e,5,3,175684,178682,2.384
Sko100e,5,4,175684,177604,2.42
Sko100e,5,5,175684,179890,2.478
Sko100e,5,6,175684,177908,2.515
Sko100e,5,7,175684,179518,2.559
Sko100e,5,-1,175684,177604,2.562
Sko100e,6,0,175684,178204,2.618
Sko100e,6,1,175684,177940,2.678
Sko100e,6,2,175684,177230,2.738
Sko100e,6,3,175684,177106,2.783
Sko100e,6,4,175684,177048,2.852
Sko100e,6,5,175684,178226,2.898
Sko100e,6,6,175684,179748,2.956
Sko100e,6,7,175684,178178,3.0
Sko100e,6,-1,175684,177048,3.004
Sko100e,7,0,175684,177578,3.053
Sko100e,7,1,175684,176890,3.098
Sko100e,7,2,175684,177946,3.143
Sko100e,7,3,175684,180022,3.191
Sko100e,7,4,175684,178680,3.249
Sko100e,7,5,175684,178948,3.31
Sko100e,7,6,175684,177518,3.375
Sko100e,7,7,175684,179832,3.419
Sko100e,7,-1,175684,176890,3.421
Sko100e,8,0,175684,179608,3.457
Sko100e,8,1,175684,180102,3.509
Sko100e,8,2,175684,178734,3.558
Sko100e,8,3,175684,176926,3.594
Sko100e,8,4,175684,180378,3.629
Sko100e,8,5,175684,176962,3.678
Sko100e,8,6,175684,179140,3.734
Sko100e,8,7,175684,178150,3.797
Sko100e,8,-1,175684,176926,3.8
Sko100e,9,0,175684,179156,3.868
Sko100e,9,1,175684,177800,3.922
Sko100e,9,2,175684,179550,3.975
Sko100e,9,3,175684,178488,4.021
Sko100e,9,4,175684,178246,4.057
