instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Sko100e,1,173598,1.88,120.77,6,70,0.5966,0.5187,10,100,42,"[80, 29, 36, 66, 83, 48, 90, 64, 61, 51, 43, 33, 38, 42, 53, 58, 20, 67, 75, 63, 18, 74, 25, 19, 21, 76, 82, 26, 41, 70, 77, 91, 96, 27, 62, 65, 88, 57, 72, 98, 49, 45, 86, 46, 89, 84, 55, 0, 59, 85, 44, 92, 79, 12, 78, 87, 37, 1, 11, 15, 50, 4, 28, 7, 10, 35, 93, 95, 17, 8, 16, 69, 30, 13, 22, 99, 68, 52, 32, 23, 39, 31, 40, 14, 60, 56, 81, 9, 3, 97, 34, 94, 5, 71, 2, 73, 6, 47, 54, 24]"
Sko100e,1,173598,162.48,120.77,6,70,0.5966,0.5187,10,100,42,"[80, 29, 36, 66, 83, 48, 90, 64, 61, 51, 43, 33, 38, 42, 53, 58, 20, 67, 75, 63, 18, 74, 25, 19, 21, 76, 82, 26, 41, 70, 77, 91, 96, 27, 62, 65, 88, 57, 72, 98, 49, 45, 86, 46, 89, 84, 55, 0, 59, 85, 44, 92, 79, 12, 78, 87, 37, 1, 11, 15, 50, 4, 28, 7, 10, 35, 93, 95, 17, 8, 16, 69, 30, 13, 22, 99, 68, 52, 32, 23, 39, 31, 40, 14, 60, 56, 81, 9, 3, 97, 34, 94, 5, 71, 2, 73, 6, 47, 54, 24]"
Sko100e,1,173598,162.49,120.77,6,70,0.5966,0.5187,10,100,42,"[80, 29, 36, 66, 83, 48, 90, 64, 61, 51, 43, 33, 38, 42, 53, 58, 20, 67, 75, 63, 18, 74, 25, 19, 21, 76, 82, 26, 41, 70, 77, 91, 96, 27, 62, 65, 88, 57, 72, 98, 49, 45, 86, 46, 89, 84, 55, 0, 59, 85, 44, 92, 79, 12, 78, 87, 37, 1, 11, 15, 50, 4, 28, 7, 10, 35, 93, 95, 17, 8, 16, 69, 30, 13, 22, 99, 68, 52, 32, 23, 39, 31, 40, 14, 60, 56, 81, 9, 3, 97, 34, 94, 5, 71, 2, 73, 6, 47, 54, 24]"
Sko100e,1,173598,162.49,120.77,6,70,0.5966,0.5187,10,100,42,"[80, 29, 36, 66, 83, 48, 90, 64, 61, 51, 43, 33, 38, 42, 53, 58, 20, 67, 75, 63, 18, 74, 25, 19, 21, 76, 82, 26, 41, 70, 77, 91, 96, 27, 62, 65, 88, 57, 72, 98, 49, 45, 86, 46, 89, 84, 55, 0, 59, 85, 44, 92, 79, 12, 78, 87, 37, 1, 11, 15, 50, 4, 28, 7, 10, 35, 93, 95, 17, 8, 16, 69, 30, 13, 22, 99, 68, 52, 32, 23, 39, 31, 40, 14, 60, 56, 81, 9, 3, 97, 34, 94, 5, 71, 2, 73, 6, 47, 54, 24]"
Sko100e,1,173598,162.49,120.77,6,70,0.5966,0.5187,10,100,42,"[80, 29, 36, 66, 83, 48, 90, 64, 61, 51, 43, 33, 38, 42, 53, 58, 20, 67, 75, 63, 18, 74, 25, 19, 21, 76, 82, 26, 41, 70, 77, 91, 96, 27, 62, 65, 88, 57, 72, 98, 49, 45, 86, 46, 89, 84, 55, 0, 59, 85, 44, 92, 79, 12, 78, 87, 37, 1, 11, 15, 50, 4, 28, 7, 10, 35, 93, 95, 17, 8, 16, 69, 30, 13, 22, 99, 68, 52, 32, 23, 39, 31, 40, 14, 60, 56, 81, 9, 3, 97, 34, 94, 5, 71, 2, 73, 6, 47, 54, 24]"
Sko100e,1,173598,162.5,120.77,6,70,0.5966,0.5187,10,100,42,"[80, 29, 36, 66, 83, 48, 90, 64, 61, 51, 43, 33, 38, 42, 53, 58, 20, 67, 75, 63, 18, 74, 25, 19, 21, 76, 82, 26, 41, 70, 77, 91, 96, 27, 62, 65, 88, 57, 72, 98, 49, 45, 86, 46, 89, 84, 55, 0, 59, 85, 44, 92, 79, 12, 78, 87, 37, 1, 11, 15, 50, 4, 28, 7, 10, 35, 93, 95, 17, 8, 16, 69, 30, 13, 22, 99, 68, 52, 32, 23, 39, 31, 40, 14, 60, 56, 81, 9, 3, 97, 34, 94, 5, 71, 2, 73, 6, 47, 54, 24]"
Sko100e,1,173598,323.33,120.77,6,70,0.5966,0.5187,10,100,42,"[80, 29, 36, 66, 83, 48, 90, 64, 61, 51, 43, 33, 38, 42, 53, 58, 20, 67, 75, 63, 18, 74, 25, 19, 21, 76, 82, 26, 41, 70, 77, 91, 96, 27, 62, 65, 88, 57, 72, 98, 49, 45, 86, 46, 89, 84, 55, 0, 59, 85, 44, 92, 79, 12, 78, 87, 37, 1, 11, 15, 50, 4, 28, 7, 10, 35, 93, 95, 17, 8, 16, 69, 30, 13, 22, 99, 68, 52, 32, 23, 39, 31, 40, 14, 60, 56, 81, 9, 3, 97, 34, 94, 5, 71, 2, 73, 6, 47, 54, 24]"
Sko100e,1,173598,323.33,120.77,6,70,0.5966,0.5187,10,100,42,"[80, 29, 36, 66, 83, 48, 90, 64, 61, 51, 43, 33, 38, 42, 53, 58, 20, 67, 75, 63, 18, 74, 25, 19, 21, 76, 82, 26, 41, 70, 77, 91, 96, 27, 62, 65, 88, 57, 72, 98, 49, 45, 86, 46, 89, 84, 55, 0, 59, 85, 44, 92, 79, 12, 78, 87, 37, 1, 11, 15, 50, 4, 28, 7, 10, 35, 93, 95, 17, 8, 16, 69, 30, 13, 22, 99, 68, 52, 32, 23, 39, 31, 40, 14, 60, 56, 81, 9, 3, 97, 34, 94, 5, 71, 2, 73, 6, 47, 54, 24]"
Sko100e,1,173598,323.34,120.77,6,70,0.5966,0.5187,10,100,42,"[80, 29, 36, 66, 83, 48, 90, 64, 61, 51, 43, 33, 38, 42, 53, 58, 20, 67, 75, 63, 18, 74, 25, 19, 21, 76, 82, 26, 41, 70, 77, 91, 96, 27, 62, 65, 88, 57, 72, 98, 49, 45, 86, 46, 89, 84, 55, 0, 59, 85, 44, 92, 79, 12, 78, 87, 37, 1, 11, 15, 50, 4, 28, 7, 10, 35, 93, 95, 17, 8, 16, 69, 30, 13, 22, 99, 68, 52, 32, 23, 39, 31, 40, 14, 60, 56, 81, 9, 3, 97, 34, 94, 5, 71, 2, 73, 6, 47, 54, 24]"
Sko100e,1,173598,323.34,120.77,6,70,0.5966,0.5187,10,100,42,"[80, 29, 36, 66, 83, 48, 90, 64, 61, 51, 43, 33, 38, 42, 53, 58, 20, 67, 75, 63, 18, 74, 25, 19, 21, 76, 82, 26, 41, 70, 77, 91, 96, 27, 62, 65, 88, 57, 72, 98, 49, 45, 86, 46, 89, 84, 55, 0, 59, 85, 44, 92, 79, 12, 78, 87, 37, 1, 11, 15, 50, 4, 28, 7, 10, 35, 93, 95, 17, 8, 16, 69, 30, 13, 22, 99, 68, 52, 32, 23, 39, 31, 40, 14, 60, 56, 81, 9, 3, 97, 34, 94, 5, 71, 2, 73, 6, 47, 54, 24]"
