instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Sko49,1,28224,0.35,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,40.85,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,82.23,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,82.23,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,123.1,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,123.1,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,123.1,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,165.99,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,165.99,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,208.24,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,208.25,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,250.34,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,250.34,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,250.34,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,288.61,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,288.62,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,288.62,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,328.28,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,370.24,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,370.25,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,370.25,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
Sko49,1,28224,370.25,108.02,9,45,0.4236,0.488,10,49,42,"[37, 47, 44, 20, 28, 46, 34, 39, 3, 8, 12, 9, 5, 38, 15, 19, 45, 48, 14, 11, 42, 40, 31, 7, 13, 18, 10, 43, 33, 17, 23, 30, 41, 0, 6, 1, 26, 2, 25, 24, 32, 16, 21, 36, 29, 35, 27, 4, 22]"
