instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Sko64,0,0,59828,59828,0.031
Sko64,0,1,59300,59300,0.063
Sko64,0,2,59300,60540,0.091
Sko64,0,3,59300,60604,0.112
Sko64,0,4,59300,59650,0.128
Sko64,0,5,59300,59384,0.149
Sko64,0,6,59300,59908,0.17
Sko64,0,7,59300,59664,0.198
Sko64,0,-1,59300,59300,0.201
Sko64,1,0,59300,60236,0.223
Sko64,1,1,59300,61426,0.244
Sko64,1,2,59300,59654,0.273
Sko64,1,3,59300,59894,0.295
Sko64,1,4,59300,60264,0.324
Sko64,1,5,59300,59500,0.346
Sko64,1,6,58410,58410,0.375
Sko64,1,7,58410,61402,0.402
Sko64,1,-1,58410,58410,0.405
Sko64,2,0,58410,59946,0.424
Sko64,2,1,58410,60018,0.445
Sko64,2,2,58410,61142,0.463
Sko64,2,3,58410,59664,0.491
Sko64,2,4,58410,59768,0.508
Sko64,2,5,58410,59470,0.526
Sko64,2,6,58410,59670,0.545
Sko64,2,7,58410,59304,0.567
Sko64,2,-1,58410,59304,0.571
Sko64,3,0,58410,59478,0.592
Sko64,3,1,58410,59282,0.617
Sko64,3,2,58410,60056,0.636
Sko64,3,3,58410,60634,0.656
Sko64,3,4,58410,60360,0.671
Sko64,3,5,58410,60462,0.696
Sko64,3,6,58410,59586,0.72
Sko64,3,7,58410,59782,0.746
Sko64,3,-1,58410,59282,0.748
Sko64,4,0,58410,60268,0.773
Sko64,4,1,58410,59548,0.791
Sko64,4,2,58410,60376,0.808
Sko64,4,3,58410,60526,0.829
Sko64,4,4,58410,59876,0.85
Sko64,4,5,58410,59614,0.873
Sko64,4,6,58410,60120,0.896
Sko64,4,7,58410,59816,0.917
Sko64,4,-1,58410,59548,0.92
Sko64,5,0,58410,60146,0.942
Sko64,5,1,58410,59100,0.963
Sko64,5,2,58410,59772,0.983
Sko64,5,3,58410,59226,1.01
Sko64,5,4,58410,60536,1.029
Sko64,5,5,58410,59626,1.049
Sko64,5,6,58410,59014,1.071
Sko64,5,7,58410,59372,1.091
Sko64,5,-1,58410,59014,1.092
Sko64,6,0,58410,59852,1.117
Sko64,6,1,58410,59148,1.139
Sko64,6,2,58410,60542,1.157
Sko64,6,3,58410,59150,1.186
Sko64,6,4,58328,58328,1.211
Sko64,6,5,58328,59252,1.229
Sko64,6,6,58328,58972,1.254
Sko64,6,7,58328,59498,1.272
Sko64,6,-1,58328,58328,1.275
Sko64,7,0,58328,59978,1.304
Sko64,7,1,58328,59598,1.325
Sko64,7,2,58328,60240,1.347
Sko64,7,3,58328,59996,1.366
Sko64,7,4,58328,61168,1.382
Sko64,7,5,58328,59930,1.407
Sko64,7,6,58328,59812,1.433
Sko64,7,7,58328,59532,1.453
Sko64,7,-1,58328,59532,1.457
Sko64,8,0,58328,60158,1.481
Sko64,8,1,58328,59050,1.503
Sko64,8,2,58328,59930,1.526
Sko64,8,3,58328,61104,1.548
Sko64,8,4,58328,59518,1.564
Sko64,8,5,58328,59666,1.582
Sko64,8,6,58328,60008,1.599
Sko64,8,7,58328,59564,1.626
Sko64,8,-1,58328,59050,1.629
Sko64,9,0,58328,59298,1.651
Sko64,9,1,58328,59758,1.677
Sko64,9,2,58328,60254,1.698
Sko64,9,3,58328,59300,1.725
Sko64,9,4,58328,59122,1.751
Sko64,9,5,58328,60468,1.77
Sko64,9,6,58328,59960,1.795
Sko64,9,7,58328,58914,1.813
Sko64,9,-1,58328,58914,1.816
Sko64,10,0,58328,59442,1.84
Sko64,10,1,58328,59142,1.862
Sko64,10,2,58328,60782,1.883
Sko64,10,3,58328,59894,1.902
Sko64,10,4,58328,59440,1.928
Sko64,10,5,58328,59910,1.954
Sko64,10,6,58328,59704,1.977
Sko64,10,7,58328,59548,1.999
Sko64,10,-1,58328,59142,2.001
Sko64,11,0,58328,58792,2.021
Sko64,11,1,58328,58942,2.041
Sko64,11,2,58328,60912,2.07
Sko64,11,3,58328,60142,2.091
Sko64,11,4,58328,60032,2.108
Sko64,11,5,58328,59680,2.132
Sko64,11,6,58328,58812,2.154
Sko64,11,7,58328,58974,2.178
Sko64,11,-1,58328,58792,2.181
Sko64,12,0,58328,60022,2.204
