instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Tai12a,0,0,304186,304186,0.007
Tai12a,0,1,291552,291552,0.012
Tai12a,0,2,291552,318248,0.014
Tai12a,0,3,291552,299682,0.017
Tai12a,0,4,291552,319238,0.02
Tai12a,0,5,291552,308428,0.024
Tai12a,0,6,291552,295528,0.028
Tai12a,0,7,291552,306090,0.031
Tai12a,0,-1,291552,291552,0.035
Tai12a,1,0,291552,304812,0.037
Tai12a,1,1,288788,288788,0.041
Tai12a,1,2,288788,313706,0.044
Tai12a,1,3,288788,326790,0.048
Tai12a,1,4,288788,328216,0.052
Tai12a,1,5,288788,306442,0.053
Tai12a,1,6,288788,303906,0.058
Tai12a,1,7,288788,310574,0.061
Tai12a,1,-1,288788,288788,0.063
Tai12a,2,0,288788,319672,0.066
Tai12a,2,1,288788,304096,0.07
Tai12a,2,2,288788,300636,0.075
Tai12a,2,3,288788,326772,0.078
Tai12a,2,4,288788,295394,0.083
Tai12a,2,5,288788,312128,0.086
Tai12a,2,6,288788,316910,0.089
Tai12a,2,7,288788,324026,0.094
Tai12a,2,-1,288788,295394,0.096
Tai12a,3,0,279276,279276,0.099
Tai12a,3,1,279276,327310,0.103
Tai12a,3,2,279276,337978,0.109
Tai12a,3,3,279276,317238,0.115
Tai12a,3,4,279276,316234,0.118
Tai12a,3,5,279276,328174,0.122
Tai12a,3,6,279276,323904,0.126
Tai12a,3,7,279276,323570,0.13
Tai12a,3,-1,279276,279276,0.132
Tai12a,4,0,279276,290154,0.136
Tai12a,4,1,279276,310656,0.14
Tai12a,4,2,279276,301192,0.144
Tai12a,4,3,279276,294254,0.148
Tai12a,4,4,279276,315464,0.152
Tai12a,4,5,279276,322094,0.159
Tai12a,4,6,279276,311878,0.163
Tai12a,4,7,279276,295374,0.166
Tai12a,4,-1,279276,290154,0.167
Tai12a,5,0,279276,302962,0.174
Tai12a,5,1,279276,297796,0.177
Tai12a,5,2,279276,317612,0.18
Tai12a,5,3,279276,308818,0.184
Tai12a,5,4,279276,314944,0.186
Tai12a,5,5,279276,303144,0.191
Tai12a,5,6,279276,321574,0.195
Tai12a,5,7,279276,310782,0.196
Tai12a,5,-1,279276,297796,0.196
Tai12a,6,0,279276,292916,0.197
Tai12a,6,1,279276,307928,0.2
Tai12a,6,2,279276,295528,0.204
Tai12a,6,3,279276,304594,0.208
Tai12a,6,4,279276,311196,0.21
Tai12a,6,5,279276,303414,0.214
Tai12a,6,6,279276,304468,0.218
Tai12a,6,7,279276,288780,0.222
Tai12a,6,-1,279276,288780,0.223
Tai12a,7,0,279276,329296,0.226
Tai12a,7,1,279276,326160,0.23
Tai12a,7,2,279276,288960,0.234
Tai12a,7,3,279276,292500,0.237
Tai12a,7,4,279276,316670,0.242
Tai12a,7,5,279276,308424,0.245
Tai12a,7,6,279276,308576,0.248
Tai12a,7,7,279276,305430,0.252
Tai12a,7,-1,279276,288960,0.255
Tai12a,8,0,279276,301618,0.259
Tai12a,8,1,279276,296872,0.264
Tai12a,8,2,279276,286950,0.267
Tai12a,8,3,279276,315228,0.271
Tai12a,8,4,279276,300750,0.274
Tai12a,8,5,279276,305784,0.277
Tai12a,8,6,279276,326190,0.282
Tai12a,8,7,279276,326990,0.285
Tai12a,8,-1,279276,286950,0.286
Tai12a,9,0,279276,318882,0.292
Tai12a,9,1,279276,297898,0.295
Tai12a,9,2,279276,326352,0.298
Tai12a,9,3,279276,299632,0.303
Tai12a,9,4,279276,319294,0.306
Tai12a,9,5,279276,297226,0.309
Tai12a,9,6,279276,307950,0.314
Tai12a,9,7,279276,323964,0.318
Tai12a,9,-1,279276,297226,0.321
Tai12a,10,0,279276,301336,0.325
Tai12a,10,1,279276,329914,0.328
Tai12a,10,2,279276,311002,0.331
Tai12a,10,3,279276,306112,0.336
Tai12a,10,4,279276,299312,0.342
Tai12a,10,5,279276,309334,0.346
Tai12a,10,6,279276,323092,0.35
Tai12a,10,7,279276,285814,0.352
Tai12a,10,-1,279276,285814,0.354
Tai12a,11,0,279276,307612,0.357
Tai12a,11,1,279276,297070,0.36
Tai12a,11,2,279276,310768,0.364
Tai12a,11,3,279276,315766,0.368
Tai12a,11,4,279276,312262,0.371
Tai12a,11,5,279276,331380,0.375
Tai12a,11,6,279276,320076,0.379
Tai12a,11,7,279276,315228,0.382
Tai12a,11,-1,279276,297070,0.384
Tai12a,12,0,279276,301822,0.387
Tai12a,12,1,279276,335760,0.391
Tai12a,12,2,279276,315436,0.394
Tai12a,12,3,279276,313902,0.396
Tai12a,12,4,279276,298384,0.4
Tai12a,12,5,279276,301022,0.403
Tai12a,12,6,279276,306020,0.407
Tai12a,12,7,279276,288312,0.41
Tai12a,12,-1,279276,288312,0.412
Tai12a,13,0,279276,291102,0.414
Tai12a,13,1,279276,295418,0.415
Tai12a,13,2,279276,310518,0.419
Tai12a,13,3,279276,310702,0.421
Tai12a,13,4,279276,316958,0.425
Tai12a,13,5,279276,314928,0.427
Tai12a,13,6,279276,324640,0.43
Tai12a,13,7,279276,286248,0.432
Tai12a,13,-1,279276,286248,0.434
Tai12a,14,0,279276,306248,0.438
Tai12a,14,1,279276,311574,0.441
Tai12a,14,2,279276,302220,0.445
Tai12a,14,3,279276,306514,0.449
Tai12a,14,4,279276,313012,0.452
Tai12a,14,5,279276,314788,0.455
Tai12a,14,6,279276,301594,0.46
Tai12a,14,7,279276,303206,0.462
Tai12a,14,-1,279276,301594,0.464
Tai12a,15,0,279276,281972,0.467
Tai12a,15,1,279276,314138,0.471
Tai12a,15,2,279276,299790,0.475
Tai12a,15,3,279276,323578,0.479
Tai12a,15,4,279276,317374,0.482
Tai12a,15,5,279276,337992,0.485
Tai12a,15,6,279276,284998,0.489
Tai12a,15,7,279276,323200,0.492
Tai12a,15,-1,279276,281972,0.494
Tai12a,16,0,279276,304512,0.498
Tai12a,16,1,279276,287850,0.501
Tai12a,16,2,279276,317654,0.505
Tai12a,16,3,279276,319010,0.509
Tai12a,16,4,279276,303404,0.512
Tai12a,16,5,279276,303112,0.516
Tai12a,16,6,279276,290572,0.519
Tai12a,16,7,279276,325098,0.522
Tai12a,16,-1,279276,287850,0.525
Tai12a,17,0,279276,307022,0.529
Tai12a,17,1,279276,328826,0.532
Tai12a,17,2,279276,308528,0.535
Tai12a,17,3,279276,303668,0.539
Tai12a,17,4,279276,333212,0.543
Tai12a,17,5,279276,311184,0.545
Tai12a,17,6,279276,324816,0.548
Tai12a,17,7,279276,323638,0.551
Tai12a,17,-1,279276,303668,0.554
Tai12a,18,0,279276,320496,0.558
Tai12a,18,1,279276,311988,0.561
Tai12a,18,2,279276,318854,0.563
Tai12a,18,3,279276,297034,0.565
Tai12a,18,4,279276,293776,0.567
Tai12a,18,5,279276,338540,0.571
Tai12a,18,6,279276,313984,0.576
Tai12a,18,7,279276,289034,0.581
Tai12a,18,-1,279276,289034,0.583
Tai12a,19,0,279276,302622,0.586
Tai12a,19,1,279276,315500,0.591
Tai12a,19,2,279276,323992,0.594
Tai12a,19,3,279276,326532,0.598
Tai12a,19,4,279276,316506,0.602
Tai12a,19,5,279276,310446,0.604
Tai12a,19,6,279276,328178,0.607
Tai12a,19,7,279276,327696,0.611
Tai12a,19,-1,279276,302622,0.612
Tai12a,20,0,279276,317376,0.616
Tai12a,20,1,279276,313902,0.618
Tai12a,20,2,279276,285596,0.622
Tai12a,20,3,279276,313902,0.626
Tai12a,20,4,279276,314518,0.629
Tai12a,20,5,279276,297246,0.632
