instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Tai30a,1,2126868,0.17,120.46,9,65,0.6276,0.4479,8,30,42,"[26, 20, 0, 4, 22, 15, 27, 28, 9, 6, 24, 7, 12, 16, 8, 29, 18, 23, 14, 13, 17, 10, 11, 19, 2, 5, 25, 3, 1, 21]"
Tai30a,1,2126868,17.98,120.46,9,65,0.6276,0.4479,8,30,42,"[26, 20, 0, 4, 22, 15, 27, 28, 9, 6, 24, 7, 12, 16, 8, 29, 18, 23, 14, 13, 17, 10, 11, 19, 2, 5, 25, 3, 1, 21]"
Tai30a,1,2126868,17.99,120.46,9,65,0.6276,0.4479,8,30,42,"[26, 20, 0, 4, 22, 15, 27, 28, 9, 6, 24, 7, 12, 16, 8, 29, 18, 23, 14, 13, 17, 10, 11, 19, 2, 5, 25, 3, 1, 21]"
Tai30a,1,2126868,29.96,120.46,9,65,0.6276,0.4479,8,30,42,"[26, 20, 0, 4, 22, 15, 27, 28, 9, 6, 24, 7, 12, 16, 8, 29, 18, 23, 14, 13, 17, 10, 11, 19, 2, 5, 25, 3, 1, 21]"
Tai30a,1,2126868,29.96,120.46,9,65,0.6276,0.4479,8,30,42,"[26, 20, 0, 4, 22, 15, 27, 28, 9, 6, 24, 7, 12, 16, 8, 29, 18, 23, 14, 13, 17, 10, 11, 19, 2, 5, 25, 3, 1, 21]"
Tai30a,1,2126868,29.96,120.46,9,65,0.6276,0.4479,8,30,42,"[26, 20, 0, 4, 22, 15, 27, 28, 9, 6, 24, 7, 12, 16, 8, 29, 18, 23, 14, 13, 17, 10, 11, 19, 2, 5, 25, 3, 1, 21]"
Tai30a,1,2126868,29.97,120.46,9,65,0.6276,0.4479,8,30,42,"[26, 20, 0, 4, 22, 15, 27, 28, 9, 6, 24, 7, 12, 16, 8, 29, 18, 23, 14, 13, 17, 10, 11, 19, 2, 5, 25, 3, 1, 21]"
Tai30a,1,2126868,43.27,120.46,9,65,0.6276,0.4479,8,30,42,"[26, 20, 0, 4, 22, 15, 27, 28, 9, 6, 24, 7, 12, 16, 8, 29, 18, 23, 14, 13, 17, 10, 11, 19, 2, 5, 25, 3, 1, 21]"
Tai30a,1,2126868,43.28,120.46,9,65,0.6276,0.4479,8,30,42,"[26, 20, 0, 4, 22, 15, 27, 28, 9, 6, 24, 7, 12, 16, 8, 29, 18, 23, 14, 13, 17, 10, 11, 19, 2, 5, 25, 3, 1, 21]"
Tai30a,1,2126868,43.28,120.46,9,65,0.6276,0.4479,8,30,42,"[26, 20, 0, 4, 22, 15, 27, 28, 9, 6, 24, 7, 12, 16, 8, 29, 18, 23, 14, 13, 17, 10, 11, 19, 2, 5, 25, 3, 1, 21]"
Tai30a,1,2126868,63.56,120.46,9,65,0.6276,0.4479,8,30,42,"[26, 20, 0, 4, 22, 15, 27, 28, 9, 6, 24, 7, 12, 16, 8, 29, 18, 23, 14, 13, 17, 10, 11, 19, 2, 5, 25, 3, 1, 21]"
Tai30a,1,2126868,63.56,120.46,9,65,0.6276,0.4479,8,30,42,"[26, 20, 0, 4, 22, 15, 27, 28, 9, 6, 24, 7, 12, 16, 8, 29, 18, 23, 14, 13, 17, 10, 11, 19, 2, 5, 25, 3, 1, 21]"
Tai30a,1,2126868,79.7,120.46,9,65,0.6276,0.4479,8,30,42,"[26, 20, 0, 4, 22, 15, 27, 28, 9, 6, 24, 7, 12, 16, 8, 29, 18, 23, 14, 13, 17, 10, 11, 19, 2, 5, 25, 3, 1, 21]"
