instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Tai35a,1,2832054,0.1,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,8.55,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,16.6,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,24.53,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,32.22,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,40.21,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,40.21,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,46.54,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,46.54,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,46.54,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,52.21,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,52.21,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,59.3,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,67.13,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,84.05,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,104.89,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,125.05,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
Tai35a,1,2832054,142.96,107.65,7,65,0.4646,0.629,5,35,42,"[9, 30, 5, 22, 26, 21, 16, 34, 28, 33, 6, 13, 20, 4, 19, 7, 10, 31, 15, 14, 2, 25, 11, 8, 32, 29, 1, 24, 17, 0, 18, 3, 23, 27, 12]"
