instancia,iteracao,formiga,melhor_custo,custo_atual,tempo_decorrido
Tho150,0,0,9891980,9891980,0.133
Tho150,0,1,9880054,9880054,0.252
Tho150,0,2,9880054,9938292,0.384
Tho150,0,3,9844400,9844400,0.495
Tho150,0,4,9844400,9872954,0.673
Tho150,0,5,9844400,9935246,0.818
Tho150,0,6,9844400,9997176,0.925
Tho150,0,7,9844400,9873964,1.016
Tho150,0,-1,9844400,9844400,1.018
Tho150,1,0,9844400,9900824,1.121
Tho150,1,1,9844400,9911338,1.224
Tho150,1,2,9844400,9987416,1.31
Tho150,1,3,9844400,9906998,1.402
Tho150,1,4,9844400,9929328,1.497
Tho150,1,5,9828726,9828726,1.61
Tho150,1,6,9828726,10004154,1.699
Tho150,1,7,9828726,9868500,1.814
Tho150,1,-1,9828726,9828726,1.82
Tho150,2,0,9801384,9801384,1.944
Tho150,2,1,9801384,9895164,2.04
Tho150,2,2,9801384,9808270,2.152
Tho150,2,3,9801384,9915236,2.226
Tho150,2,4,9801384,10032660,2.34
Tho150,2,5,9801384,9836576,2.442
Tho150,2,6,9801384,9929918,2.554
Tho150,2,7,9801384,9909762,2.676
Tho150,2,-1,9801384,9801384,2.681
Tho150,3,0,9801384,9877354,2.794
Tho150,3,1,9801384,9823948,2.915
Tho150,3,2,9801384,9925326,3.029
Tho150,3,3,9801384,9950820,3.138
Tho150,3,4,9801384,9889338,3.244
Tho150,3,5,9801384,9966356,3.368
Tho150,3,6,9801384,9844600,3.491
Tho150,3,7,9801384,9869602,3.604
Tho150,3,-1,9801384,9823948,3.609
Tho150,4,0,9801384,9979812,3.72
Tho150,4,1,9801384,9940074,3.839
Tho150,4,2,9801384,9881682,3.95
Tho150,4,3,9801384,9914294,4.055
Tho150,4,4,9801384,9908220,4.172
Tho150,4,5,9801384,9889924,4.297
Tho150,4,6,9801384,9897836,4.408
Tho150,4,7,9801384,9947064,4.524
Tho150,4,-1,9801384,9881682,4.528
Tho150,5,0,9801384,9933724,4.642
Tho150,5,1,9801384,9863932,4.752
Tho150,5,2,9801384,9910652,4.882
Tho150,5,3,9801384,9826298,5.001
Tho150,5,4,9801384,9924734,5.098
Tho150,5,5,9801384,9825750,5.192
Tho150,5,6,9801384,9844360,5.284
Tho150,5,7,9801384,9922772,5.413
Tho150,5,-1,9801384,9825750,5.418
Tho150,6,0,9801384,9810472,5.545
Tho150,6,1,9801384,9893434,5.646
Tho150,6,2,9801384,9935932,5.759
Tho150,6,3,9801384,9853452,5.895
Tho150,6,4,9801384,9951424,5.989
Tho150,6,5,9801384,9927502,6.104
Tho150,6,6,9801384,9868054,6.23
Tho150,6,7,9801384,9942356,6.347
Tho150,6,-1,9801384,9810472,6.35
Tho150,7,0,9801384,9940416,6.471
Tho150,7,1,9799020,9799020,6.592
Tho150,7,2,9799020,9842256,6.683
Tho150,7,3,9779630,9779630,6.79
Tho150,7,4,9779630,9891282,6.901
Tho150,7,5,9779630,9917042,6.992
Tho150,7,6,9779630,9848910,7.105
Tho150,7,7,9779630,9885114,7.197
Tho150,7,-1,9779630,9779630,7.2
Tho150,8,0,9779630,9911316,7.275
Tho150,8,1,9779630,9883410,7.358
Tho150,8,2,9779630,9900192,7.467
Tho150,8,3,9779630,9993512,7.556
Tho150,8,4,9779630,9947220,7.645
Tho150,8,5,9779630,10006604,7.755
Tho150,8,6,9779630,9899412,7.872
Tho150,8,7,9779630,9912060,7.961
Tho150,8,-1,9779630,9883410,7.965
Tho150,9,0,9779630,9964392,8.056
Tho150,9,1,9779630,10000528,8.134
Tho150,9,2,9779630,9879370,8.191
Tho150,9,3,9779630,9994532,8.307
Tho150,9,4,9779630,9998026,8.406
Tho150,9,5,9779630,9882796,8.513
Tho150,9,6,9779630,9925738,8.633
Tho150,9,7,9779630,9953300,8.755
Tho150,9,-1,9779630,9879370,8.759
Tho150,10,0,9779630,9827934,8.908
Tho150,10,1,9779630,9917008,9.008
Tho150,10,2,9779630,9882918,9.126
Tho150,10,3,9779630,9843624,9.236
Tho150,10,4,9774688,9774688,9.351
Tho150,10,5,9774688,9917376,9.458
Tho150,10,6,9774688,9919030,9.58
Tho150,10,7,9774688,9911128,9.696
Tho150,10,-1,9774688,9774688,9.699
Tho150,11,0,9774688,9874622,9.811
Tho150,11,1,9774688,9895658,9.917
Tho150,11,2,9774688,9904852,10.016
Tho150,11,3,9774688,9811752,10.118
Tho150,11,4,9774688,9940916,10.225
Tho150,11,5,9774688,9887874,10.35
Tho150,11,6,9774688,9940918,10.475
Tho150,11,7,9774688,9969642,10.592
Tho150,11,-1,9774688,9811752,10.596
Tho150,12,0,9774688,9864590,10.727
Tho150,12,1,9762118,9762118,10.843
Tho150,12,2,9762118,9879478,10.962
Tho150,12,3,9762118,9890962,11.094
Tho150,12,4,9762118,10072874,11.214
Tho150,12,5,9762118,9794576,11.333
Tho150,12,6,9762118,9865070,11.44
Tho150,12,7,9762118,9875332,11.555
Tho150,12,-1,9762118,9762118,11.561
Tho150,13,0,9762118,9945018,11.685
Tho150,13,1,9762118,9896992,11.808
Tho150,13,2,9762118,9890504,11.926
Tho150,13,3,9762118,9879168,12.045
Tho150,13,4,9762118,10004518,12.168
Tho150,13,5,9762118,9810772,12.298
Tho150,13,6,9762118,9794816,12.422
Tho150,13,7,9762118,9856758,12.555
Tho150,13,-1,9762118,9794816,12.56
Tho150,14,0,9762118,9863176,12.686
Tho150,14,1,9762118,9796428,12.803
Tho150,14,2,9762118,9977702,12.915
Tho150,14,3,9762118,9879214,13.036
Tho150,14,4,9762118,9915254,13.146
Tho150,14,5,9762118,9856560,13.264
Tho150,14,6,9762118,9863774,13.375
Tho150,14,7,9762118,9789628,13.507
Tho150,14,-1,9762118,9789628,13.514
Tho150,15,0,9762118,9862890,13.625
Tho150,15,1,9762118,9874482,13.753
Tho150,15,2,9762118,9896032,13.867
Tho150,15,3,9762118,9869702,13.984
Tho150,15,4,9762118,9931998,14.099
Tho150,15,5,9762118,9884312,14.221
Tho150,15,6,9762118,9908834,14.346
Tho150,15,7,9762118,9915788,14.466
Tho150,15,-1,9762118,9862890,14.47
Tho150,16,0,9727218,9727218,14.585
Tho150,16,1,9727218,9993704,14.701
Tho150,16,2,9727218,9988564,14.816
Tho150,16,3,9727218,9967170,14.934
Tho150,16,4,9727218,9862608,15.047
Tho150,16,5,9727218,9973624,15.168
Tho150,16,6,9727218,9841780,15.31
Tho150,16,7,9727218,9852888,15.421
Tho150,16,-1,9727218,9727218,15.426
Tho150,17,0,9727218,9796792,15.554
Tho150,17,1,9727218,9961420,15.655
Tho150,17,2,9727218,9869764,15.762
Tho150,17,3,9727218,9909818,15.873
