instancia,iteration,melhor_custo,tempo_decorrido_s,memoria_usada_MB,mu,lambd,taxa_mutacao,taxa_busca_local,iter_sem_melhora_max,n,seed,melhor_solucao
Tho30,1,195312,0.22,148.51,9,65,0.6276,0.4479,8,30,42,"[13, 22, 25, 11, 23, 27, 24, 17, 28, 19, 6, 0, 16, 21, 3, 20, 12, 26, 5, 2, 1, 10, 14, 15, 7, 8, 4, 18, 29, 9]"
Tho30,1,195312,21.66,148.51,9,65,0.6276,0.4479,8,30,42,"[13, 22, 25, 11, 23, 27, 24, 17, 28, 19, 6, 0, 16, 21, 3, 20, 12, 26, 5, 2, 1, 10, 14, 15, 7, 8, 4, 18, 29, 9]"
Tho30,1,195312,21.66,148.51,9,65,0.6276,0.4479,8,30,42,"[13, 22, 25, 11, 23, 27, 24, 17, 28, 19, 6, 0, 16, 21, 3, 20, 12, 26, 5, 2, 1, 10, 14, 15, 7, 8, 4, 18, 29, 9]"
Tho30,1,195312,38.99,148.51,9,65,0.6276,0.4479,8,30,42,"[13, 22, 25, 11, 23, 27, 24, 17, 28, 19, 6, 0, 16, 21, 3, 20, 12, 26, 5, 2, 1, 10, 14, 15, 7, 8, 4, 18, 29, 9]"
Tho30,1,195312,38.99,148.51,9,65,0.6276,0.4479,8,30,42,"[13, 22, 25, 11, 23, 27, 24, 17, 28, 19, 6, 0, 16, 21, 3, 20, 12, 26, 5, 2, 1, 10, 14, 15, 7, 8, 4, 18, 29, 9]"
Tho30,1,195312,38.99,148.51,9,65,0.6276,0.4479,8,30,42,"[13, 22, 25, 11, 23, 27, 24, 17, 28, 19, 6, 0, 16, 21, 3, 20, 12, 26, 5, 2, 1, 10, 14, 15, 7, 8, 4, 18, 29, 9]"
Tho30,1,195312,38.99,148.51,9,65,0.6276,0.4479,8,30,42,"[13, 22, 25, 11, 23, 27, 24, 17, 28, 19, 6, 0, 16, 21, 3, 20, 12, 26, 5, 2, 1, 10, 14, 15, 7, 8, 4, 18, 29, 9]"
Tho30,1,195312,56.19,148.51,9,65,0.6276,0.4479,8,30,42,"[13, 22, 25, 11, 23, 27, 24, 17, 28, 19, 6, 0, 16, 21, 3, 20, 12, 26, 5, 2, 1, 10, 14, 15, 7, 8, 4, 18, 29, 9]"
Tho30,1,195312,56.19,148.51,9,65,0.6276,0.4479,8,30,42,"[13, 22, 25, 11, 23, 27, 24, 17, 28, 19, 6, 0, 16, 21, 3, 20, 12, 26, 5, 2, 1, 10, 14, 15, 7, 8, 4, 18, 29, 9]"
Tho30,1,195312,56.19,148.51,9,65,0.6276,0.4479,8,30,42,"[13, 22, 25, 11, 23, 27, 24, 17, 28, 19, 6, 0, 16, 21, 3, 20, 12, 26, 5, 2, 1, 10, 14, 15, 7, 8, 4, 18, 29, 9]"
Tho30,1,195312,73.65,148.51,9,65,0.6276,0.4479,8,30,42,"[13, 22, 25, 11, 23, 27, 24, 17, 28, 19, 6, 0, 16, 21, 3, 20, 12, 26, 5, 2, 1, 10, 14, 15, 7, 8, 4, 18, 29, 9]"
