instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Chr12a,42,"[4, 6, 8, 7, 9, 0, 3, 1, 2, 11, 10, 5]",22426,1.94,119.92,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Chr12a,43,"[6, 4, 2, 3, 0, 9, 7, 10, 5, 8, 11, 1]",25084,0.93,119.92,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Chr12a,44,"[5, 10, 4, 2, 3, 11, 7, 9, 0, 6, 1, 8]",18942,2.63,119.92,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Chr12a,45,"[6, 0, 7, 2, 4, 9, 10, 5, 3, 11, 8, 1]",23344,1.06,119.92,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Chr12a,46,"[4, 6, 9, 7, 2, 0, 3, 5, 10, 11, 1, 8]",22866,1.01,119.92,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Chr12a,47,"[4, 10, 5, 3, 2, 11, 8, 1, 6, 0, 9, 7]",24458,2.21,119.92,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Chr12a,48,"[5, 10, 4, 2, 3, 7, 9, 6, 0, 8, 1, 11]",21724,2.67,119.92,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Chr12a,49,"[6, 4, 2, 3, 0, 9, 7, 10, 5, 11, 1, 8]",22296,1.29,119.92,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Chr12a,50,"[5, 10, 4, 2, 3, 7, 9, 6, 0, 1, 8, 11]",23480,3.54,119.92,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Chr12a,51,"[5, 10, 4, 2, 3, 7, 9, 6, 0, 11, 1, 8]",22108,1.19,119.92,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
