instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Chr12b,42,"[4, 10, 5, 11, 6, 9, 7, 3, 2, 0, 1, 8]",18340,1.46,119.92,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Chr12b,43,"[10, 5, 3, 0, 6, 4, 2, 7, 9, 8, 11, 1]",22652,0.81,119.92,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Chr12b,44,"[10, 5, 3, 1, 6, 4, 2, 0, 7, 9, 8, 11]",19660,2.16,119.92,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Chr12b,45,"[10, 5, 3, 1, 6, 4, 2, 8, 7, 0, 9, 11]",18236,0.8,119.92,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Chr12b,46,"[10, 5, 11, 6, 0, 4, 2, 3, 8, 9, 7, 1]",21826,0.75,119.92,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Chr12b,47,"[10, 5, 3, 0, 6, 4, 2, 11, 7, 9, 1, 8]",19592,1.75,119.92,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Chr12b,48,"[10, 5, 8, 11, 6, 4, 2, 3, 7, 9, 0, 1]",17096,2.39,119.92,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Chr12b,49,"[10, 5, 3, 1, 6, 4, 2, 7, 9, 0, 8, 11]",19580,1.26,119.92,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Chr12b,50,"[10, 5, 3, 9, 0, 4, 2, 11, 8, 6, 1, 7]",19718,3.91,119.92,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Chr12b,51,"[10, 5, 3, 7, 6, 4, 2, 9, 0, 1, 8, 11]",20920,1.33,119.92,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
