instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Esc32a,42,"[7, 3, 11, 10, 26, 27, 19, 17, 25, 24, 28, 12, 14, 15, 13, 5, 21, 29, 31, 23, 22, 30, 18, 16, 20, 4, 0, 1, 9, 8, 6, 2]",302,8.88,119.92,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Esc32a,43,"[14, 12, 4, 20, 16, 0, 1, 17, 21, 5, 7, 15, 31, 29, 25, 27, 19, 23, 22, 6, 2, 10, 26, 24, 28, 30, 18, 3, 11, 9, 13, 8]",316,4.04,119.92,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Esc32a,44,"[18, 19, 17, 25, 27, 26, 30, 31, 15, 14, 6, 2, 10, 11, 9, 13, 12, 8, 0, 1, 3, 7, 23, 21, 20, 4, 5, 29, 28, 24, 16, 22]",298,12.0,119.92,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Esc32a,45,"[26, 10, 11, 15, 14, 30, 31, 23, 7, 6, 2, 0, 8, 12, 13, 9, 1, 3, 19, 27, 25, 24, 28, 20, 22, 18, 16, 17, 21, 5, 4, 29]",290,4.49,119.92,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Esc32a,46,"[2, 6, 14, 30, 22, 18, 26, 27, 31, 15, 13, 12, 8, 10, 11, 9, 1, 5, 4, 20, 28, 24, 25, 29, 21, 17, 16, 0, 3, 7, 23, 19]",322,3.68,119.92,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Esc32a,47,"[16, 0, 4, 5, 1, 17, 25, 29, 21, 23, 19, 18, 22, 6, 14, 10, 8, 12, 13, 9, 11, 15, 31, 30, 28, 24, 26, 27, 20, 2, 3, 7]",314,9.42,119.92,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Esc32a,48,"[20, 16, 18, 19, 27, 26, 24, 25, 9, 13, 5, 4, 12, 8, 0, 1, 3, 2, 6, 22, 30, 28, 29, 31, 23, 7, 15, 11, 10, 14, 17, 21]",318,11.4,119.92,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Esc32a,49,"[27, 31, 23, 7, 5, 13, 29, 28, 30, 26, 10, 14, 15, 11, 3, 2, 18, 19, 17, 1, 0, 8, 12, 4, 20, 22, 6, 9, 25, 24, 16, 21]",306,5.87,119.92,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Esc32a,50,"[20, 16, 0, 8, 12, 14, 10, 11, 9, 1, 17, 21, 5, 4, 6, 7, 3, 2, 18, 26, 30, 28, 29, 25, 27, 19, 23, 31, 15, 13, 24, 22]",318,19.09,119.92,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Esc32a,51,"[12, 13, 9, 25, 29, 31, 30, 26, 27, 11, 10, 2, 3, 1, 17, 19, 23, 21, 5, 4, 0, 8, 24, 16, 20, 22, 18, 6, 7, 15, 14, 28]",294,6.81,119.92,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
