instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Esc32b,42,"[31, 29, 25, 27, 11, 9, 13, 15, 7, 5, 21, 23, 22, 6, 14, 12, 4, 0, 1, 3, 19, 18, 2, 10, 26, 24, 8, 16, 17, 20, 28, 30]",296,8.1,119.92,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Esc32b,43,"[1, 9, 25, 29, 13, 12, 4, 5, 7, 6, 2, 3, 11, 15, 14, 10, 26, 30, 28, 24, 8, 0, 16, 17, 19, 23, 21, 20, 22, 18, 27, 31]",292,4.26,119.92,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Esc32b,44,"[25, 24, 26, 27, 31, 23, 21, 17, 19, 18, 16, 0, 8, 9, 11, 10, 2, 3, 7, 6, 22, 30, 14, 15, 13, 12, 28, 29, 20, 4, 5, 1]",300,12.11,119.92,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Esc32b,45,"[6, 4, 0, 2, 3, 1, 17, 21, 23, 22, 20, 28, 12, 8, 24, 26, 10, 14, 15, 7, 5, 13, 9, 25, 29, 31, 27, 11, 19, 18, 16, 30]",288,5.06,119.92,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Esc32b,46,"[24, 16, 20, 21, 5, 4, 12, 8, 9, 11, 10, 2, 3, 1, 0, 18, 19, 27, 26, 30, 14, 6, 22, 23, 31, 29, 13, 15, 7, 25, 17, 28]",292,3.98,119.92,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Esc32b,47,"[0, 16, 18, 22, 20, 21, 17, 25, 27, 11, 9, 13, 12, 28, 24, 26, 30, 14, 6, 4, 5, 7, 15, 31, 23, 19, 3, 2, 10, 8, 29, 1]",288,9.63,119.92,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Esc32b,48,"[5, 13, 29, 21, 17, 1, 9, 11, 10, 14, 12, 8, 24, 16, 20, 28, 30, 31, 23, 19, 27, 26, 18, 22, 6, 4, 0, 2, 3, 7, 15, 25]",296,11.66,119.92,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Esc32b,49,"[31, 29, 25, 17, 21, 23, 19, 3, 2, 10, 11, 27, 26, 18, 16, 0, 4, 12, 13, 5, 7, 15, 14, 6, 22, 30, 28, 24, 8, 9, 1, 20]",292,5.84,119.92,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Esc32b,50,"[11, 15, 31, 30, 14, 12, 4, 5, 7, 3, 1, 17, 21, 29, 13, 9, 25, 24, 26, 10, 8, 0, 16, 20, 28, 23, 22, 6, 2, 18, 19, 27]",296,18.87,119.92,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Esc32b,51,"[31, 30, 26, 10, 2, 6, 14, 15, 13, 5, 7, 23, 19, 27, 11, 3, 1, 9, 8, 12, 4, 0, 16, 17, 25, 29, 21, 20, 22, 18, 24, 28]",300,6.75,119.92,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
