instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Had14,42,"[7, 3, 13, 0, 12, 6, 4, 1, 8, 11, 5, 2, 10, 9]",2986,2.08,120.68,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Had14,43,"[3, 12, 5, 4, 13, 10, 7, 1, 8, 11, 6, 9, 0, 2]",3036,1.11,120.68,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Had14,44,"[7, 1, 0, 12, 6, 4, 13, 10, 2, 8, 11, 5, 9, 3]",3014,3.07,120.68,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Had14,45,"[8, 12, 6, 10, 1, 13, 5, 3, 11, 9, 0, 2, 4, 7]",3032,1.09,120.68,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Had14,46,"[2, 3, 7, 8, 11, 4, 6, 12, 0, 9, 10, 13, 5, 1]",3038,0.96,120.68,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Had14,47,"[8, 7, 13, 10, 3, 11, 0, 12, 5, 6, 4, 1, 9, 2]",3008,2.16,120.68,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Had14,48,"[2, 10, 1, 8, 11, 13, 4, 6, 12, 5, 9, 0, 3, 7]",2988,2.67,120.68,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Had14,49,"[9, 6, 12, 5, 7, 11, 13, 4, 1, 10, 2, 3, 0, 8]",2992,1.19,120.68,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Had14,50,"[2, 1, 10, 4, 7, 11, 5, 12, 9, 0, 6, 8, 13, 3]",2994,4.03,120.68,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Had14,51,"[0, 2, 3, 13, 6, 12, 5, 11, 8, 1, 7, 4, 9, 10]",3008,1.17,120.68,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
