instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Kra30a,42,"[17, 29, 22, 24, 21, 27, 20, 23, 6, 11, 13, 9, 12, 0, 18, 10, 14, 26, 28, 3, 8, 4, 19, 16, 25, 7, 5, 2, 1, 15]",122000,3.44,120.68,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Kra30a,43,"[23, 9, 24, 18, 0, 17, 7, 13, 20, 29, 26, 22, 6, 25, 27, 28, 10, 14, 11, 19, 15, 4, 8, 2, 12, 3, 16, 21, 1, 5]",123070,1.71,120.68,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Kra30a,44,"[13, 26, 28, 5, 17, 8, 29, 9, 19, 27, 23, 20, 11, 18, 14, 0, 24, 22, 25, 21, 15, 7, 10, 4, 12, 1, 3, 2, 6, 16]",119760,5.23,120.68,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Kra30a,45,"[2, 12, 17, 14, 6, 24, 8, 27, 4, 26, 10, 29, 11, 25, 23, 20, 13, 19, 21, 28, 3, 18, 9, 15, 22, 16, 1, 0, 5, 7]",125780,1.91,120.68,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Kra30a,46,"[11, 14, 20, 29, 13, 24, 12, 26, 10, 17, 22, 18, 25, 8, 5, 9, 15, 27, 23, 7, 2, 6, 28, 0, 4, 1, 3, 19, 21, 16]",124270,1.63,120.68,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Kra30a,47,"[18, 24, 28, 6, 17, 2, 13, 29, 8, 25, 19, 23, 21, 26, 22, 7, 12, 9, 15, 20, 11, 27, 3, 1, 10, 14, 0, 5, 16, 4]",121120,3.91,120.68,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Kra30a,48,"[17, 8, 9, 24, 14, 0, 27, 16, 13, 11, 29, 28, 25, 12, 18, 26, 5, 7, 22, 19, 23, 15, 20, 2, 6, 21, 10, 3, 1, 4]",123990,4.82,120.68,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Kra30a,49,"[18, 19, 22, 25, 23, 15, 20, 17, 28, 4, 27, 26, 29, 2, 24, 13, 6, 5, 8, 7, 12, 3, 9, 16, 21, 11, 14, 0, 1, 10]",121680,2.38,120.68,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Kra30a,50,"[26, 21, 23, 7, 12, 24, 6, 13, 8, 1, 18, 17, 9, 15, 29, 14, 10, 28, 4, 27, 5, 11, 25, 20, 16, 22, 19, 2, 3, 0]",123100,7.1,120.68,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Kra30a,51,"[27, 19, 26, 2, 6, 22, 29, 9, 28, 4, 13, 18, 20, 24, 7, 8, 1, 17, 0, 14, 12, 3, 23, 11, 25, 21, 5, 10, 15, 16]",121890,2.31,120.68,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
