instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Kra30b,42,"[22, 6, 28, 14, 13, 27, 7, 12, 26, 23, 17, 18, 21, 29, 9, 4, 8, 5, 24, 16, 20, 25, 19, 15, 11, 3, 2, 1, 0, 10]",127310,2.95,120.68,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Kra30b,43,"[9, 4, 29, 8, 13, 11, 24, 0, 17, 7, 28, 15, 18, 23, 22, 19, 21, 27, 20, 25, 26, 12, 3, 5, 6, 14, 10, 1, 16, 2]",126480,1.64,120.68,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Kra30b,44,"[13, 18, 22, 23, 12, 9, 25, 20, 17, 27, 0, 29, 26, 14, 28, 2, 6, 11, 24, 7, 8, 3, 21, 19, 16, 1, 5, 10, 4, 15]",123800,4.34,120.68,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Kra30b,45,"[1, 17, 29, 11, 27, 28, 14, 24, 22, 8, 20, 9, 18, 26, 21, 19, 25, 23, 6, 5, 7, 12, 2, 13, 3, 16, 4, 10, 15, 0]",126590,1.68,120.68,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Kra30b,46,"[13, 22, 27, 25, 12, 24, 3, 28, 26, 18, 0, 17, 14, 23, 15, 29, 19, 9, 16, 20, 11, 6, 2, 8, 1, 4, 7, 5, 21, 10]",122030,1.69,120.68,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Kra30b,47,"[23, 21, 28, 26, 13, 29, 9, 19, 15, 27, 3, 8, 5, 7, 12, 14, 24, 20, 18, 17, 22, 25, 6, 2, 0, 4, 16, 11, 1, 10]",122880,3.91,120.68,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Kra30b,48,"[13, 29, 17, 22, 10, 18, 25, 12, 24, 11, 20, 16, 27, 4, 9, 3, 26, 7, 2, 8, 28, 5, 6, 23, 14, 0, 15, 19, 21, 1]",125250,5.01,120.68,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Kra30b,49,"[26, 9, 17, 12, 7, 24, 20, 29, 16, 18, 22, 15, 28, 10, 23, 19, 27, 25, 6, 11, 13, 5, 8, 2, 1, 14, 0, 21, 3, 4]",122630,2.54,120.68,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Kra30b,50,"[28, 16, 22, 13, 4, 24, 9, 17, 18, 25, 26, 14, 29, 10, 27, 20, 23, 7, 8, 3, 12, 1, 11, 6, 2, 19, 15, 21, 5, 0]",126320,8.48,120.68,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Kra30b,51,"[26, 12, 17, 2, 13, 28, 9, 20, 23, 18, 11, 6, 24, 10, 19, 27, 16, 29, 22, 25, 21, 0, 14, 8, 3, 7, 5, 15, 4, 1]",124540,3.04,120.68,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
