instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Lipa40b,42,"[34, 12, 27, 13, 31, 37, 32, 19, 35, 0, 29, 5, 3, 21, 11, 20, 6, 10, 26, 30, 7, 36, 28, 2, 8, 17, 4, 9, 25, 23, 1, 33, 39, 18, 24, 14, 22, 15, 16, 38]",607287,14.84,120.68,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Lipa40b,43,"[34, 28, 3, 22, 39, 11, 31, 10, 21, 33, 1, 16, 9, 5, 4, 17, 12, 38, 25, 18, 20, 14, 8, 0, 32, 19, 27, 13, 29, 2, 36, 26, 30, 7, 6, 23, 35, 24, 15, 37]",603199,7.25,120.68,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Lipa40b,44,"[12, 2, 28, 27, 32, 1, 33, 21, 10, 31, 26, 17, 4, 5, 11, 9, 25, 39, 22, 20, 18, 7, 37, 16, 36, 34, 3, 23, 35, 13, 29, 24, 6, 15, 0, 8, 14, 30, 38, 19]",603147,19.72,120.68,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Lipa40b,45,"[28, 25, 4, 10, 21, 16, 8, 15, 33, 6, 31, 11, 20, 30, 9, 5, 38, 36, 0, 34, 39, 35, 37, 24, 7, 1, 19, 26, 29, 13, 27, 14, 3, 22, 12, 17, 2, 18, 23, 32]",607399,7.68,120.68,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Lipa40b,46,"[29, 13, 27, 10, 31, 11, 5, 4, 17, 19, 32, 1, 16, 34, 33, 7, 24, 38, 12, 25, 9, 26, 28, 2, 35, 39, 18, 20, 14, 3, 22, 21, 23, 37, 8, 0, 15, 6, 36, 30]",609814,14.18,120.68,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Lipa40b,47,"[39, 17, 26, 0, 8, 2, 13, 29, 31, 6, 22, 3, 20, 27, 14, 36, 34, 33, 1, 32, 19, 23, 35, 24, 7, 18, 16, 12, 5, 11, 9, 38, 21, 10, 37, 28, 4, 30, 15, 25]",605301,17.06,120.68,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Lipa40b,48,"[10, 21, 9, 3, 38, 34, 33, 17, 16, 13, 29, 31, 11, 32, 37, 12, 23, 7, 25, 35, 39, 18, 20, 27, 8, 0, 5, 4, 1, 36, 2, 30, 26, 28, 14, 19, 15, 6, 24, 22]",605071,20.74,120.68,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Lipa40b,49,"[1, 33, 18, 20, 23, 0, 8, 5, 11, 38, 27, 29, 13, 22, 39, 35, 2, 25, 30, 14, 10, 37, 19, 32, 36, 12, 4, 17, 26, 9, 3, 34, 24, 7, 31, 6, 15, 28, 16, 21]",602540,10.54,120.68,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Lipa40b,50,"[33, 21, 10, 27, 13, 29, 9, 25, 18, 20, 11, 31, 6, 15, 12, 23, 19, 32, 1, 36, 37, 8, 0, 5, 4, 17, 16, 34, 3, 14, 30, 26, 28, 2, 39, 22, 35, 24, 7, 38]",608276,34.68,120.68,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Lipa40b,51,"[27, 12, 30, 2, 28, 26, 18, 39, 22, 6, 7, 33, 37, 14, 16, 13, 31, 11, 21, 10, 20, 0, 8, 17, 4, 5, 25, 3, 15, 35, 24, 1, 38, 9, 29, 23, 19, 32, 36, 34]",604935,11.55,120.68,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
