instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Lipa50a,42,"[5, 36, 28, 42, 8, 29, 6, 21, 44, 26, 48, 12, 37, 24, 11, 19, 7, 14, 1, 13, 17, 2, 10, 49, 38, 40, 23, 16, 31, 34, 22, 9, 32, 18, 15, 27, 3, 47, 39, 4, 43, 0, 25, 33, 20, 45, 41, 46, 30, 35]",63707,20.45,120.68,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Lipa50a,43,"[41, 30, 35, 34, 2, 42, 8, 45, 47, 13, 17, 22, 9, 20, 39, 16, 23, 0, 11, 14, 40, 10, 36, 1, 49, 29, 3, 27, 4, 24, 46, 5, 48, 37, 31, 12, 15, 44, 33, 25, 19, 43, 21, 28, 32, 18, 38, 7, 26, 6]",63744,10.22,120.68,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Lipa50a,44,"[14, 35, 15, 19, 7, 39, 32, 18, 36, 40, 34, 13, 10, 17, 2, 12, 22, 30, 20, 9, 46, 26, 24, 4, 6, 37, 25, 1, 42, 28, 0, 45, 47, 31, 38, 27, 3, 41, 8, 29, 49, 21, 16, 23, 48, 5, 44, 33, 43, 11]",63681,30.36,120.68,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Lipa50a,45,"[12, 43, 19, 28, 23, 40, 15, 5, 9, 10, 46, 24, 4, 48, 32, 11, 45, 2, 26, 49, 6, 37, 1, 34, 27, 3, 31, 35, 39, 0, 16, 41, 33, 17, 29, 36, 30, 22, 8, 42, 44, 21, 7, 25, 20, 14, 13, 47, 18, 38]",63777,12.02,120.68,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Lipa50a,46,"[38, 27, 44, 16, 20, 9, 17, 10, 2, 46, 5, 48, 40, 21, 43, 4, 47, 19, 25, 6, 13, 7, 23, 0, 31, 1, 32, 18, 36, 26, 49, 11, 42, 22, 15, 34, 33, 39, 35, 14, 45, 41, 8, 37, 12, 28, 29, 3, 24, 30]",63755,9.71,120.68,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Lipa50a,47,"[28, 22, 4, 24, 46, 18, 32, 2, 5, 48, 45, 14, 44, 33, 41, 26, 7, 21, 16, 23, 0, 36, 29, 8, 42, 37, 27, 3, 25, 19, 35, 39, 20, 12, 47, 10, 17, 13, 34, 9, 6, 40, 1, 43, 49, 11, 15, 30, 31, 38]",63740,23.07,120.68,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Lipa50a,48,"[5, 48, 42, 28, 12, 20, 9, 0, 23, 14, 45, 47, 13, 24, 46, 17, 10, 22, 6, 44, 21, 43, 4, 27, 3, 8, 29, 49, 11, 32, 18, 40, 1, 7, 19, 34, 2, 26, 38, 37, 41, 31, 35, 30, 25, 16, 36, 33, 39, 15]",63661,29.82,120.68,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Lipa50a,49,"[34, 33, 44, 21, 43, 4, 24, 46, 5, 48, 12, 20, 9, 17, 10, 49, 29, 36, 13, 2, 15, 18, 32, 11, 19, 7, 23, 16, 0, 39, 47, 45, 41, 8, 42, 28, 25, 3, 27, 38, 1, 40, 14, 35, 30, 22, 6, 37, 31, 26]",63718,15.04,120.68,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Lipa50a,50,"[24, 34, 30, 2, 26, 45, 47, 35, 8, 29, 16, 41, 23, 36, 43, 21, 7, 19, 28, 12, 20, 39, 14, 40, 27, 3, 1, 0, 37, 32, 18, 6, 15, 11, 49, 25, 31, 46, 38, 48, 4, 10, 22, 17, 33, 44, 42, 5, 13, 9]",63736,48.95,120.68,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Lipa50a,51,"[16, 23, 0, 11, 49, 22, 24, 4, 43, 36, 35, 2, 40, 14, 45, 10, 19, 7, 41, 30, 9, 20, 39, 33, 25, 34, 46, 13, 17, 32, 18, 26, 8, 29, 15, 3, 27, 38, 37, 31, 1, 48, 12, 28, 42, 21, 44, 6, 47, 5]",63743,15.67,120.68,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
