instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Nug16a,42,"[8, 14, 10, 2, 15, 9, 6, 7, 13, 3, 5, 11, 4, 0, 1, 12]",1974,4.8,108.96,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Nug16a,43,"[4, 2, 11, 15, 9, 6, 7, 13, 0, 1, 12, 10, 8, 14, 3, 5]",2012,2.47,108.96,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Nug16a,44,"[5, 10, 2, 11, 15, 9, 6, 7, 13, 3, 0, 12, 1, 8, 14, 4]",2016,7.28,108.96,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Nug16a,45,"[0, 3, 9, 15, 2, 4, 11, 5, 10, 8, 14, 6, 7, 13, 12, 1]",1990,3.04,108.96,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Nug16a,46,"[9, 3, 5, 11, 4, 2, 10, 8, 6, 7, 13, 0, 1, 12, 14, 15]",2012,2.32,108.96,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Nug16a,47,"[0, 3, 9, 15, 2, 12, 1, 5, 10, 8, 14, 4, 11, 13, 7, 6]",1986,5.38,108.96,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Nug16a,48,"[3, 5, 10, 2, 15, 9, 6, 7, 13, 0, 1, 12, 11, 4, 8, 14]",1984,7.07,108.96,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Nug16a,49,"[3, 5, 10, 2, 15, 9, 6, 7, 13, 0, 1, 12, 11, 4, 14, 8]",2018,3.57,108.96,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Nug16a,50,"[8, 10, 2, 11, 15, 5, 13, 3, 0, 1, 12, 9, 6, 7, 14, 4]",1970,11.32,108.96,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Nug16a,51,"[1, 12, 2, 4, 11, 5, 13, 3, 9, 6, 8, 14, 10, 0, 7, 15]",2030,3.86,108.96,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
