instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Nug22,42,"[4, 15, 16, 5, 3, 6, 14, 8, 0, 19, 18, 1, 7, 20, 11, 10, 12, 2, 9, 17, 13, 21]",4812,6.99,108.96,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Nug22,43,"[19, 18, 10, 16, 21, 4, 7, 1, 6, 3, 9, 13, 20, 11, 17, 12, 2, 5, 0, 15, 8, 14]",4818,3.52,108.96,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Nug22,44,"[3, 1, 11, 20, 7, 13, 6, 14, 18, 19, 16, 5, 2, 12, 4, 10, 15, 21, 8, 0, 17, 9]",4750,10.49,108.96,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Nug22,45,"[19, 4, 3, 0, 12, 2, 5, 20, 14, 1, 6, 13, 16, 11, 17, 9, 7, 8, 21, 15, 18, 10]",4834,4.03,108.96,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Nug22,46,"[20, 7, 13, 6, 3, 9, 17, 11, 10, 18, 1, 16, 19, 12, 0, 15, 21, 8, 14, 2, 5, 4]",4736,3.23,108.96,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Nug22,47,"[1, 13, 4, 18, 11, 15, 21, 8, 14, 2, 16, 19, 5, 3, 9, 17, 6, 12, 10, 20, 7, 0]",4826,7.52,108.96,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Nug22,48,"[1, 3, 5, 16, 21, 15, 0, 4, 13, 7, 20, 11, 10, 12, 14, 6, 17, 9, 18, 8, 19, 2]",4708,10.12,108.96,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Nug22,49,"[10, 4, 0, 8, 21, 15, 11, 17, 9, 13, 6, 1, 3, 5, 20, 14, 2, 12, 7, 16, 19, 18]",4804,5.1,108.96,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Nug22,50,"[19, 4, 14, 20, 5, 2, 12, 0, 8, 21, 16, 1, 15, 11, 7, 13, 9, 17, 6, 3, 18, 10]",4702,15.86,108.96,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Nug22,51,"[11, 16, 21, 8, 18, 5, 20, 7, 1, 15, 4, 19, 0, 13, 9, 17, 6, 14, 2, 12, 10, 3]",4572,6.09,108.96,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
