instancia,seed,melhor_solucao,custo,tempo_execucao_segundos,memoria_usada_MB,n_formigas,alpha,beta,rho,Q,iter_max
Scr12,42,"[2, 6, 10, 5, 9, 8, 4, 0, 1, 7, 3, 11]",36282,4.17,107.45,8,0.5375161328340003,1.5500586367382385,0.08348161072232342,1,144
Scr12,43,"[3, 7, 11, 6, 2, 1, 5, 9, 10, 8, 0, 4]",37758,2.17,107.45,6,0.929126270445708,2.5253683946122707,0.1939109524293232,1,97
Scr12,44,"[1, 9, 11, 8, 4, 0, 5, 6, 10, 7, 3, 2]",38786,6.24,107.45,18,1.2800307334434837,2.4032284447854253,0.06749831159785274,1,98
Scr12,45,"[7, 0, 3, 1, 2, 5, 4, 8, 9, 10, 6, 11]",39134,2.3,107.45,13,1.1265367845598036,1.5153212410491605,0.09547881670899706,1,52
Scr12,46,"[3, 2, 5, 6, 11, 10, 9, 8, 7, 0, 1, 4]",40652,2.2,107.45,7,1.0999915939565195,2.1772403655484642,0.17896800103141425,1,79
Scr12,47,"[11, 1, 0, 5, 6, 7, 2, 3, 4, 9, 8, 10]",37742,4.72,107.45,16,0.5937877680754614,2.107280156816108,0.1356185864770447,1,82
Scr12,48,"[4, 5, 1, 6, 11, 10, 9, 8, 0, 2, 3, 7]",36012,6.06,107.45,15,0.6978371950638135,2.423093684536049,0.09533750838767235,1,114
Scr12,49,"[8, 5, 1, 6, 2, 3, 7, 11, 10, 9, 0, 4]",38802,3.16,107.45,7,1.016494833826007,2.866644086100232,0.09852428222311078,1,120
Scr12,50,"[8, 4, 0, 5, 9, 10, 6, 2, 1, 7, 11, 3]",38122,10.25,107.45,20,1.783543075615619,1.7281951850266926,0.18362200957813835,1,138
Scr12,51,"[1, 2, 3, 6, 7, 11, 10, 9, 5, 4, 0, 8]",38382,4.26,107.45,12,1.757735522488605,2.104578899770044,0.08691192659127214,1,79
